Time Stamp,Time Zone,Fuel Category,Gen MW
12/30/2021 00:05:00,EST,Dual Fuel,3745.0
12/30/2021 00:05:00,EST,Natural Gas,1820.0
12/30/2021 00:05:00,EST,Nuclear,3337.0
12/30/2021 00:05:00,EST,Other Fossil Fuels,3.0
12/30/2021 00:05:00,EST,Other Renewables,247.0
12/30/2021 00:05:00,EST,Wind,163.0
12/30/2021 00:05:00,EST,Hydro,3120.0
12/30/2021 00:10:00,EST,Dual Fuel,3800.0
12/30/2021 00:10:00,EST,Natural Gas,1752.0
12/30/2021 00:10:00,EST,Nuclear,3339.0
12/30/2021 00:10:00,EST,Other Fossil Fuels,3.0
12/30/2021 00:10:00,EST,Other Renewables,248.0
12/30/2021 00:10:00,EST,Wind,156.0
12/30/2021 00:10:00,EST,Hydro,3100.0
12/30/2021 00:15:00,EST,Dual Fuel,3815.0
12/30/2021 00:15:00,EST,Natural Gas,1740.0
12/30/2021 00:15:00,EST,Nuclear,3338.0
12/30/2021 00:15:00,EST,Other Fossil Fuels,3.0
12/30/2021 00:15:00,EST,Other Renewables,248.0
12/30/2021 00:15:00,EST,Wind,147.0
12/30/2021 00:15:00,EST,Hydro,3105.0
12/30/2021 00:20:00,EST,Dual Fuel,3828.0
12/30/2021 00:20:00,EST,Natural Gas,1725.0
12/30/2021 00:20:00,EST,Nuclear,3337.0
12/30/2021 00:20:00,EST,Other Fossil Fuels,3.0
12/30/2021 00:20:00,EST,Other Renewables,247.0
12/30/2021 00:20:00,EST,Wind,150.0
12/30/2021 00:20:00,EST,Hydro,3058.0
12/30/2021 00:25:00,EST,Dual Fuel,3855.0
12/30/2021 00:25:00,EST,Natural Gas,1704.0
12/30/2021 00:25:00,EST,Nuclear,3338.0
12/30/2021 00:25:00,EST,Other Fossil Fuels,3.0
12/30/2021 00:25:00,EST,Other Renewables,245.0
12/30/2021 00:25:00,EST,Wind,166.0
12/30/2021 00:25:00,EST,Hydro,2952.0
12/30/2021 00:30:00,EST,Dual Fuel,3850.0
12/30/2021 00:30:00,EST,Natural Gas,1682.0
12/30/2021 00:30:00,EST,Nuclear,3339.0
12/30/2021 00:30:00,EST,Other Fossil Fuels,3.0
12/30/2021 00:30:00,EST,Other Renewables,243.0
12/30/2021 00:30:00,EST,Wind,170.0
12/30/2021 00:30:00,EST,Hydro,2916.0
12/30/2021 00:35:00,EST,Dual Fuel,3824.0
12/30/2021 00:35:00,EST,Natural Gas,1672.0
12/30/2021 00:35:00,EST,Nuclear,3339.0
