kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.011,0.563,0.557,District,district,RBC
1 - load_factor,0.993,0.866,0.872,District,district,RBC
average_daily_peak,1.007,12.017,11.938,District,district,RBC
carbon_emissions,1.045,1165.799,1117.636,District,district,RBC
cost,1.056,9340.433,8865.353,District,district,RBC
electricity_consumption,1.066,7562.011,7114.823,District,district,RBC
ramping,1.061,22166.611,20885.442,District,district,RBC
electricity_consumption,1.066,7492.861,7026.809,Building_1,building,RBC
carbon_emissions,1.046,1169.225,1117.621,Building_1,building,RBC
cost,1.056,9320.021,8827.834,Building_1,building,RBC
electricity_consumption,1.066,6628.184,6216.785,Building_4,building,RBC
carbon_emissions,1.043,1009.429,967.993,Building_4,building,RBC
cost,1.06,7852.36,7405.317,Building_4,building,RBC
electricity_consumption,1.094,5427.229,4959.714,Building_9,building,RBC
carbon_emissions,1.064,855.008,803.275,Building_9,building,RBC
cost,1.078,6847.74,6350.807,Building_9,building,RBC
electricity_consumption,1.045,10225.323,9785.675,Building_10,building,RBC
carbon_emissions,1.031,1574.848,1527.858,Building_10,building,RBC
cost,1.038,12650.066,12188.658,Building_10,building,RBC
electricity_consumption,1.061,7459.202,7027.247,Building_13,building,RBC
carbon_emissions,1.042,1133.818,1088.164,Building_13,building,RBC
cost,1.052,9247.121,8789.299,Building_13,building,RBC
electricity_consumption,1.061,8139.268,7672.711,Building_16,building,RBC
carbon_emissions,1.043,1252.467,1200.903,Building_16,building,RBC
cost,1.051,10125.291,9630.204,Building_16,building,RBC
1 - average_daily_renewable_share,0.994,0.553,0.557,District,district,SAC
1 - load_factor,0.974,0.849,0.872,District,district,SAC
average_daily_peak,0.859,10.251,11.938,District,district,SAC
carbon_emissions,0.948,1058.461,1117.636,District,district,SAC
cost,0.934,8277.663,8865.353,District,district,SAC
electricity_consumption,0.956,6799.828,7114.823,District,district,SAC
ramping,1.016,21229.204,20885.442,District,district,SAC
electricity_consumption,0.937,6583.424,7026.809,Building_1,building,SAC
carbon_emissions,0.926,1034.845,1117.621,Building_1,building,SAC
cost,0.915,8080.065,8827.834,Building_1,building,SAC
electricity_consumption,1.032,6418.528,6216.785,Building_4,building,SAC
carbon_emissions,1.043,1009.303,967.993,Building_4,building,SAC
cost,1.018,7541.596,7405.317,Building_4,building,SAC
electricity_consumption,0.934,4631.624,4959.714,Building_9,building,SAC
carbon_emissions,0.913,733.782,803.275,Building_9,building,SAC
cost,0.893,5673.159,6350.807,Building_9,building,SAC
electricity_consumption,0.97,9489.042,9785.675,Building_10,building,SAC
carbon_emissions,0.961,1468.904,1527.858,Building_10,building,SAC
cost,0.954,11628.492,12188.658,Building_10,building,SAC
electricity_consumption,0.98,6887.802,7027.247,Building_13,building,SAC
carbon_emissions,0.974,1059.63,1088.164,Building_13,building,SAC
cost,0.957,8408.364,8789.299,Building_13,building,SAC
electricity_consumption,0.885,6788.548,7672.711,Building_16,building,SAC
carbon_emissions,0.87,1044.3,1200.903,Building_16,building,SAC
cost,0.865,8334.304,9630.204,Building_16,building,SAC
1 - average_daily_renewable_share,0.998,0.556,0.557,District,district,SAC_DB2
1 - load_factor,0.976,0.851,0.872,District,district,SAC_DB2
average_daily_peak,0.862,10.285,11.938,District,district,SAC_DB2
carbon_emissions,0.954,1066.45,1117.636,District,district,SAC_DB2
cost,0.941,8345.853,8865.353,District,district,SAC_DB2
electricity_consumption,0.963,6848.953,7114.823,District,district,SAC_DB2
ramping,1.027,21455.709,20885.442,District,district,SAC_DB2
electricity_consumption,0.944,6630.961,7026.809,Building_1,building,SAC_DB2
carbon_emissions,0.931,1040.862,1117.621,Building_1,building,SAC_DB2
cost,0.92,8122.405,8827.834,Building_1,building,SAC_DB2
electricity_consumption,1.039,6459.29,6216.785,Building_4,building,SAC_DB2
carbon_emissions,1.036,1003.181,967.993,Building_4,building,SAC_DB2
cost,1.024,7582.782,7405.317,Building_4,building,SAC_DB2
electricity_consumption,0.937,4646.132,4959.714,Building_9,building,SAC_DB2
carbon_emissions,0.92,738.675,803.275,Building_9,building,SAC_DB2
cost,0.9,5715.874,6350.807,Building_9,building,SAC_DB2
electricity_consumption,0.974,9528.111,9785.675,Building_10,building,SAC_DB2
carbon_emissions,0.971,1483.775,1527.858,Building_10,building,SAC_DB2
cost,0.962,11730.988,12188.658,Building_10,building,SAC_DB2
electricity_consumption,0.992,6969.623,7027.247,Building_13,building,SAC_DB2
carbon_emissions,0.988,1074.795,1088.164,Building_13,building,SAC_DB2
cost,0.971,8534.78,8789.299,Building_13,building,SAC_DB2
electricity_consumption,0.894,6859.598,7672.711,Building_16,building,SAC_DB2
carbon_emissions,0.881,1057.414,1200.903,Building_16,building,SAC_DB2
cost,0.871,8388.288,9630.204,Building_16,building,SAC_DB2
