kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.004,0.868,0.865,District,district,RBC
1 - average_daily_renewable_share_grid,1.004,0.868,0.865,District,district,RBC
1 - load_factor,0.982,0.599,0.61,District,district,RBC
average_daily_peak,0.989,12.604,12.741,District,district,RBC
carbon_emissions,0.999,1762.612,1763.783,District,district,RBC
cost,1.013,20846.57,20588.318,District,district,RBC
electricity_consumption,1.015,10970.754,10818.099,District,district,RBC
ramping,1.043,13363.683,12813.186,District,district,RBC
electricity_consumption,1.014,10726.729,10583.353,Building_1,building,RBC
carbon_emissions,0.998,1716.114,1718.734,Building_1,building,RBC
cost,1.012,20397.698,20156.015,Building_1,building,RBC
electricity_consumption,1.023,7334.189,7170.435,Building_3,building,RBC
carbon_emissions,1.0,1186.07,1185.683,Building_3,building,RBC
cost,1.02,14331.159,14056.957,Building_3,building,RBC
electricity_consumption,1.017,10972.62,10793.18,Building_4,building,RBC
carbon_emissions,1.002,1768.025,1764.849,Building_4,building,RBC
cost,1.015,20848.603,20538.662,Building_4,building,RBC
electricity_consumption,1.011,13258.331,13115.253,Building_10,building,RBC
carbon_emissions,0.999,2112.281,2114.945,Building_10,building,RBC
cost,1.01,25296.084,25054.945,Building_10,building,RBC
electricity_consumption,1.012,12457.073,12313.994,Building_11,building,RBC
carbon_emissions,0.999,2023.988,2026.653,Building_11,building,RBC
cost,1.01,23705.605,23464.466,Building_11,building,RBC
electricity_consumption,1.013,11075.584,10932.378,Building_13,building,RBC
carbon_emissions,0.999,1769.195,1771.832,Building_13,building,RBC
cost,1.012,20500.272,20258.862,Building_13,building,RBC
1 - average_daily_renewable_share,1.004,0.868,0.865,District,district,SAC
1 - average_daily_renewable_share_grid,1.004,0.868,0.865,District,district,SAC
1 - load_factor,1.012,0.617,0.61,District,district,SAC
average_daily_peak,1.048,13.358,12.741,District,district,SAC
carbon_emissions,1.032,1822.778,1763.783,District,district,SAC
cost,1.029,21202.76,20588.318,District,district,SAC
electricity_consumption,1.036,11213.711,10818.099,District,district,SAC
ramping,1.195,15313.034,12813.186,District,district,SAC
electricity_consumption,1.032,10922.105,10583.353,Building_1,building,SAC
carbon_emissions,1.027,1765.94,1718.734,Building_1,building,SAC
cost,1.022,20589.877,20156.015,Building_1,building,SAC
electricity_consumption,1.028,7372.638,7170.435,Building_3,building,SAC
carbon_emissions,1.021,1211.126,1185.683,Building_3,building,SAC
cost,1.027,14440.676,14056.957,Building_3,building,SAC
electricity_consumption,1.058,11416.645,10793.18,Building_4,building,SAC
carbon_emissions,1.05,1853.485,1764.849,Building_4,building,SAC
cost,1.05,21562.035,20538.662,Building_4,building,SAC
electricity_consumption,1.049,13762.266,13115.253,Building_10,building,SAC
carbon_emissions,1.056,2232.434,2114.945,Building_10,building,SAC
cost,1.044,26153.021,25054.945,Building_10,building,SAC
electricity_consumption,1.024,12603.762,12313.994,Building_11,building,SAC
carbon_emissions,1.02,2067.139,2026.653,Building_11,building,SAC
cost,1.019,23903.357,23464.466,Building_11,building,SAC
electricity_consumption,1.025,11204.849,10932.378,Building_13,building,SAC
carbon_emissions,1.02,1806.543,1771.832,Building_13,building,SAC
cost,1.015,20567.594,20258.862,Building_13,building,SAC
1 - average_daily_renewable_share,1.006,0.87,0.865,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,1.006,0.87,0.865,District,district,SAC_DB2
1 - load_factor,1.025,0.625,0.61,District,district,SAC_DB2
average_daily_peak,1.034,13.174,12.741,District,district,SAC_DB2
carbon_emissions,1.033,1823.167,1763.783,District,district,SAC_DB2
cost,1.028,21153.882,20588.318,District,district,SAC_DB2
electricity_consumption,1.038,11224.978,10818.099,District,district,SAC_DB2
ramping,1.179,15107.391,12813.186,District,district,SAC_DB2
electricity_consumption,1.023,10827.192,10583.353,Building_1,building,SAC_DB2
carbon_emissions,1.019,1751.094,1718.734,Building_1,building,SAC_DB2
cost,1.013,20420.85,20156.015,Building_1,building,SAC_DB2
electricity_consumption,1.043,7481.087,7170.435,Building_3,building,SAC_DB2
carbon_emissions,1.039,1232.317,1185.683,Building_3,building,SAC_DB2
cost,1.033,14517.534,14056.957,Building_3,building,SAC_DB2
electricity_consumption,1.044,11268.752,10793.18,Building_4,building,SAC_DB2
carbon_emissions,1.034,1824.361,1764.849,Building_4,building,SAC_DB2
cost,1.034,21243.105,20538.662,Building_4,building,SAC_DB2
electricity_consumption,1.047,13729.491,13115.253,Building_10,building,SAC_DB2
carbon_emissions,1.051,2221.844,2114.945,Building_10,building,SAC_DB2
cost,1.037,25990.165,25054.945,Building_10,building,SAC_DB2
electricity_consumption,1.035,12742.627,12313.994,Building_11,building,SAC_DB2
carbon_emissions,1.028,2083.821,2026.653,Building_11,building,SAC_DB2
cost,1.02,23940.26,23464.466,Building_11,building,SAC_DB2
electricity_consumption,1.034,11300.721,10932.378,Building_13,building,SAC_DB2
carbon_emissions,1.03,1825.567,1771.832,Building_13,building,SAC_DB2
cost,1.027,20811.376,20258.862,Building_13,building,SAC_DB2
