kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.005,0.648,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,1.001,0.886,0.885,District,district,MARLISA
1 - load_factor,0.999,0.856,0.857,District,district,MARLISA
1 - used_pv_of_total_share,1.035,0.148,0.144,District,district,MARLISA
average_daily_peak,1.021,11.011,10.782,District,district,MARLISA
carbon_emissions,1.03,3506.697,3412.055,District,district,MARLISA
cost,1.024,3751.9,3670.012,District,district,MARLISA
electricity_consumption,1.031,6878.564,6683.189,District,district,MARLISA
fossil_energy_consumption,1.031,38632.221,37460.062,District,district,MARLISA
ramping,1.027,22160.01,21583.846,District,district,MARLISA
electricity_consumption,1.021,4624.187,4528.42,Building_3,building,MARLISA
carbon_emissions,1.02,2378.684,2332.712,Building_3,building,MARLISA
cost,1.014,2621.974,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,1.017,0.176,0.173,Building_3,building,MARLISA
electricity_consumption,1.043,5894.348,5652.286,Building_5,building,MARLISA
carbon_emissions,1.042,3001.786,2881.739,Building_5,building,MARLISA
cost,1.04,3194.373,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,1.027,0.125,0.122,Building_5,building,MARLISA
electricity_consumption,1.055,5843.844,5540.207,Building_7,building,MARLISA
carbon_emissions,1.052,2957.238,2810.394,Building_7,building,MARLISA
cost,1.042,3064.06,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,1.013,0.219,0.216,Building_7,building,MARLISA
electricity_consumption,1.034,6201.247,5997.7,Building_8,building,MARLISA
carbon_emissions,1.032,3161.779,3064.868,Building_8,building,MARLISA
cost,1.023,3372.101,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,1.035,0.156,0.151,Building_8,building,MARLISA
electricity_consumption,1.018,7773.665,7635.149,Building_11,building,MARLISA
carbon_emissions,1.018,3970.46,3901.761,Building_11,building,MARLISA
cost,1.015,4271.325,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,1.087,0.083,0.076,Building_11,building,MARLISA
electricity_consumption,1.018,10934.092,10745.375,Building_17,building,MARLISA
carbon_emissions,1.016,5570.236,5480.857,Building_17,building,MARLISA
cost,1.011,5987.566,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,1.03,0.13,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,1.0,0.645,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.999,0.884,0.885,District,district,MARLISA Best
1 - load_factor,1.0,0.857,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.993,0.143,0.144,District,district,MARLISA Best
average_daily_peak,0.996,10.74,10.782,District,district,MARLISA Best
carbon_emissions,0.999,3405.294,3412.055,District,district,MARLISA Best
cost,0.999,3663.074,3670.012,District,district,MARLISA Best
electricity_consumption,0.999,6669.662,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.998,37374.7,37460.062,District,district,MARLISA Best
ramping,0.998,21531.272,21583.846,District,district,MARLISA Best
electricity_consumption,0.999,4523.085,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.999,2330.117,2332.712,Building_3,building,MARLISA Best
cost,0.999,2582.073,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.999,0.173,0.173,Building_3,building,MARLISA Best
electricity_consumption,1.0,5652.274,5652.286,Building_5,building,MARLISA Best
carbon_emissions,1.0,2881.733,2881.739,Building_5,building,MARLISA Best
cost,1.0,3071.653,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,1.0,0.122,0.122,Building_5,building,MARLISA Best
electricity_consumption,1.0,5539.023,5540.207,Building_7,building,MARLISA Best
carbon_emissions,1.0,2809.763,2810.394,Building_7,building,MARLISA Best
cost,1.0,2939.047,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.999,0.216,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.999,5994.153,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.999,3063.134,3064.868,Building_8,building,MARLISA Best
cost,0.999,3294.939,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,1.0,0.151,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.999,7624.648,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.999,3896.577,3901.761,Building_11,building,MARLISA Best
cost,0.999,4201.229,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.996,0.076,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.994,10684.787,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.994,5450.441,5480.857,Building_17,building,MARLISA Best
cost,0.995,5889.502,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.965,0.122,0.127,Building_17,building,MARLISA Best
