kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.009,0.65,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,1.005,0.889,0.885,District,district,MARLISA
1 - load_factor,0.995,0.853,0.857,District,district,MARLISA
1 - used_pv_of_total_share,1.084,0.154,0.144,District,district,MARLISA
average_daily_peak,1.021,11.005,10.782,District,district,MARLISA
carbon_emissions,1.04,3543.84,3412.055,District,district,MARLISA
cost,1.034,3791.053,3670.012,District,district,MARLISA
electricity_consumption,1.041,6950.338,6683.189,District,district,MARLISA
fossil_energy_consumption,1.043,39063.357,37460.062,District,district,MARLISA
ramping,1.03,22227.362,21583.846,District,district,MARLISA
electricity_consumption,1.016,4599.831,4528.42,Building_3,building,MARLISA
carbon_emissions,1.015,2367.164,2332.712,Building_3,building,MARLISA
cost,1.011,2613.606,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,1.012,0.175,0.173,Building_3,building,MARLISA
electricity_consumption,1.084,6124.872,5652.286,Building_5,building,MARLISA
carbon_emissions,1.083,3119.546,2881.739,Building_5,building,MARLISA
cost,1.076,3305.396,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,1.183,0.144,0.122,Building_5,building,MARLISA
electricity_consumption,1.011,5601.042,5540.207,Building_7,building,MARLISA
carbon_emissions,1.011,2839.949,2810.394,Building_7,building,MARLISA
cost,1.009,2966.851,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,1.0,0.216,0.216,Building_7,building,MARLISA
electricity_consumption,1.072,6430.349,5997.7,Building_8,building,MARLISA
carbon_emissions,1.069,3276.359,3064.868,Building_8,building,MARLISA
cost,1.056,3481.463,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,1.162,0.175,0.151,Building_8,building,MARLISA
electricity_consumption,1.047,7995.491,7635.149,Building_11,building,MARLISA
carbon_emissions,1.045,4077.293,3901.761,Building_11,building,MARLISA
cost,1.036,4358.668,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,1.122,0.085,0.076,Building_11,building,MARLISA
electricity_consumption,1.019,10950.446,10745.375,Building_17,building,MARLISA
carbon_emissions,1.019,5582.73,5480.857,Building_17,building,MARLISA
cost,1.017,6020.333,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,1.028,0.13,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,1.001,0.645,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,1.0,0.885,0.885,District,district,MARLISA Best
1 - load_factor,0.995,0.853,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.972,0.141,0.144,District,district,MARLISA Best
average_daily_peak,0.99,10.68,10.782,District,district,MARLISA Best
carbon_emissions,0.998,3399.983,3412.055,District,district,MARLISA Best
cost,0.998,3656.91,3670.012,District,district,MARLISA Best
electricity_consumption,0.998,6659.21,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.996,37308.28,37460.062,District,district,MARLISA Best
ramping,0.997,21522.335,21583.846,District,district,MARLISA Best
electricity_consumption,0.999,4525.507,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.999,2330.978,2332.712,Building_3,building,MARLISA Best
cost,0.999,2581.527,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.99,0.172,0.173,Building_3,building,MARLISA Best
electricity_consumption,1.005,5678.541,5652.286,Building_5,building,MARLISA Best
carbon_emissions,1.004,2894.323,2881.739,Building_5,building,MARLISA Best
cost,1.003,3081.242,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,1.005,0.122,0.122,Building_5,building,MARLISA Best
electricity_consumption,1.003,5558.034,5540.207,Building_7,building,MARLISA Best
carbon_emissions,1.003,2818.681,2810.394,Building_7,building,MARLISA Best
cost,1.002,2945.206,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.985,0.213,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.998,5984.454,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.998,3058.296,3064.868,Building_8,building,MARLISA Best
cost,0.998,3291.076,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,1.018,0.153,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.995,7595.581,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.995,3882.442,3901.761,Building_11,building,MARLISA Best
cost,0.996,4188.344,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.97,0.074,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.988,10613.141,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.988,5415.179,5480.857,Building_17,building,MARLISA Best
cost,0.989,5854.062,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.863,0.109,0.127,Building_17,building,MARLISA Best
