kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.007,0.649,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,1.0,0.885,0.885,District,district,MARLISA
1 - load_factor,0.999,0.856,0.857,District,district,MARLISA
1 - used_pv_of_total_share,1.017,0.142,0.144,District,district,MARLISA
average_daily_peak,1.033,11.138,10.782,District,district,MARLISA
carbon_emissions,1.037,3528.051,3412.055,District,district,MARLISA
cost,1.038,3796.435,3670.012,District,district,MARLISA
electricity_consumption,1.037,6909.899,6683.189,District,district,MARLISA
fossil_energy_consumption,1.036,38797.942,37460.062,District,district,MARLISA
ramping,1.033,22287.982,21583.846,District,district,MARLISA
electricity_consumption,1.053,4766.336,4528.42,Building_3,building,MARLISA
carbon_emissions,1.053,2455.302,2332.712,Building_3,building,MARLISA
cost,1.049,2712.175,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.963,0.167,0.173,Building_3,building,MARLISA
electricity_consumption,1.061,5995.76,5652.286,Building_5,building,MARLISA
carbon_emissions,1.062,3060.769,2881.739,Building_5,building,MARLISA
cost,1.07,3287.36,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.971,0.118,0.122,Building_5,building,MARLISA
electricity_consumption,1.023,5667.852,5540.207,Building_7,building,MARLISA
carbon_emissions,1.024,2877.283,2810.394,Building_7,building,MARLISA
cost,1.031,3029.734,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.906,0.196,0.216,Building_7,building,MARLISA
electricity_consumption,1.019,6109.922,5997.7,Building_8,building,MARLISA
carbon_emissions,1.018,3118.602,3064.868,Building_8,building,MARLISA
cost,1.013,3338.601,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.967,0.146,0.151,Building_8,building,MARLISA
electricity_consumption,1.065,8130.843,7635.149,Building_11,building,MARLISA
carbon_emissions,1.065,4153.65,3901.761,Building_11,building,MARLISA
cost,1.063,4472.884,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,1.285,0.098,0.076,Building_11,building,MARLISA
electricity_consumption,1.004,10788.679,10745.375,Building_17,building,MARLISA
carbon_emissions,1.004,5502.697,5480.857,Building_17,building,MARLISA
cost,1.003,5937.855,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,1.008,0.128,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,1.001,0.645,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,1.0,0.885,0.885,District,district,MARLISA Best
1 - load_factor,0.999,0.856,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.976,0.14,0.144,District,district,MARLISA Best
average_daily_peak,0.991,10.688,10.782,District,district,MARLISA Best
carbon_emissions,0.999,3402.147,3412.055,District,district,MARLISA Best
cost,0.999,3660.635,3670.012,District,district,MARLISA Best
electricity_consumption,0.999,6662.952,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.997,37331.658,37460.062,District,district,MARLISA Best
ramping,0.993,21423.218,21583.846,District,district,MARLISA Best
electricity_consumption,1.0,4528.193,4528.42,Building_3,building,MARLISA Best
carbon_emissions,1.0,2332.605,2332.712,Building_3,building,MARLISA Best
cost,1.0,2584.481,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,1.0,0.173,0.173,Building_3,building,MARLISA Best
electricity_consumption,1.0,5652.286,5652.286,Building_5,building,MARLISA Best
carbon_emissions,1.0,2881.739,2881.739,Building_5,building,MARLISA Best
cost,1.0,3071.658,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,1.0,0.122,0.122,Building_5,building,MARLISA Best
electricity_consumption,1.008,5582.769,5540.207,Building_7,building,MARLISA Best
carbon_emissions,1.008,2832.763,2810.394,Building_7,building,MARLISA Best
cost,1.009,2965.721,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.908,0.196,0.216,Building_7,building,MARLISA Best
electricity_consumption,1.0,5996.831,5997.7,Building_8,building,MARLISA Best
carbon_emissions,1.0,3064.449,3064.868,Building_8,building,MARLISA Best
cost,1.0,3296.222,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,1.0,0.151,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.996,7607.668,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.996,3887.947,3901.761,Building_11,building,MARLISA Best
cost,0.996,4191.729,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.994,0.076,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.987,10609.966,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.988,5413.379,5480.857,Building_17,building,MARLISA Best
cost,0.989,5853.998,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.952,0.12,0.127,Building_17,building,MARLISA Best
