kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.0,0.644,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,0.999,0.885,0.885,District,district,MARLISA
1 - load_factor,1.001,0.857,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.993,0.143,0.144,District,district,MARLISA
average_daily_peak,0.998,10.766,10.782,District,district,MARLISA
carbon_emissions,0.999,3407.41,3412.055,District,district,MARLISA
cost,0.999,3665.589,3670.012,District,district,MARLISA
electricity_consumption,0.998,6673.86,6683.189,District,district,MARLISA
fossil_energy_consumption,0.998,37402.888,37460.062,District,district,MARLISA
ramping,0.997,21509.552,21583.846,District,district,MARLISA
electricity_consumption,0.999,4524.053,4528.42,Building_3,building,MARLISA
carbon_emissions,0.999,2330.535,2332.712,Building_3,building,MARLISA
cost,0.999,2582.27,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.999,0.173,0.173,Building_3,building,MARLISA
electricity_consumption,0.999,5646.836,5652.286,Building_5,building,MARLISA
carbon_emissions,0.999,2878.955,2881.739,Building_5,building,MARLISA
cost,0.999,3069.971,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.983,0.12,0.122,Building_5,building,MARLISA
electricity_consumption,0.999,5536.982,5540.207,Building_7,building,MARLISA
carbon_emissions,0.999,2808.817,2810.394,Building_7,building,MARLISA
cost,0.999,2938.344,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.992,0.215,0.216,Building_7,building,MARLISA
electricity_consumption,0.994,5960.379,5997.7,Building_8,building,MARLISA
carbon_emissions,0.994,3046.519,3064.868,Building_8,building,MARLISA
cost,0.995,3279.074,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.985,0.149,0.151,Building_8,building,MARLISA
electricity_consumption,1.0,7638.934,7635.149,Building_11,building,MARLISA
carbon_emissions,1.0,3903.428,3901.761,Building_11,building,MARLISA
cost,1.0,4207.946,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,1.001,0.076,0.076,Building_11,building,MARLISA
electricity_consumption,0.999,10735.976,10745.375,Building_17,building,MARLISA
carbon_emissions,0.999,5476.205,5480.857,Building_17,building,MARLISA
cost,0.999,5915.93,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,0.997,0.126,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,0.999,0.644,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.998,0.884,0.885,District,district,MARLISA Best
1 - load_factor,1.0,0.857,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.989,0.143,0.144,District,district,MARLISA Best
average_daily_peak,0.991,10.688,10.782,District,district,MARLISA Best
carbon_emissions,0.995,3394.865,3412.055,District,district,MARLISA Best
cost,0.995,3652.929,3670.012,District,district,MARLISA Best
electricity_consumption,0.994,6648.448,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.994,37250.438,37460.062,District,district,MARLISA Best
ramping,0.993,21431.941,21583.846,District,district,MARLISA Best
electricity_consumption,0.989,4477.678,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.989,2307.541,2332.712,Building_3,building,MARLISA Best
cost,0.99,2559.444,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.989,0.171,0.173,Building_3,building,MARLISA Best
electricity_consumption,0.996,5630.55,5652.286,Building_5,building,MARLISA Best
carbon_emissions,0.996,2871.126,2881.739,Building_5,building,MARLISA Best
cost,0.997,3061.788,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,0.992,0.121,0.122,Building_5,building,MARLISA Best
electricity_consumption,0.998,5527.2,5540.207,Building_7,building,MARLISA Best
carbon_emissions,0.998,2804.043,2810.394,Building_7,building,MARLISA Best
cost,0.998,2933.931,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.991,0.214,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.994,5961.862,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.994,3047.208,3064.868,Building_8,building,MARLISA Best
cost,0.995,3279.385,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.992,0.149,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.994,7588.312,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.994,3878.409,3901.761,Building_11,building,MARLISA Best
cost,0.994,4182.49,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.982,0.075,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.996,10705.088,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.996,5460.863,5480.857,Building_17,building,MARLISA Best
cost,0.997,5900.538,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.99,0.125,0.127,Building_17,building,MARLISA Best
