kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.996,0.642,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,0.99,0.876,0.885,District,district,MARLISA
1 - load_factor,0.995,0.853,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.912,0.132,0.144,District,district,MARLISA
average_daily_peak,0.978,10.544,10.782,District,district,MARLISA
carbon_emissions,0.983,3355.711,3412.055,District,district,MARLISA
cost,0.983,3608.402,3670.012,District,district,MARLISA
electricity_consumption,0.983,6572.284,6683.189,District,district,MARLISA
fossil_energy_consumption,0.981,36764.389,37460.062,District,district,MARLISA
ramping,0.985,21265.378,21583.846,District,district,MARLISA
electricity_consumption,0.972,4402.803,4528.42,Building_3,building,MARLISA
carbon_emissions,0.973,2268.941,2332.712,Building_3,building,MARLISA
cost,0.974,2516.65,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.93,0.161,0.173,Building_3,building,MARLISA
electricity_consumption,0.99,5597.777,5652.286,Building_5,building,MARLISA
carbon_emissions,0.99,2854.235,2881.739,Building_5,building,MARLISA
cost,0.991,3043.137,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.926,0.113,0.122,Building_5,building,MARLISA
electricity_consumption,0.989,5480.726,5540.207,Building_7,building,MARLISA
carbon_emissions,0.989,2779.729,2810.394,Building_7,building,MARLISA
cost,0.988,2905.625,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.954,0.206,0.216,Building_7,building,MARLISA
electricity_consumption,0.979,5873.605,5997.7,Building_8,building,MARLISA
carbon_emissions,0.98,3002.432,3064.868,Building_8,building,MARLISA
cost,0.98,3232.144,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.922,0.139,0.151,Building_8,building,MARLISA
electricity_consumption,0.982,7496.313,7635.149,Building_11,building,MARLISA
carbon_emissions,0.982,3831.922,3901.761,Building_11,building,MARLISA
cost,0.982,4132.176,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,0.917,0.07,0.076,Building_11,building,MARLISA
electricity_consumption,0.985,10582.48,10745.375,Building_17,building,MARLISA
carbon_emissions,0.985,5397.009,5480.857,Building_17,building,MARLISA
cost,0.983,5820.677,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,0.825,0.105,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,1.0,0.645,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.991,0.877,0.885,District,district,MARLISA Best
1 - load_factor,0.99,0.848,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.922,0.131,0.144,District,district,MARLISA Best
average_daily_peak,0.942,10.155,10.782,District,district,MARLISA Best
carbon_emissions,0.982,3358.894,3412.055,District,district,MARLISA Best
cost,0.981,3610.774,3670.012,District,district,MARLISA Best
electricity_consumption,0.981,6578.716,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.982,36790.649,37460.062,District,district,MARLISA Best
ramping,0.967,20865.055,21583.846,District,district,MARLISA Best
electricity_consumption,0.942,4265.427,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.942,2196.761,2332.712,Building_3,building,MARLISA Best
cost,0.938,2423.189,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.796,0.138,0.173,Building_3,building,MARLISA Best
electricity_consumption,0.989,5590.592,5652.286,Building_5,building,MARLISA Best
carbon_emissions,0.989,2851.328,2881.739,Building_5,building,MARLISA Best
cost,0.99,3041.945,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,0.91,0.111,0.122,Building_5,building,MARLISA Best
electricity_consumption,0.994,5508.005,5540.207,Building_7,building,MARLISA Best
carbon_emissions,0.994,2792.564,2810.394,Building_7,building,MARLISA Best
cost,0.991,2913.753,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.929,0.201,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.976,5855.352,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.977,2993.32,3064.868,Building_8,building,MARLISA Best
cost,0.978,3222.55,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.932,0.141,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.998,7619.51,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.998,3894.134,3901.761,Building_11,building,MARLISA Best
cost,0.998,4199.127,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.995,0.076,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.99,10633.409,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.99,5425.259,5480.857,Building_17,building,MARLISA Best
cost,0.99,5864.077,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.967,0.122,0.127,Building_17,building,MARLISA Best
