kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.002,0.646,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,0.995,0.881,0.885,District,district,MARLISA
1 - load_factor,0.995,0.853,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.943,0.136,0.144,District,district,MARLISA
average_daily_peak,1.004,10.825,10.782,District,district,MARLISA
carbon_emissions,1.001,3405.131,3412.055,District,district,MARLISA
cost,1.002,3667.309,3670.012,District,district,MARLISA
electricity_consumption,1.0,6668.223,6683.189,District,district,MARLISA
fossil_energy_consumption,0.997,37339.058,37460.062,District,district,MARLISA
ramping,1.017,21941.193,21583.846,District,district,MARLISA
electricity_consumption,1.015,4597.184,4528.42,Building_3,building,MARLISA
carbon_emissions,1.016,2370.101,2332.712,Building_3,building,MARLISA
cost,1.02,2636.943,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.964,0.167,0.173,Building_3,building,MARLISA
electricity_consumption,1.009,5704.569,5652.286,Building_5,building,MARLISA
carbon_emissions,1.009,2907.007,2881.739,Building_5,building,MARLISA
cost,1.008,3095.428,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.969,0.118,0.122,Building_5,building,MARLISA
electricity_consumption,1.006,5573.847,5540.207,Building_7,building,MARLISA
carbon_emissions,1.006,2825.911,2810.394,Building_7,building,MARLISA
cost,1.004,2951.744,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.922,0.2,0.216,Building_7,building,MARLISA
electricity_consumption,0.992,5951.142,5997.7,Building_8,building,MARLISA
carbon_emissions,0.993,3042.525,3064.868,Building_8,building,MARLISA
cost,0.995,3278.749,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.96,0.145,0.151,Building_8,building,MARLISA
electricity_consumption,0.995,7598.01,7635.149,Building_11,building,MARLISA
carbon_emissions,0.996,3886.972,3901.761,Building_11,building,MARLISA
cost,1.002,4212.922,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,0.94,0.072,0.076,Building_11,building,MARLISA
electricity_consumption,0.985,10584.585,10745.375,Building_17,building,MARLISA
carbon_emissions,0.985,5398.268,5480.857,Building_17,building,MARLISA
cost,0.984,5828.07,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,0.903,0.114,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,0.998,0.643,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.995,0.881,0.885,District,district,MARLISA Best
1 - load_factor,0.995,0.853,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.944,0.136,0.144,District,district,MARLISA Best
average_daily_peak,0.976,10.52,10.782,District,district,MARLISA Best
carbon_emissions,0.987,3367.103,3412.055,District,district,MARLISA Best
cost,0.988,3625.238,3670.012,District,district,MARLISA Best
electricity_consumption,0.987,6593.101,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.985,36898.185,37460.062,District,district,MARLISA Best
ramping,0.984,21234.144,21583.846,District,district,MARLISA Best
electricity_consumption,0.979,4433.833,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.979,2284.78,2332.712,Building_3,building,MARLISA Best
cost,0.98,2533.15,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.94,0.163,0.173,Building_3,building,MARLISA Best
electricity_consumption,0.992,5607.248,5652.286,Building_5,building,MARLISA Best
carbon_emissions,0.992,2859.848,2881.739,Building_5,building,MARLISA Best
cost,0.994,3051.742,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,0.965,0.118,0.122,Building_5,building,MARLISA Best
electricity_consumption,1.005,5570.136,5540.207,Building_7,building,MARLISA Best
carbon_emissions,1.005,2824.772,2810.394,Building_7,building,MARLISA Best
cost,1.004,2951.604,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.939,0.203,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.985,5907.578,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.985,3019.652,3064.868,Building_8,building,MARLISA Best
cost,0.986,3251.414,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.947,0.143,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.97,7403.933,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.971,3787.252,3901.761,Building_11,building,MARLISA Best
cost,0.974,4097.257,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.908,0.069,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.99,10635.875,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.99,5426.313,5480.857,Building_17,building,MARLISA Best
cost,0.991,5866.26,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.965,0.122,0.127,Building_17,building,MARLISA Best
