kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.003,0.647,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,0.994,0.88,0.885,District,district,MARLISA
1 - load_factor,0.99,0.848,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.915,0.132,0.144,District,district,MARLISA
average_daily_peak,0.964,10.398,10.782,District,district,MARLISA
carbon_emissions,0.994,3390.402,3412.055,District,district,MARLISA
cost,0.993,3639.423,3670.012,District,district,MARLISA
electricity_consumption,0.994,6642.344,6683.189,District,district,MARLISA
fossil_energy_consumption,0.992,37161.889,37460.062,District,district,MARLISA
ramping,0.986,21276.752,21583.846,District,district,MARLISA
electricity_consumption,0.96,4345.688,4528.42,Building_3,building,MARLISA
carbon_emissions,0.959,2238.171,2332.712,Building_3,building,MARLISA
cost,0.958,2476.786,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.911,0.158,0.173,Building_3,building,MARLISA
electricity_consumption,0.999,5648.574,5652.286,Building_5,building,MARLISA
carbon_emissions,0.999,2879.285,2881.739,Building_5,building,MARLISA
cost,0.998,3066.367,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.94,0.115,0.122,Building_5,building,MARLISA
electricity_consumption,1.048,5806.574,5540.207,Building_7,building,MARLISA
carbon_emissions,1.049,2946.787,2810.394,Building_7,building,MARLISA
cost,1.048,3081.688,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.879,0.19,0.216,Building_7,building,MARLISA
electricity_consumption,0.985,5908.1,5997.7,Building_8,building,MARLISA
carbon_emissions,0.985,3017.823,3064.868,Building_8,building,MARLISA
cost,0.982,3237.563,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.945,0.142,0.151,Building_8,building,MARLISA
electricity_consumption,0.981,7493.78,7635.149,Building_11,building,MARLISA
carbon_emissions,0.981,3829.564,3901.761,Building_11,building,MARLISA
cost,0.98,4120.944,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,0.894,0.068,0.076,Building_11,building,MARLISA
electricity_consumption,0.991,10651.347,10745.375,Building_17,building,MARLISA
carbon_emissions,0.991,5430.784,5480.857,Building_17,building,MARLISA
cost,0.989,5853.187,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,0.923,0.117,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,0.999,0.644,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.994,0.879,0.885,District,district,MARLISA Best
1 - load_factor,0.994,0.851,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.939,0.136,0.144,District,district,MARLISA Best
average_daily_peak,0.97,10.459,10.782,District,district,MARLISA Best
carbon_emissions,0.988,3367.83,3412.055,District,district,MARLISA Best
cost,0.988,3622.316,3670.012,District,district,MARLISA Best
electricity_consumption,0.988,6595.721,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.985,36904.505,37460.062,District,district,MARLISA Best
ramping,0.979,21127.591,21583.846,District,district,MARLISA Best
electricity_consumption,0.987,4468.698,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.987,2303.012,2332.712,Building_3,building,MARLISA Best
cost,0.988,2554.079,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.966,0.167,0.173,Building_3,building,MARLISA Best
electricity_consumption,0.993,5611.143,5652.286,Building_5,building,MARLISA Best
carbon_emissions,0.993,2861.69,2881.739,Building_5,building,MARLISA Best
cost,0.994,3053.027,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,0.947,0.115,0.122,Building_5,building,MARLISA Best
electricity_consumption,0.994,5508.424,5540.207,Building_7,building,MARLISA Best
carbon_emissions,0.994,2794.735,2810.394,Building_7,building,MARLISA Best
cost,0.995,2924.198,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.965,0.209,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.988,5924.454,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.988,3028.862,3064.868,Building_8,building,MARLISA Best
cost,0.989,3262.01,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.964,0.145,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.985,7522.614,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.985,3844.71,3901.761,Building_11,building,MARLISA Best
cost,0.985,4142.539,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.936,0.071,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.981,10538.993,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.98,5373.971,5480.857,Building_17,building,MARLISA Best
cost,0.979,5798.042,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.856,0.108,0.127,Building_17,building,MARLISA Best
