kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.997,0.642,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,0.988,0.875,0.885,District,district,MARLISA
1 - load_factor,0.985,0.844,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.866,0.124,0.144,District,district,MARLISA
average_daily_peak,0.94,10.137,10.782,District,district,MARLISA
carbon_emissions,0.971,3321.913,3412.055,District,district,MARLISA
cost,0.969,3565.774,3670.012,District,district,MARLISA
electricity_consumption,0.972,6508.81,6683.189,District,district,MARLISA
fossil_energy_consumption,0.971,36356.427,37460.062,District,district,MARLISA
ramping,0.972,20981.177,21583.846,District,district,MARLISA
electricity_consumption,0.966,4374.07,4528.42,Building_3,building,MARLISA
carbon_emissions,0.966,2253.22,2332.712,Building_3,building,MARLISA
cost,0.965,2494.221,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.913,0.158,0.173,Building_3,building,MARLISA
electricity_consumption,0.975,5509.653,5652.286,Building_5,building,MARLISA
carbon_emissions,0.975,2809.494,2881.739,Building_5,building,MARLISA
cost,0.975,2996.039,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.822,0.1,0.122,Building_5,building,MARLISA
electricity_consumption,0.965,5346.179,5540.207,Building_7,building,MARLISA
carbon_emissions,0.963,2707.37,2810.394,Building_7,building,MARLISA
cost,0.956,2810.626,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.793,0.172,0.216,Building_7,building,MARLISA
electricity_consumption,0.958,5746.485,5997.7,Building_8,building,MARLISA
carbon_emissions,0.958,2935.6,3064.868,Building_8,building,MARLISA
cost,0.956,3150.462,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.869,0.131,0.151,Building_8,building,MARLISA
electricity_consumption,0.98,7482.598,7635.149,Building_11,building,MARLISA
carbon_emissions,0.98,3824.792,3901.761,Building_11,building,MARLISA
cost,0.981,4124.884,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,0.911,0.069,0.076,Building_11,building,MARLISA
electricity_consumption,0.986,10593.872,10745.375,Building_17,building,MARLISA
carbon_emissions,0.985,5401.004,5480.857,Building_17,building,MARLISA
cost,0.983,5818.412,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,0.886,0.112,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,0.999,0.644,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.993,0.879,0.885,District,district,MARLISA Best
1 - load_factor,0.995,0.853,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.922,0.133,0.144,District,district,MARLISA Best
average_daily_peak,0.965,10.401,10.782,District,district,MARLISA Best
carbon_emissions,0.986,3366.17,3412.055,District,district,MARLISA Best
cost,0.986,3619.231,3670.012,District,district,MARLISA Best
electricity_consumption,0.986,6593.069,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.985,36883.681,37460.062,District,district,MARLISA Best
ramping,0.986,21273.567,21583.846,District,district,MARLISA Best
electricity_consumption,0.98,4437.368,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.981,2287.649,2332.712,Building_3,building,MARLISA Best
cost,0.983,2540.194,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.949,0.164,0.173,Building_3,building,MARLISA Best
electricity_consumption,0.986,5573.682,5652.286,Building_5,building,MARLISA Best
carbon_emissions,0.987,2842.839,2881.739,Building_5,building,MARLISA Best
cost,0.988,3033.552,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,0.878,0.107,0.122,Building_5,building,MARLISA Best
electricity_consumption,0.999,5534.119,5540.207,Building_7,building,MARLISA Best
carbon_emissions,0.999,2807.216,2810.394,Building_7,building,MARLISA Best
cost,0.999,2936.131,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.945,0.205,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.976,5850.897,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.974,2985.959,3064.868,Building_8,building,MARLISA Best
cost,0.969,3193.071,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.859,0.129,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.987,7537.268,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.988,3853.542,3901.761,Building_11,building,MARLISA Best
cost,0.989,4159.742,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.954,0.073,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.989,10625.082,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.989,5419.817,5480.857,Building_17,building,MARLISA Best
cost,0.989,5852.698,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.948,0.12,0.127,Building_17,building,MARLISA Best
