kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.007,0.649,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,1.0,0.885,0.885,District,district,MARLISA
1 - load_factor,0.994,0.851,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.991,0.142,0.144,District,district,MARLISA
average_daily_peak,1.014,10.937,10.782,District,district,MARLISA
carbon_emissions,1.022,3483.369,3412.055,District,district,MARLISA
cost,1.015,3722.37,3670.012,District,district,MARLISA
electricity_consumption,1.024,6833.802,6683.189,District,district,MARLISA
fossil_energy_consumption,1.024,38343.502,37460.062,District,district,MARLISA
ramping,1.048,22629.501,21583.846,District,district,MARLISA
electricity_consumption,1.02,4617.71,4528.42,Building_3,building,MARLISA
carbon_emissions,1.018,2375.153,2332.712,Building_3,building,MARLISA
cost,1.013,2616.889,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.988,0.171,0.173,Building_3,building,MARLISA
electricity_consumption,1.027,5807.64,5652.286,Building_5,building,MARLISA
carbon_emissions,1.026,2957.116,2881.739,Building_5,building,MARLISA
cost,1.021,3135.789,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,1.001,0.122,0.122,Building_5,building,MARLISA
electricity_consumption,1.031,5712.463,5540.207,Building_7,building,MARLISA
carbon_emissions,1.029,2892.523,2810.394,Building_7,building,MARLISA
cost,1.022,3003.955,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.973,0.211,0.216,Building_7,building,MARLISA
electricity_consumption,1.032,6192.049,5997.7,Building_8,building,MARLISA
carbon_emissions,1.029,3153.696,3064.868,Building_8,building,MARLISA
cost,1.015,3345.361,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.971,0.146,0.151,Building_8,building,MARLISA
electricity_consumption,1.019,7781.68,7635.149,Building_11,building,MARLISA
carbon_emissions,1.018,3972.033,3901.761,Building_11,building,MARLISA
cost,1.013,4260.559,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,1.005,0.076,0.076,Building_11,building,MARLISA
electricity_consumption,1.014,10891.269,10745.375,Building_17,building,MARLISA
carbon_emissions,1.013,5549.693,5480.857,Building_17,building,MARLISA
cost,1.009,5971.666,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,1.006,0.127,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,1.001,0.645,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.999,0.884,0.885,District,district,MARLISA Best
1 - load_factor,0.998,0.855,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.983,0.142,0.144,District,district,MARLISA Best
average_daily_peak,0.985,10.623,10.782,District,district,MARLISA Best
carbon_emissions,0.995,3396.581,3412.055,District,district,MARLISA Best
cost,0.995,3651.729,3670.012,District,district,MARLISA Best
electricity_consumption,0.995,6653.424,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.995,37271.647,37460.062,District,district,MARLISA Best
ramping,0.991,21396.431,21583.846,District,district,MARLISA Best
electricity_consumption,0.998,4519.725,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.998,2328.469,2332.712,Building_3,building,MARLISA Best
cost,0.998,2580.502,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.998,0.173,0.173,Building_3,building,MARLISA Best
electricity_consumption,0.998,5642.655,5652.286,Building_5,building,MARLISA Best
carbon_emissions,0.998,2876.931,2881.739,Building_5,building,MARLISA Best
cost,0.998,3066.27,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,0.983,0.12,0.122,Building_5,building,MARLISA Best
electricity_consumption,1.001,5544.366,5540.207,Building_7,building,MARLISA Best
carbon_emissions,1.001,2812.313,2810.394,Building_7,building,MARLISA Best
cost,1.0,2940.773,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.997,0.216,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.985,5907.934,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.985,3018.073,3064.868,Building_8,building,MARLISA Best
cost,0.983,3242.029,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.963,0.145,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.992,7573.51,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.992,3869.371,3901.761,Building_11,building,MARLISA Best
cost,0.991,4167.045,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.959,0.073,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.999,10732.354,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.999,5474.33,5480.857,Building_17,building,MARLISA Best
cost,0.999,5913.756,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.997,0.126,0.127,Building_17,building,MARLISA Best
