kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.003,0.646,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,0.999,0.884,0.885,District,district,MARLISA
1 - load_factor,0.998,0.855,0.857,District,district,MARLISA
1 - used_pv_of_total_share,1.009,0.145,0.144,District,district,MARLISA
average_daily_peak,0.999,10.771,10.782,District,district,MARLISA
carbon_emissions,1.008,3439.64,3412.055,District,district,MARLISA
cost,1.005,3688.804,3670.012,District,district,MARLISA
electricity_consumption,1.009,6742.64,6683.189,District,district,MARLISA
fossil_energy_consumption,1.009,37802.527,37460.062,District,district,MARLISA
ramping,1.01,21790.158,21583.846,District,district,MARLISA
electricity_consumption,1.007,4559.316,4528.42,Building_3,building,MARLISA
carbon_emissions,1.006,2345.966,2332.712,Building_3,building,MARLISA
cost,1.002,2588.66,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,1.01,0.175,0.173,Building_3,building,MARLISA
electricity_consumption,1.0,5653.35,5652.286,Building_5,building,MARLISA
carbon_emissions,1.0,2881.643,2881.739,Building_5,building,MARLISA
cost,0.999,3069.111,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.997,0.122,0.122,Building_5,building,MARLISA
electricity_consumption,1.033,5724.454,5540.207,Building_7,building,MARLISA
carbon_emissions,1.031,2897.562,2810.394,Building_7,building,MARLISA
cost,1.023,3008.814,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.989,0.214,0.216,Building_7,building,MARLISA
electricity_consumption,1.007,6039.271,5997.7,Building_8,building,MARLISA
carbon_emissions,1.006,3084.351,3064.868,Building_8,building,MARLISA
cost,1.003,3307.531,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,1.011,0.152,0.151,Building_8,building,MARLISA
electricity_consumption,0.998,7619.492,7635.149,Building_11,building,MARLISA
carbon_emissions,0.998,3893.647,3901.761,Building_11,building,MARLISA
cost,0.998,4197.425,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,1.001,0.076,0.076,Building_11,building,MARLISA
electricity_consumption,1.011,10859.959,10745.375,Building_17,building,MARLISA
carbon_emissions,1.01,5534.669,5480.857,Building_17,building,MARLISA
cost,1.007,5961.286,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,1.046,0.132,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,0.999,0.644,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.999,0.884,0.885,District,district,MARLISA Best
1 - load_factor,1.0,0.857,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.99,0.143,0.144,District,district,MARLISA Best
average_daily_peak,0.993,10.71,10.782,District,district,MARLISA Best
carbon_emissions,0.996,3398.969,3412.055,District,district,MARLISA Best
cost,0.996,3656.784,3670.012,District,district,MARLISA Best
electricity_consumption,0.996,6656.951,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.996,37300.126,37460.062,District,district,MARLISA Best
ramping,0.992,21419.763,21583.846,District,district,MARLISA Best
electricity_consumption,0.994,4500.631,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.994,2319.111,2332.712,Building_3,building,MARLISA Best
cost,0.995,2571.665,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.994,0.172,0.173,Building_3,building,MARLISA Best
electricity_consumption,0.998,5640.879,5652.286,Building_5,building,MARLISA Best
carbon_emissions,0.998,2876.204,2881.739,Building_5,building,MARLISA Best
cost,0.998,3066.625,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,0.992,0.121,0.122,Building_5,building,MARLISA Best
electricity_consumption,0.997,5526.139,5540.207,Building_7,building,MARLISA Best
carbon_emissions,0.997,2802.555,2810.394,Building_7,building,MARLISA Best
cost,0.996,2928.924,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.989,0.214,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.996,5976.224,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.997,3054.39,3064.868,Building_8,building,MARLISA Best
cost,0.997,3286.945,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.996,0.15,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.996,7602.845,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.996,3885.981,3901.761,Building_11,building,MARLISA Best
cost,0.996,4191.753,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.988,0.075,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.995,10694.986,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.995,5455.575,5480.857,Building_17,building,MARLISA Best
cost,0.996,5894.793,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.984,0.125,0.127,Building_17,building,MARLISA Best
