kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.005,0.648,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,0.994,0.879,0.885,District,district,MARLISA
1 - load_factor,0.985,0.844,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.859,0.124,0.144,District,district,MARLISA
average_daily_peak,0.965,10.4,10.782,District,district,MARLISA
carbon_emissions,0.992,3375.833,3412.055,District,district,MARLISA
cost,0.988,3616.243,3670.012,District,district,MARLISA
electricity_consumption,0.992,6616.646,6683.189,District,district,MARLISA
fossil_energy_consumption,0.988,37006.326,37460.062,District,district,MARLISA
ramping,1.031,22242.998,21583.846,District,district,MARLISA
electricity_consumption,0.956,4331.045,4528.42,Building_3,building,MARLISA
carbon_emissions,0.956,2228.961,2332.712,Building_3,building,MARLISA
cost,0.951,2459.022,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.832,0.144,0.173,Building_3,building,MARLISA
electricity_consumption,0.999,5649.239,5652.286,Building_5,building,MARLISA
carbon_emissions,0.999,2878.961,2881.739,Building_5,building,MARLISA
cost,0.997,3062.475,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.876,0.107,0.122,Building_5,building,MARLISA
electricity_consumption,1.062,5886.325,5540.207,Building_7,building,MARLISA
carbon_emissions,1.062,2983.396,2810.394,Building_7,building,MARLISA
cost,1.055,3101.273,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.886,0.192,0.216,Building_7,building,MARLISA
electricity_consumption,0.971,5821.511,5997.7,Building_8,building,MARLISA
carbon_emissions,0.97,2972.613,3064.868,Building_8,building,MARLISA
cost,0.966,3184.833,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.862,0.13,0.151,Building_8,building,MARLISA
electricity_consumption,0.994,7586.431,7635.149,Building_11,building,MARLISA
carbon_emissions,0.993,3875.131,3901.761,Building_11,building,MARLISA
cost,0.989,4160.036,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,0.889,0.068,0.076,Building_11,building,MARLISA
electricity_consumption,0.97,10425.325,10745.375,Building_17,building,MARLISA
carbon_emissions,0.97,5315.937,5480.857,Building_17,building,MARLISA
cost,0.968,5729.821,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,0.808,0.102,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,0.994,0.641,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,0.988,0.874,0.885,District,district,MARLISA Best
1 - load_factor,0.99,0.848,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.868,0.127,0.144,District,district,MARLISA Best
average_daily_peak,0.938,10.117,10.782,District,district,MARLISA Best
carbon_emissions,0.968,3301.035,3412.055,District,district,MARLISA Best
cost,0.967,3544.968,3670.012,District,district,MARLISA Best
electricity_consumption,0.968,6466.27,6683.189,District,district,MARLISA Best
fossil_energy_consumption,0.964,36114.331,37460.062,District,district,MARLISA Best
ramping,0.973,20999.756,21583.846,District,district,MARLISA Best
electricity_consumption,0.946,4284.56,4528.42,Building_3,building,MARLISA Best
carbon_emissions,0.947,2207.97,2332.712,Building_3,building,MARLISA Best
cost,0.946,2444.896,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.883,0.153,0.173,Building_3,building,MARLISA Best
electricity_consumption,0.985,5566.251,5652.286,Building_5,building,MARLISA Best
carbon_emissions,0.985,2839.165,2881.739,Building_5,building,MARLISA Best
cost,0.986,3029.639,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,0.89,0.109,0.122,Building_5,building,MARLISA Best
electricity_consumption,0.992,5493.84,5540.207,Building_7,building,MARLISA Best
carbon_emissions,0.992,2787.452,2810.394,Building_7,building,MARLISA Best
cost,0.992,2917.098,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.95,0.206,0.216,Building_7,building,MARLISA Best
electricity_consumption,0.959,5754.328,5997.7,Building_8,building,MARLISA Best
carbon_emissions,0.959,2939.12,3064.868,Building_8,building,MARLISA Best
cost,0.956,3152.429,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.874,0.132,0.151,Building_8,building,MARLISA Best
electricity_consumption,0.965,7366.683,7635.149,Building_11,building,MARLISA Best
carbon_emissions,0.964,3762.396,3901.761,Building_11,building,MARLISA Best
cost,0.96,4037.508,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.828,0.063,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.962,10331.96,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.962,5270.108,5480.857,Building_17,building,MARLISA Best
cost,0.961,5688.24,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.78,0.099,0.127,Building_17,building,MARLISA Best
