kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.004,0.647,0.645,District,district,MARLISA
1 - average_daily_renewable_share_grid,0.998,0.883,0.885,District,district,MARLISA
1 - load_factor,0.999,0.856,0.857,District,district,MARLISA
1 - used_pv_of_total_share,0.946,0.135,0.144,District,district,MARLISA
average_daily_peak,1.056,11.387,10.782,District,district,MARLISA
carbon_emissions,1.028,3498.455,3412.055,District,district,MARLISA
cost,1.028,3766.798,3670.012,District,district,MARLISA
electricity_consumption,1.028,6854.651,6683.189,District,district,MARLISA
fossil_energy_consumption,1.027,38464.378,37460.062,District,district,MARLISA
ramping,1.061,22902.06,21583.846,District,district,MARLISA
electricity_consumption,1.043,4725.174,4528.42,Building_3,building,MARLISA
carbon_emissions,1.042,2429.872,2332.712,Building_3,building,MARLISA
cost,1.039,2684.479,2584.57,Building_3,building,MARLISA
1 - used_pv_of_total_share,0.893,0.155,0.173,Building_3,building,MARLISA
electricity_consumption,1.036,5857.457,5652.286,Building_5,building,MARLISA
carbon_emissions,1.035,2983.334,2881.739,Building_5,building,MARLISA
cost,1.035,3180.085,3071.658,Building_5,building,MARLISA
1 - used_pv_of_total_share,0.873,0.106,0.122,Building_5,building,MARLISA
electricity_consumption,1.032,5715.407,5540.207,Building_7,building,MARLISA
carbon_emissions,1.031,2898.289,2810.394,Building_7,building,MARLISA
cost,1.033,3036.074,2939.918,Building_7,building,MARLISA
1 - used_pv_of_total_share,0.928,0.201,0.216,Building_7,building,MARLISA
electricity_consumption,1.025,6149.052,5997.7,Building_8,building,MARLISA
carbon_emissions,1.025,3142.655,3064.868,Building_8,building,MARLISA
cost,1.029,3391.706,3296.626,Building_8,building,MARLISA
1 - used_pv_of_total_share,0.98,0.148,0.151,Building_8,building,MARLISA
electricity_consumption,1.012,7723.795,7635.149,Building_11,building,MARLISA
carbon_emissions,1.012,3947.384,3901.761,Building_11,building,MARLISA
cost,1.013,4259.883,4206.557,Building_11,building,MARLISA
1 - used_pv_of_total_share,1.007,0.077,0.076,Building_11,building,MARLISA
electricity_consumption,1.02,10957.023,10745.375,Building_17,building,MARLISA
carbon_emissions,1.02,5589.196,5480.857,Building_17,building,MARLISA
cost,1.022,6048.564,5920.74,Building_17,building,MARLISA
1 - used_pv_of_total_share,0.992,0.126,0.127,Building_17,building,MARLISA
1 - average_daily_renewable_share,1.0,0.645,0.645,District,district,MARLISA Best
1 - average_daily_renewable_share_grid,1.0,0.885,0.885,District,district,MARLISA Best
1 - load_factor,1.0,0.856,0.857,District,district,MARLISA Best
1 - used_pv_of_total_share,0.996,0.144,0.144,District,district,MARLISA Best
average_daily_peak,1.0,10.78,10.782,District,district,MARLISA Best
carbon_emissions,1.0,3411.889,3412.055,District,district,MARLISA Best
cost,1.0,3670.832,3670.012,District,district,MARLISA Best
electricity_consumption,1.0,6682.4,6683.189,District,district,MARLISA Best
fossil_energy_consumption,1.0,37454.762,37460.062,District,district,MARLISA Best
ramping,0.999,21561.871,21583.846,District,district,MARLISA Best
electricity_consumption,1.001,4530.973,4528.42,Building_3,building,MARLISA Best
carbon_emissions,1.001,2334.075,2332.712,Building_3,building,MARLISA Best
cost,1.001,2586.254,2584.57,Building_3,building,MARLISA Best
1 - used_pv_of_total_share,0.996,0.172,0.173,Building_3,building,MARLISA Best
electricity_consumption,1.0,5652.791,5652.286,Building_5,building,MARLISA Best
carbon_emissions,1.0,2882.137,2881.739,Building_5,building,MARLISA Best
cost,1.0,3072.648,3071.658,Building_5,building,MARLISA Best
1 - used_pv_of_total_share,0.995,0.121,0.122,Building_5,building,MARLISA Best
electricity_consumption,1.0,5539.354,5540.207,Building_7,building,MARLISA Best
carbon_emissions,1.0,2810.238,2810.394,Building_7,building,MARLISA Best
cost,1.0,2940.895,2939.918,Building_7,building,MARLISA Best
1 - used_pv_of_total_share,0.996,0.216,0.216,Building_7,building,MARLISA Best
electricity_consumption,1.0,5997.073,5997.7,Building_8,building,MARLISA Best
carbon_emissions,1.0,3064.835,3064.868,Building_8,building,MARLISA Best
cost,1.0,3297.79,3296.626,Building_8,building,MARLISA Best
1 - used_pv_of_total_share,0.996,0.15,0.151,Building_8,building,MARLISA Best
electricity_consumption,1.0,7635.822,7635.149,Building_11,building,MARLISA Best
carbon_emissions,1.0,3902.44,3901.761,Building_11,building,MARLISA Best
cost,1.001,4208.665,4206.557,Building_11,building,MARLISA Best
1 - used_pv_of_total_share,0.997,0.076,0.076,Building_11,building,MARLISA Best
electricity_consumption,0.999,10738.39,10745.375,Building_17,building,MARLISA Best
carbon_emissions,0.999,5477.611,5480.857,Building_17,building,MARLISA Best
cost,1.0,5918.738,5920.74,Building_17,building,MARLISA Best
1 - used_pv_of_total_share,0.996,0.126,0.127,Building_17,building,MARLISA Best
