kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.044,0.673,0.645,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,1.01,0.894,0.885,District,district,SAC_DB2
1 - load_factor,0.986,0.844,0.857,District,district,SAC_DB2
1 - used_pv_of_total_share,1.001,0.143,0.144,District,district,SAC_DB2
average_daily_peak,1.033,11.142,10.782,District,district,SAC_DB2
carbon_emissions,1.098,3729.728,3412.055,District,district,SAC_DB2
cost,1.089,3988.642,3670.012,District,district,SAC_DB2
electricity_consumption,1.099,7313.415,6683.189,District,district,SAC_DB2
ramping,1.135,24503.348,21583.846,District,district,SAC_DB2
electricity_consumption,1.165,5276.049,4528.42,Building_3,building,SAC_DB2
carbon_emissions,1.162,2709.503,2332.712,Building_3,building,SAC_DB2
cost,1.146,2962.126,2584.57,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.91,0.158,0.173,Building_3,building,SAC_DB2
electricity_consumption,1.076,6083.561,5652.286,Building_5,building,SAC_DB2
carbon_emissions,1.075,3097.335,2881.739,Building_5,building,SAC_DB2
cost,1.067,3276.083,3071.658,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,0.876,0.107,0.122,Building_5,building,SAC_DB2
electricity_consumption,1.064,5894.374,5540.207,Building_7,building,SAC_DB2
carbon_emissions,1.064,2989.248,2810.394,Building_7,building,SAC_DB2
cost,1.061,3119.955,2939.918,Building_7,building,SAC_DB2
1 - used_pv_of_total_share,0.946,0.205,0.216,Building_7,building,SAC_DB2
electricity_consumption,1.161,6965.594,5997.7,Building_8,building,SAC_DB2
carbon_emissions,1.156,3543.887,3064.868,Building_8,building,SAC_DB2
cost,1.133,3735.871,3296.626,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,1.004,0.151,0.151,Building_8,building,SAC_DB2
electricity_consumption,1.035,7900.087,7635.149,Building_11,building,SAC_DB2
carbon_emissions,1.034,4035.945,3901.761,Building_11,building,SAC_DB2
cost,1.034,4349.524,4206.557,Building_11,building,SAC_DB2
1 - used_pv_of_total_share,1.01,0.077,0.076,Building_11,building,SAC_DB2
electricity_consumption,1.095,11760.821,10745.375,Building_17,building,SAC_DB2
carbon_emissions,1.095,6002.448,5480.857,Building_17,building,SAC_DB2
cost,1.096,6488.296,5920.74,Building_17,building,SAC_DB2
1 - used_pv_of_total_share,1.257,0.159,0.127,Building_17,building,SAC_DB2
1 - average_daily_renewable_share,1.001,0.646,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.999,0.884,0.885,District,district,SAC_DB2Value
1 - load_factor,1.008,0.863,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.995,0.143,0.144,District,district,SAC_DB2Value
average_daily_peak,1.025,11.049,10.782,District,district,SAC_DB2Value
carbon_emissions,1.004,3429.796,3412.055,District,district,SAC_DB2Value
cost,1.005,3692.55,3670.012,District,district,SAC_DB2Value
electricity_consumption,1.004,6717.667,6683.189,District,district,SAC_DB2Value
ramping,1.027,22158.603,21583.846,District,district,SAC_DB2Value
electricity_consumption,1.0,4528.42,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.0,2332.712,2332.712,Building_3,building,SAC_DB2Value
cost,1.0,2584.57,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,1.0,0.173,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.0,5652.286,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.0,2881.739,2881.739,Building_5,building,SAC_DB2Value
cost,1.0,3071.658,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,1.0,0.122,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.012,5605.104,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.013,2845.59,2810.394,Building_7,building,SAC_DB2Value
cost,1.017,2990.68,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,1.001,0.217,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,0.997,5982.625,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,0.997,3056.937,3064.868,Building_8,building,SAC_DB2Value
cost,0.996,3284.704,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.968,0.146,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,1.0,7635.149,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,1.0,3901.761,3901.761,Building_11,building,SAC_DB2Value
cost,1.0,4206.557,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,1.0,0.076,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.015,10902.42,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.014,5560.036,5480.857,Building_17,building,SAC_DB2Value
cost,1.016,6017.132,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,1.003,0.127,0.127,Building_17,building,SAC_DB2Value
