kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.011,0.652,0.645,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,1.001,0.886,0.885,District,district,SAC_DB2
1 - load_factor,0.994,0.851,0.857,District,district,SAC_DB2
1 - used_pv_of_total_share,0.931,0.136,0.144,District,district,SAC_DB2
average_daily_peak,0.979,10.559,10.782,District,district,SAC_DB2
carbon_emissions,1.004,3426.115,3412.055,District,district,SAC_DB2
cost,1.004,3682.665,3670.012,District,district,SAC_DB2
electricity_consumption,1.004,6709.493,6683.189,District,district,SAC_DB2
fossil_energy_consumption,1.003,37579.986,37460.062,District,district,SAC_DB2
ramping,1.006,21707.073,21583.846,District,district,SAC_DB2
electricity_consumption,0.989,4479.719,4528.42,Building_3,building,SAC_DB2
carbon_emissions,0.99,2308.689,2332.712,Building_3,building,SAC_DB2
cost,0.991,2561.239,2584.57,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.971,0.168,0.173,Building_3,building,SAC_DB2
electricity_consumption,0.981,5544.059,5652.286,Building_5,building,SAC_DB2
carbon_emissions,0.981,2827.903,2881.739,Building_5,building,SAC_DB2
cost,0.983,3018.117,3071.658,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,0.864,0.105,0.122,Building_5,building,SAC_DB2
electricity_consumption,1.015,5623.25,5540.207,Building_7,building,SAC_DB2
carbon_emissions,1.015,2852.425,2810.394,Building_7,building,SAC_DB2
cost,1.014,2982.528,2939.918,Building_7,building,SAC_DB2
1 - used_pv_of_total_share,0.981,0.212,0.216,Building_7,building,SAC_DB2
electricity_consumption,1.063,6376.998,5997.7,Building_8,building,SAC_DB2
carbon_emissions,1.062,3255.409,3064.868,Building_8,building,SAC_DB2
cost,1.055,3478.177,3296.626,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,0.925,0.139,0.151,Building_8,building,SAC_DB2
electricity_consumption,0.966,7372.759,7635.149,Building_11,building,SAC_DB2
carbon_emissions,0.967,3771.907,3901.761,Building_11,building,SAC_DB2
cost,0.97,4079.372,4206.557,Building_11,building,SAC_DB2
1 - used_pv_of_total_share,0.849,0.065,0.076,Building_11,building,SAC_DB2
electricity_consumption,1.011,10860.171,10745.375,Building_17,building,SAC_DB2
carbon_emissions,1.011,5540.358,5480.857,Building_17,building,SAC_DB2
cost,1.009,5976.558,5920.74,Building_17,building,SAC_DB2
1 - used_pv_of_total_share,0.995,0.126,0.127,Building_17,building,SAC_DB2
1 - average_daily_renewable_share,1.0,0.645,0.645,District,district,SAC_DB2 Best
1 - average_daily_renewable_share_grid,0.998,0.883,0.885,District,district,SAC_DB2 Best
1 - load_factor,0.996,0.854,0.857,District,district,SAC_DB2 Best
1 - used_pv_of_total_share,0.966,0.14,0.144,District,district,SAC_DB2 Best
average_daily_peak,0.982,10.589,10.782,District,district,SAC_DB2 Best
carbon_emissions,0.995,3381.988,3412.055,District,district,SAC_DB2 Best
cost,0.995,3637.879,3670.012,District,district,SAC_DB2 Best
electricity_consumption,0.995,6623.546,6683.189,District,district,SAC_DB2 Best
fossil_energy_consumption,0.99,37083.184,37460.062,District,district,SAC_DB2 Best
ramping,0.99,21374.937,21583.846,District,district,SAC_DB2 Best
electricity_consumption,1.002,4535.303,4528.42,Building_3,building,SAC_DB2 Best
carbon_emissions,1.001,2336.164,2332.712,Building_3,building,SAC_DB2 Best
cost,1.001,2587.982,2584.57,Building_3,building,SAC_DB2 Best
1 - used_pv_of_total_share,1.0,0.173,0.173,Building_3,building,SAC_DB2 Best
electricity_consumption,1.001,5659.299,5652.286,Building_5,building,SAC_DB2 Best
carbon_emissions,1.001,2885.243,2881.739,Building_5,building,SAC_DB2 Best
cost,1.001,3075.068,3071.658,Building_5,building,SAC_DB2 Best
1 - used_pv_of_total_share,1.0,0.122,0.122,Building_5,building,SAC_DB2 Best
electricity_consumption,1.0,5540.207,5540.207,Building_7,building,SAC_DB2 Best
carbon_emissions,1.0,2810.394,2810.394,Building_7,building,SAC_DB2 Best
cost,1.0,2939.918,2939.918,Building_7,building,SAC_DB2 Best
1 - used_pv_of_total_share,1.0,0.216,0.216,Building_7,building,SAC_DB2 Best
electricity_consumption,1.0,5997.7,5997.7,Building_8,building,SAC_DB2 Best
carbon_emissions,1.0,3064.868,3064.868,Building_8,building,SAC_DB2 Best
cost,1.0,3296.626,3296.626,Building_8,building,SAC_DB2 Best
1 - used_pv_of_total_share,1.0,0.151,0.151,Building_8,building,SAC_DB2 Best
electricity_consumption,1.001,7642.055,7635.149,Building_11,building,SAC_DB2 Best
carbon_emissions,1.001,3905.24,3901.761,Building_11,building,SAC_DB2 Best
cost,1.001,4210.05,4206.557,Building_11,building,SAC_DB2 Best
1 - used_pv_of_total_share,1.0,0.076,0.076,Building_11,building,SAC_DB2 Best
electricity_consumption,0.965,10366.711,10745.375,Building_17,building,SAC_DB2 Best
carbon_emissions,0.965,5290.017,5480.857,Building_17,building,SAC_DB2 Best
cost,0.966,5717.627,5920.74,Building_17,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.796,0.101,0.127,Building_17,building,SAC_DB2 Best
