kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.994,0.641,0.645,District,district,SAC
1 - average_daily_renewable_share_grid,0.981,0.869,0.885,District,district,SAC
1 - load_factor,0.983,0.842,0.857,District,district,SAC
1 - used_pv_of_total_share,0.765,0.111,0.144,District,district,SAC
average_daily_peak,0.915,9.864,10.782,District,district,SAC
carbon_emissions,0.953,3257.175,3412.055,District,district,SAC
cost,0.95,3491.457,3670.012,District,district,SAC
electricity_consumption,0.953,6380.84,6683.189,District,district,SAC
ramping,0.972,20981.551,21583.846,District,district,SAC
electricity_consumption,0.94,4258.818,4528.42,Building_3,building,SAC
carbon_emissions,0.941,2194.217,2332.712,Building_3,building,SAC
cost,0.937,2422.736,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.78,0.135,0.173,Building_3,building,SAC
electricity_consumption,0.961,5433.471,5652.286,Building_5,building,SAC
carbon_emissions,0.962,2771.045,2881.739,Building_5,building,SAC
cost,0.961,2950.925,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.779,0.095,0.122,Building_5,building,SAC
electricity_consumption,0.975,5401.93,5540.207,Building_7,building,SAC
carbon_emissions,0.974,2738.263,2810.394,Building_7,building,SAC
cost,0.968,2846.725,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.808,0.175,0.216,Building_7,building,SAC
electricity_consumption,0.933,5594.408,5997.7,Building_8,building,SAC
carbon_emissions,0.932,2857.506,3064.868,Building_8,building,SAC
cost,0.929,3063.328,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.767,0.116,0.151,Building_8,building,SAC
electricity_consumption,0.943,7197.724,7635.149,Building_11,building,SAC
carbon_emissions,0.943,3680.244,3901.761,Building_11,building,SAC
cost,0.943,3965.345,4206.557,Building_11,building,SAC
1 - used_pv_of_total_share,0.727,0.055,0.076,Building_11,building,SAC
electricity_consumption,0.968,10398.69,10745.375,Building_17,building,SAC
carbon_emissions,0.967,5301.778,5480.857,Building_17,building,SAC
cost,0.963,5699.684,5920.74,Building_17,building,SAC
1 - used_pv_of_total_share,0.729,0.092,0.127,Building_17,building,SAC
1 - average_daily_renewable_share,1.001,0.645,0.645,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.992,0.878,0.885,District,district,SAC_DB2
1 - load_factor,0.995,0.852,0.857,District,district,SAC_DB2
1 - used_pv_of_total_share,0.942,0.137,0.144,District,district,SAC_DB2
average_daily_peak,0.987,10.637,10.782,District,district,SAC_DB2
carbon_emissions,0.996,3395.722,3412.055,District,district,SAC_DB2
cost,0.998,3660.281,3670.012,District,district,SAC_DB2
electricity_consumption,0.995,6645.585,6683.189,District,district,SAC_DB2
ramping,1.002,21621.481,21583.846,District,district,SAC_DB2
electricity_consumption,0.961,4352.525,4528.42,Building_3,building,SAC_DB2
carbon_emissions,0.962,2243.731,2332.712,Building_3,building,SAC_DB2
cost,0.962,2487.592,2584.57,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.855,0.148,0.173,Building_3,building,SAC_DB2
electricity_consumption,1.015,5737.541,5652.286,Building_5,building,SAC_DB2
carbon_emissions,1.017,2932.055,2881.739,Building_5,building,SAC_DB2
cost,1.025,3149.834,3071.658,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,1.021,0.124,0.122,Building_5,building,SAC_DB2
electricity_consumption,0.975,5401.678,5540.207,Building_7,building,SAC_DB2
carbon_emissions,0.975,2739.933,2810.394,Building_7,building,SAC_DB2
cost,0.974,2863.621,2939.918,Building_7,building,SAC_DB2
1 - used_pv_of_total_share,0.929,0.201,0.216,Building_7,building,SAC_DB2
electricity_consumption,1.066,6396.151,5997.7,Building_8,building,SAC_DB2
carbon_emissions,1.067,3269.445,3064.868,Building_8,building,SAC_DB2
cost,1.064,3506.257,3296.626,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,1.097,0.165,0.151,Building_8,building,SAC_DB2
electricity_consumption,0.967,7383.576,7635.149,Building_11,building,SAC_DB2
carbon_emissions,0.969,3779.832,3901.761,Building_11,building,SAC_DB2
cost,0.976,4106.229,4206.557,Building_11,building,SAC_DB2
1 - used_pv_of_total_share,0.799,0.061,0.076,Building_11,building,SAC_DB2
electricity_consumption,0.987,10602.039,10745.375,Building_17,building,SAC_DB2
carbon_emissions,0.987,5409.336,5480.857,Building_17,building,SAC_DB2
cost,0.988,5848.155,5920.74,Building_17,building,SAC_DB2
1 - used_pv_of_total_share,0.95,0.12,0.127,Building_17,building,SAC_DB2
1 - average_daily_renewable_share,0.995,0.642,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.984,0.871,0.885,District,district,SAC_DB2Value
1 - load_factor,0.986,0.845,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.821,0.119,0.144,District,district,SAC_DB2Value
average_daily_peak,0.967,10.43,10.782,District,district,SAC_DB2Value
carbon_emissions,0.967,3300.057,3412.055,District,district,SAC_DB2Value
cost,0.963,3535.988,3670.012,District,district,SAC_DB2Value
electricity_consumption,0.968,6467.18,6683.189,District,district,SAC_DB2Value
ramping,1.009,21780.674,21583.846,District,district,SAC_DB2Value
electricity_consumption,0.951,4308.73,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,0.951,2218.581,2332.712,Building_3,building,SAC_DB2Value
cost,0.947,2448.185,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.825,0.143,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,0.984,5562.942,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,0.983,2832.849,2881.739,Building_5,building,SAC_DB2Value
cost,0.977,3000.474,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.828,0.101,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,0.982,5438.797,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,0.981,2756.476,2810.394,Building_7,building,SAC_DB2Value
cost,0.976,2869.49,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.862,0.187,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,0.958,5746.968,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,0.957,2933.726,3064.868,Building_8,building,SAC_DB2Value
cost,0.952,3137.92,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.825,0.124,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,0.963,7355.777,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,0.963,3758.018,3901.761,Building_11,building,SAC_DB2Value
cost,0.961,4041.269,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.792,0.06,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,0.967,10389.865,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,0.967,5300.692,5480.857,Building_17,building,SAC_DB2Value
cost,0.966,5718.592,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.794,0.101,0.127,Building_17,building,SAC_DB2Value
