kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.996,0.642,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.985,0.872,0.885,District,district,SAC_DB2Value
1 - load_factor,0.983,0.842,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.838,0.121,0.144,District,district,SAC_DB2Value
average_daily_peak,0.93,10.028,10.782,District,district,SAC_DB2Value
carbon_emissions,0.962,3288.47,3412.055,District,district,SAC_DB2Value
cost,0.96,3528.832,3670.012,District,district,SAC_DB2Value
electricity_consumption,0.962,6440.666,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,0.96,35953.802,37460.062,District,district,SAC_DB2Value
ramping,0.948,20463.552,21583.846,District,district,SAC_DB2Value
electricity_consumption,0.934,4228.406,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,0.934,2179.35,2332.712,Building_3,building,SAC_DB2Value
cost,0.933,2410.316,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.817,0.141,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,0.981,5543.91,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,0.981,2826.715,2881.739,Building_5,building,SAC_DB2Value
cost,0.98,3010.158,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.898,0.109,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,0.981,5437.371,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,0.98,2755.369,2810.394,Building_7,building,SAC_DB2Value
cost,0.974,2862.62,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.806,0.174,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,0.949,5689.356,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,0.949,2907.84,3064.868,Building_8,building,SAC_DB2Value
cost,0.947,3121.823,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.864,0.13,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,0.951,7257.222,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,0.951,3711.613,3901.761,Building_11,building,SAC_DB2Value
cost,0.952,4006.066,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.799,0.061,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,0.976,10487.728,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,0.976,5349.933,5480.857,Building_17,building,SAC_DB2Value
cost,0.973,5762.012,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.846,0.107,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.989,0.638,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.983,0.87,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.982,0.841,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.829,0.119,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.917,9.883,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.945,3239.432,3412.055,District,district,SAC_DB2Value Best
cost,0.944,3480.995,3670.012,District,district,SAC_DB2Value Best
electricity_consumption,0.944,6342.671,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.944,35371.824,37460.062,District,district,SAC_DB2Value Best
ramping,0.941,20316.565,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.922,4175.943,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.923,2152.537,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.921,2381.595,2584.57,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.821,0.142,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.949,5365.732,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.95,2737.749,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.951,2920.336,3071.658,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.824,0.1,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.941,5211.149,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.94,2642.03,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.935,2750.234,2939.918,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.817,0.177,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.93,5576.075,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.93,2850.062,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.929,3061.302,3296.626,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.846,0.127,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.947,7230.72,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.948,3698.315,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.949,3990.779,4206.557,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.816,0.062,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.977,10496.404,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.977,5355.897,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.977,5781.726,5920.74,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.847,0.107,0.127,Building_17,building,SAC_DB2Value Best
