kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.0,0.644,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.984,0.871,0.885,District,district,SAC_DB2Value
1 - load_factor,0.983,0.843,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.833,0.12,0.144,District,district,SAC_DB2Value
average_daily_peak,0.943,10.164,10.782,District,district,SAC_DB2Value
carbon_emissions,0.968,3313.913,3412.055,District,district,SAC_DB2Value
cost,0.964,3546.95,3670.012,District,district,SAC_DB2Value
electricity_consumption,0.969,6494.753,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,0.968,36263.903,37460.062,District,district,SAC_DB2Value
ramping,0.958,20678.588,21583.846,District,district,SAC_DB2Value
electricity_consumption,0.951,4306.711,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,0.951,2217.252,2332.712,Building_3,building,SAC_DB2Value
cost,0.946,2444.463,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.826,0.143,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,0.979,5531.611,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,0.978,2818.646,2881.739,Building_5,building,SAC_DB2Value
cost,0.975,2993.85,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.856,0.104,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,0.968,5361.585,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,0.967,2716.996,2810.394,Building_7,building,SAC_DB2Value
cost,0.961,2825.496,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.803,0.174,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,0.962,5771.019,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,0.962,2948.604,3064.868,Building_8,building,SAC_DB2Value
cost,0.958,3159.688,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.864,0.13,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,0.958,7312.085,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,0.958,3737.858,3901.761,Building_11,building,SAC_DB2Value
cost,0.958,4027.932,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.82,0.062,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,0.994,10685.51,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,0.993,5444.125,5480.857,Building_17,building,SAC_DB2Value
cost,0.985,5830.268,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.832,0.105,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.986,0.636,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.981,0.868,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.982,0.841,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.799,0.114,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.92,9.924,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.94,3223.767,3412.055,District,district,SAC_DB2Value Best
cost,0.938,3462.66,3670.012,District,district,SAC_DB2Value Best
electricity_consumption,0.939,6312.162,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.94,35193.919,37460.062,District,district,SAC_DB2Value Best
ramping,0.941,20300.683,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.912,4131.584,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.913,2130.705,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.914,2362.297,2584.57,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.814,0.141,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.951,5372.501,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.951,2740.239,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.95,2919.507,3071.658,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.824,0.1,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.917,5082.94,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.917,2577.144,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.913,2683.819,2939.918,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.752,0.163,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.935,5606.828,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.935,2866.331,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.934,3078.23,3296.626,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.829,0.125,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.952,7265.468,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.952,3715.987,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.953,4008.964,4206.557,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.834,0.063,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.969,10413.651,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.969,5312.194,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.967,5723.142,5920.74,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.744,0.094,0.127,Building_17,building,SAC_DB2Value Best
