kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.017,0.656,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.997,0.882,0.885,District,district,SAC_DB2Value
1 - load_factor,0.98,0.84,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.899,0.128,0.144,District,district,SAC_DB2Value
average_daily_peak,0.967,10.428,10.782,District,district,SAC_DB2Value
carbon_emissions,1.022,3493.053,3412.055,District,district,SAC_DB2Value
cost,1.014,3723.918,3670.012,District,district,SAC_DB2Value
electricity_consumption,1.023,6851.399,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.025,38395.274,37460.062,District,district,SAC_DB2Value
ramping,1.025,22112.748,21583.846,District,district,SAC_DB2Value
electricity_consumption,0.99,4485.349,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,0.987,2303.257,2332.712,Building_3,building,SAC_DB2Value
cost,0.973,2514.334,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.89,0.154,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.03,5819.569,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.029,2966.014,2881.739,Building_5,building,SAC_DB2Value
cost,1.027,3154.761,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.803,0.098,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.059,5868.719,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.058,2974.155,2810.394,Building_7,building,SAC_DB2Value
cost,1.052,3093.429,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.871,0.188,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,1.016,6092.552,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,1.014,3108.954,3064.868,Building_8,building,SAC_DB2Value
cost,1.005,3312.044,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.876,0.132,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,1.009,7703.401,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,1.008,3933.411,3901.761,Building_11,building,SAC_DB2Value
cost,1.002,4216.416,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.961,0.073,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.037,11138.804,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.035,5672.529,5480.857,Building_17,building,SAC_DB2Value
cost,1.022,6052.524,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.991,0.126,0.127,Building_17,building,SAC_DB2Value
