kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.015,0.654,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.998,0.883,0.885,District,district,SAC_DB2Value
1 - load_factor,0.99,0.848,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.924,0.134,0.144,District,district,SAC_DB2Value
average_daily_peak,1.019,10.988,10.782,District,district,SAC_DB2Value
carbon_emissions,1.027,3494.322,3412.055,District,district,SAC_DB2Value
cost,1.022,3742.447,3670.012,District,district,SAC_DB2Value
electricity_consumption,1.027,6849.712,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.025,38396.425,37460.062,District,district,SAC_DB2Value
ramping,1.035,22336.158,21583.846,District,district,SAC_DB2Value
electricity_consumption,1.014,4590.126,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.012,2360.229,2332.712,Building_3,building,SAC_DB2Value
cost,1.003,2593.496,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.948,0.164,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.043,5893.232,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.041,3000.281,2881.739,Building_5,building,SAC_DB2Value
cost,1.035,3178.48,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.934,0.114,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.068,5919.469,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.068,3001.464,2810.394,Building_7,building,SAC_DB2Value
cost,1.065,3131.704,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.911,0.197,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,1.025,6146.171,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,1.025,3141.715,3064.868,Building_8,building,SAC_DB2Value
cost,1.024,3374.847,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.991,0.149,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,0.997,7612.899,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,0.997,3888.534,3901.761,Building_11,building,SAC_DB2Value
cost,0.993,4176.42,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.902,0.069,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.018,10936.373,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.017,5573.706,5480.857,Building_17,building,SAC_DB2Value
cost,1.013,5999.735,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.858,0.109,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.985,0.635,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.982,0.869,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.982,0.842,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.83,0.119,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.917,9.892,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.931,3203.793,3412.055,District,district,SAC_DB2Value Best
cost,0.931,3444.508,3670.012,District,district,SAC_DB2Value Best
electricity_consumption,0.93,6272.075,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.933,34958.557,37460.062,District,district,SAC_DB2Value Best
ramping,0.935,20170.799,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.879,3980.564,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.88,2053.555,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.882,2280.311,2584.57,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.781,0.135,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.947,5352.363,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.947,2730.241,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.947,2910.06,3071.658,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.854,0.104,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.911,5047.291,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.911,2560.555,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.91,2675.875,2939.918,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.806,0.174,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.92,5516.701,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.92,2821.126,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.92,3033.897,3296.626,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.826,0.124,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.95,7254.457,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.951,3711.191,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.952,4004.929,4206.557,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.849,0.065,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.975,10481.075,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.975,5346.09,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.973,5761.977,5920.74,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.862,0.109,0.127,Building_17,building,SAC_DB2Value Best
