kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.998,0.643,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.985,0.872,0.885,District,district,SAC_DB2Value
1 - load_factor,0.978,0.838,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.715,0.103,0.144,District,district,SAC_DB2Value
average_daily_peak,0.976,10.525,10.782,District,district,SAC_DB2Value
carbon_emissions,0.969,3295.051,3412.055,District,district,SAC_DB2Value
cost,0.96,3511.917,3670.012,District,district,SAC_DB2Value
electricity_consumption,0.97,6461.658,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,0.962,36055.2,37460.062,District,district,SAC_DB2Value
ramping,1.078,23277.085,21583.846,District,district,SAC_DB2Value
electricity_consumption,0.959,4342.366,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,0.958,2234.128,2332.712,Building_3,building,SAC_DB2Value
cost,0.948,2449.703,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.721,0.125,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.008,5696.371,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.007,2900.481,2881.739,Building_5,building,SAC_DB2Value
cost,0.997,3063.22,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.731,0.089,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,0.985,5457.433,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,0.983,2762.404,2810.394,Building_7,building,SAC_DB2Value
cost,0.971,2855.981,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.755,0.163,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,0.959,5751.927,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,0.957,2934.557,3064.868,Building_8,building,SAC_DB2Value
cost,0.948,3123.938,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.728,0.11,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,0.964,7361.749,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,0.963,3759.182,3901.761,Building_11,building,SAC_DB2Value
cost,0.956,4021.326,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.754,0.057,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,0.946,10160.102,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,0.945,5179.551,5480.857,Building_17,building,SAC_DB2Value
cost,0.939,5557.332,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.6,0.076,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.982,0.633,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.973,0.861,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.977,0.837,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.71,0.104,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.896,9.66,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.93,3181.195,3412.055,District,district,SAC_DB2Value Best
cost,0.928,3410.053,3670.012,District,district,SAC_DB2Value Best
electricity_consumption,0.93,6231.179,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.925,34655.84,37460.062,District,district,SAC_DB2Value Best
ramping,0.975,21040.763,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.892,4041.149,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.893,2084.203,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.895,2312.29,2584.57,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.771,0.134,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.946,5345.183,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.946,2726.258,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.945,2901.451,3071.658,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.702,0.086,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.952,5273.884,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.951,2673.171,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.945,2779.232,2939.918,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.766,0.166,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.914,5483.681,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.914,2802.038,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.912,3005.585,3296.626,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.732,0.11,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.938,7163.57,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.939,3662.519,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.938,3945.108,4206.557,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.714,0.054,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.938,10079.607,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.938,5138.978,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.932,5516.653,5920.74,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.579,0.073,0.127,Building_17,building,SAC_DB2Value Best
