kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.009,0.65,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.984,0.871,0.885,District,district,SAC_DB2Value
1 - load_factor,1.001,0.858,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.788,0.116,0.144,District,district,SAC_DB2Value
average_daily_peak,1.035,11.159,10.782,District,district,SAC_DB2Value
carbon_emissions,1.021,3459.809,3412.055,District,district,SAC_DB2Value
cost,1.025,3731.962,3670.012,District,district,SAC_DB2Value
electricity_consumption,1.02,6771.536,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.011,37883.652,37460.062,District,district,SAC_DB2Value
ramping,1.078,23257.412,21583.846,District,district,SAC_DB2Value
electricity_consumption,1.003,4539.851,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.005,2345.272,2332.712,Building_3,building,SAC_DB2Value
cost,1.015,2623.283,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.841,0.146,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.053,5954.407,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.054,3036.066,2881.739,Building_5,building,SAC_DB2Value
cost,1.055,3239.499,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.821,0.1,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.121,6210.262,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.122,3153.098,2810.394,Building_7,building,SAC_DB2Value
cost,1.123,3300.168,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.912,0.197,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,0.99,5935.986,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,0.991,3038.205,3064.868,Building_8,building,SAC_DB2Value
cost,0.999,3294.335,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.753,0.113,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,0.972,7423.743,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,0.973,3796.856,3901.761,Building_11,building,SAC_DB2Value
cost,0.976,4105.013,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.722,0.055,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,0.983,10564.968,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,0.983,5389.359,5480.857,Building_17,building,SAC_DB2Value
cost,0.985,5829.474,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.682,0.086,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.986,0.636,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.974,0.862,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.979,0.839,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.771,0.113,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.898,9.685,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.926,3167.351,3412.055,District,district,SAC_DB2Value Best
cost,0.924,3401.538,3670.012,District,district,SAC_DB2Value Best
electricity_consumption,0.925,6202.562,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.921,34484.641,37460.062,District,district,SAC_DB2Value Best
ramping,0.953,20574.146,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.9,4076.778,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.9,2100.575,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.899,2324.225,2584.57,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.836,0.145,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.925,5229.55,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.926,2668.847,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.928,2849.108,3071.658,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.797,0.097,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.948,5251.862,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.947,2661.25,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.941,2766.553,2939.918,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.813,0.176,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.913,5476.479,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.913,2798.807,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.912,3005.374,3296.626,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.768,0.116,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.923,7047.871,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.924,3604.836,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.925,3889.1,4206.557,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.711,0.054,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.943,10132.836,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.943,5169.789,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.942,5574.867,5920.74,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.703,0.089,0.127,Building_17,building,SAC_DB2Value Best
