kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.998,0.643,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.982,0.869,0.885,District,district,SAC_DB2Value
1 - load_factor,1.008,0.864,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.802,0.117,0.144,District,district,SAC_DB2Value
average_daily_peak,0.998,10.766,10.782,District,district,SAC_DB2Value
carbon_emissions,0.978,3335.191,3412.055,District,district,SAC_DB2Value
cost,0.978,3588.208,3670.012,District,district,SAC_DB2Value
electricity_consumption,0.978,6531.759,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,0.974,36468.789,37460.062,District,district,SAC_DB2Value
ramping,1.037,22383.9,21583.846,District,district,SAC_DB2Value
electricity_consumption,0.977,4423.671,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,0.979,2283.375,2332.712,Building_3,building,SAC_DB2Value
cost,0.986,2547.809,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.83,0.144,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,0.999,5647.654,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,0.999,2878.793,2881.739,Building_5,building,SAC_DB2Value
cost,0.997,3062.797,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.778,0.095,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,0.989,5480.115,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,0.988,2777.347,2810.394,Building_7,building,SAC_DB2Value
cost,0.984,2893.098,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.869,0.188,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,0.951,5706.759,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,0.951,2914.694,3064.868,Building_8,building,SAC_DB2Value
cost,0.947,3123.114,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.809,0.122,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,0.966,7372.239,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,0.966,3768.776,3901.761,Building_11,building,SAC_DB2Value
cost,0.965,4060.705,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.792,0.06,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,0.983,10560.114,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,0.983,5388.162,5480.857,Building_17,building,SAC_DB2Value
cost,0.987,5841.726,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.737,0.093,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.98,0.632,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.97,0.859,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.978,0.838,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.776,0.112,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.887,9.56,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.921,3161.074,3412.055,District,district,SAC_DB2Value Best
cost,0.921,3397.363,3670.012,District,district,SAC_DB2Value Best
electricity_consumption,0.921,6188.526,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.919,34419.654,37460.062,District,district,SAC_DB2Value Best
ramping,0.938,20252.347,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.889,4027.771,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.891,2077.497,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.892,2306.543,2584.57,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.814,0.141,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.934,5278.938,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.934,2692.69,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.933,2867.281,3071.658,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.757,0.092,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.9,4988.615,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.9,2529.902,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.897,2638.165,2939.918,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.784,0.17,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.919,5510.588,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.919,2817.185,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.917,3024.46,3296.626,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.787,0.119,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.933,7126.689,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.934,3645.293,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.935,3934.11,4206.557,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.76,0.058,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.949,10198.553,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.949,5203.877,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.948,5613.62,5920.74,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.753,0.095,0.127,Building_17,building,SAC_DB2Value Best
