kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3867.753,3653.428,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39925.815,37461.364,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2807.561,2573.812,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3269.959,3057.456,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3184.759,2926.063,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3497.941,3282.401,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4356.982,4187.857,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6089.315,5892.977,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.992,0.64,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.982,0.869,0.885,District,district,SAC_DB2Value
1 - load_factor,0.985,0.844,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.783,0.114,0.144,District,district,SAC_DB2Value
average_daily_peak,0.942,10.154,10.782,District,district,SAC_DB2Value
carbon_emissions,0.955,3254.216,3412.055,District,district,SAC_DB2Value
cost,0.951,3470.982,3653.428,District,district,SAC_DB2Value
electricity_consumption,0.955,6375.859,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,0.949,35550.741,37461.364,District,district,SAC_DB2Value
ramping,0.999,21556.977,21583.846,District,district,SAC_DB2Value
electricity_consumption,0.946,4281.819,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,0.946,2206.503,2332.712,Building_3,building,SAC_DB2Value
cost,0.944,2430.166,2573.812,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.833,0.144,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,0.966,5459.224,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,0.965,2782.13,2881.739,Building_5,building,SAC_DB2Value
cost,0.962,2942.063,3057.456,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.765,0.093,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,0.981,5434.979,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,0.98,2752.796,2810.394,Building_7,building,SAC_DB2Value
cost,0.971,2841.607,2926.063,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.84,0.182,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,0.941,5645.887,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,0.941,2883.529,3064.868,Building_8,building,SAC_DB2Value
cost,0.936,3073.233,3282.401,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.795,0.12,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,0.948,7238.783,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,0.948,3699.333,3901.761,Building_11,building,SAC_DB2Value
cost,0.946,3960.216,4187.857,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.743,0.057,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,0.949,10194.461,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,0.949,5201.001,5480.857,Building_17,building,SAC_DB2Value
cost,0.947,5578.608,5892.977,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.719,0.091,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.986,0.636,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.974,0.862,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.98,0.84,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.771,0.111,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.903,9.741,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.937,3204.15,3412.055,District,district,SAC_DB2Value Best
cost,0.934,3420.602,3653.428,District,district,SAC_DB2Value Best
electricity_consumption,0.937,6275.828,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.932,34931.487,37461.364,District,district,SAC_DB2Value Best
ramping,0.978,21106.803,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.906,4103.389,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.907,2115.02,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.905,2328.912,2573.812,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.77,0.133,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.951,5374.592,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.951,2741.158,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.951,2906.117,3057.456,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.75,0.091,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.949,5255.783,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.947,2662.168,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.939,2746.675,2926.063,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.769,0.166,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.929,5572.926,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.929,2847.299,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.925,3035.546,3282.401,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.783,0.118,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.937,7151.579,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.937,3657.298,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.938,3926.191,4187.857,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.77,0.059,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.949,10196.702,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.949,5201.957,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.947,5580.174,5892.977,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.786,0.1,0.127,Building_17,building,SAC_DB2Value Best
