kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3867.753,3653.428,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39925.815,37461.364,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2807.561,2573.812,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3269.959,3057.456,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3184.759,2926.063,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3497.941,3282.401,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4356.982,4187.857,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6089.315,5892.977,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.026,0.661,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,1.0,0.886,0.885,District,district,SAC_DB2Value
1 - load_factor,1.006,0.862,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.779,0.112,0.144,District,district,SAC_DB2Value
average_daily_peak,1.142,12.316,10.782,District,district,SAC_DB2Value
carbon_emissions,1.05,3541.506,3412.055,District,district,SAC_DB2Value
cost,1.033,3733.121,3653.428,District,district,SAC_DB2Value
electricity_consumption,1.052,6951.973,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.042,39026.499,37461.364,District,district,SAC_DB2Value
ramping,1.293,27903.231,21583.846,District,district,SAC_DB2Value
electricity_consumption,1.035,4685.545,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.032,2407.091,2332.712,Building_3,building,SAC_DB2Value
cost,1.014,2610.751,2573.812,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.735,0.127,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.129,6382.074,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.125,3242.807,2881.739,Building_5,building,SAC_DB2Value
cost,1.102,3370.532,3057.456,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.869,0.106,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.116,6181.688,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.114,3130.569,2810.394,Building_7,building,SAC_DB2Value
cost,1.099,3216.634,2926.063,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.809,0.175,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,1.046,6275.181,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,1.044,3199.717,3064.868,Building_8,building,SAC_DB2Value
cost,1.028,3373.044,3282.401,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.818,0.123,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,1.015,7746.84,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,1.012,3950.413,3901.761,Building_11,building,SAC_DB2Value
cost,0.997,4174.234,4187.857,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.809,0.062,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,0.972,10440.508,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,0.97,5318.44,5480.857,Building_17,building,SAC_DB2Value
cost,0.959,5653.53,5892.977,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.635,0.08,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.99,0.638,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.977,0.864,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.977,0.837,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.755,0.108,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.897,9.676,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.946,3230.296,3412.055,District,district,SAC_DB2Value Best
cost,0.943,3447.597,3653.428,District,district,SAC_DB2Value Best
electricity_consumption,0.946,6327.121,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.94,35220.866,37461.364,District,district,SAC_DB2Value Best
ramping,0.988,21327.605,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.904,4093.307,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.904,2109.681,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.902,2322.494,2573.812,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.747,0.129,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.961,5429.915,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.961,2769.032,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.96,2934.481,3057.456,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.786,0.096,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.978,5419.107,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.977,2746.931,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.971,2839.857,2926.063,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.752,0.163,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.944,5661.704,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.943,2891.085,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.936,3072.703,3282.401,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.737,0.111,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.943,7196.283,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.943,3680.706,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.944,3953.691,4187.857,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.779,0.059,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.946,10162.411,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.946,5184.339,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.944,5562.357,5892.977,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.73,0.092,0.127,Building_17,building,SAC_DB2Value Best
