kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3867.753,3653.428,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39925.815,37461.364,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2807.561,2573.812,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3269.959,3057.456,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3184.759,2926.063,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3497.941,3282.401,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4356.982,4187.857,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6089.315,5892.977,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.023,0.66,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,1.008,0.892,0.885,District,district,SAC_DB2Value
1 - load_factor,0.994,0.852,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.986,0.14,0.144,District,district,SAC_DB2Value
average_daily_peak,1.022,11.016,10.782,District,district,SAC_DB2Value
carbon_emissions,1.055,3575.001,3412.055,District,district,SAC_DB2Value
cost,1.049,3808.545,3653.428,District,district,SAC_DB2Value
electricity_consumption,1.056,7006.224,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.05,39343.44,37461.364,District,district,SAC_DB2Value
ramping,1.078,23257.188,21583.846,District,district,SAC_DB2Value
electricity_consumption,1.128,5107.457,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.122,2618.258,2332.712,Building_3,building,SAC_DB2Value
cost,1.095,2818.094,2573.812,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.92,0.159,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.007,5694.643,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.007,2901.808,2881.739,Building_5,building,SAC_DB2Value
cost,1.005,3072.802,3057.456,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,1.006,0.123,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.141,6319.993,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.139,3202.185,2810.394,Building_7,building,SAC_DB2Value
cost,1.132,3311.769,2926.063,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.912,0.197,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,1.007,6042.355,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,1.008,3088.362,3064.868,Building_8,building,SAC_DB2Value
cost,1.008,3307.551,3282.401,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,1.001,0.151,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,1.03,7860.822,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,1.03,4018.634,3901.761,Building_11,building,SAC_DB2Value
cost,1.028,4305.394,4187.857,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,1.036,0.079,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.025,11012.071,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.026,5620.762,5480.857,Building_17,building,SAC_DB2Value
cost,1.024,6035.657,5892.977,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,1.041,0.132,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.982,0.633,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.973,0.861,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.981,0.841,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.767,0.112,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.891,9.609,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.928,3176.457,3412.055,District,district,SAC_DB2Value Best
cost,0.926,3397.17,3653.428,District,district,SAC_DB2Value Best
electricity_consumption,0.927,6219.168,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.923,34594.07,37461.364,District,district,SAC_DB2Value Best
ramping,0.956,20629.371,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.893,4043.878,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.894,2085.716,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.895,2304.037,2573.812,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.761,0.132,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.933,5274.624,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.934,2691.219,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.934,2856.626,3057.456,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.762,0.093,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.935,5182.059,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.935,2627.407,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.93,2721.564,2926.063,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.787,0.17,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.928,5565.016,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.928,2844.595,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.926,3039.662,3282.401,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.831,0.125,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.925,7060.681,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.925,3611.031,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.925,3875.79,4187.857,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.699,0.053,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.948,10188.747,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.949,5198.773,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.948,5585.34,5892.977,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.76,0.096,0.127,Building_17,building,SAC_DB2Value Best
