kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.221,0.656,0.537,District,district,RBC
1 - average_daily_renewable_share_grid,1.065,0.914,0.858,District,district,RBC
1 - load_factor,0.992,0.896,0.903,District,district,RBC
1 - used_pv_of_total_share,1.071,0.173,0.162,District,district,RBC
average_daily_peak,1.018,2.394,2.352,District,district,RBC
carbon_emissions,1.034,1179.655,1140.476,District,district,RBC
cost,1.052,4151.092,3945.13,District,district,RBC
electricity_consumption,1.054,7724.599,7331.304,District,district,RBC
ramping,1.04,4808.158,4622.66,District,district,RBC
electricity_consumption,1.054,7724.599,7331.304,Building_6,building,RBC
carbon_emissions,1.034,1179.655,1140.476,Building_6,building,RBC
cost,1.052,4151.092,3945.13,Building_6,building,RBC
1 - used_pv_of_total_share,1.071,0.173,0.162,Building_6,building,RBC
1 - average_daily_renewable_share,1.069,0.575,0.538,District,district,SAC
1 - average_daily_renewable_share_grid,1.017,0.873,0.858,District,district,SAC
1 - load_factor,0.993,0.897,0.903,District,district,SAC
1 - used_pv_of_total_share,0.786,0.127,0.162,District,district,SAC
average_daily_peak,0.961,2.259,2.352,District,district,SAC
carbon_emissions,0.975,1111.967,1140.476,District,district,SAC
cost,0.973,3837.589,3945.13,District,district,SAC
electricity_consumption,0.976,7156.873,7331.304,District,district,SAC
ramping,1.061,4906.91,4622.66,District,district,SAC
electricity_consumption,0.976,7156.873,7331.304,Building_6,building,SAC
carbon_emissions,0.975,1111.967,1140.476,Building_6,building,SAC
cost,0.973,3837.589,3945.13,Building_6,building,SAC
1 - used_pv_of_total_share,0.786,0.127,0.162,Building_6,building,SAC
