kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.995,0.641,0.645,District,district,SAC
1 - average_daily_renewable_share_grid,0.982,0.869,0.885,District,district,SAC
1 - load_factor,0.979,0.839,0.857,District,district,SAC
1 - used_pv_of_total_share,0.767,0.113,0.144,District,district,SAC
average_daily_peak,0.917,9.887,10.782,District,district,SAC
carbon_emissions,0.952,3251.162,3412.055,District,district,SAC
cost,0.948,3481.465,3670.012,District,district,SAC
electricity_consumption,0.953,6370.755,6683.189,District,district,SAC
fossil_energy_consumption,0.947,35485.901,37460.062,District,district,SAC
ramping,0.969,20915.513,21583.846,District,district,SAC
electricity_consumption,0.953,4315.253,4528.42,Building_3,building,SAC
carbon_emissions,0.953,2223.41,2332.712,Building_3,building,SAC
cost,0.949,2452.834,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.799,0.138,0.173,Building_3,building,SAC
electricity_consumption,0.958,5413.714,5652.286,Building_5,building,SAC
carbon_emissions,0.958,2759.378,2881.739,Building_5,building,SAC
cost,0.955,2933.338,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.783,0.095,0.122,Building_5,building,SAC
electricity_consumption,0.962,5327.414,5540.207,Building_7,building,SAC
carbon_emissions,0.961,2700.973,2810.394,Building_7,building,SAC
cost,0.957,2814.274,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.852,0.184,0.216,Building_7,building,SAC
electricity_consumption,0.948,5683.815,5997.7,Building_8,building,SAC
carbon_emissions,0.947,2901.049,3064.868,Building_8,building,SAC
cost,0.941,3101.682,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.786,0.118,0.151,Building_8,building,SAC
electricity_consumption,0.932,7115.465,7635.149,Building_11,building,SAC
carbon_emissions,0.932,3636.91,3901.761,Building_11,building,SAC
cost,0.931,3916.145,4206.557,Building_11,building,SAC
1 - used_pv_of_total_share,0.662,0.05,0.076,Building_11,building,SAC
electricity_consumption,0.965,10368.866,10745.375,Building_17,building,SAC
carbon_emissions,0.964,5285.253,5480.857,Building_17,building,SAC
cost,0.958,5670.518,5920.74,Building_17,building,SAC
1 - used_pv_of_total_share,0.718,0.091,0.127,Building_17,building,SAC
