kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.995,0.641,0.645,District,district,SAC
1 - average_daily_renewable_share_grid,0.98,0.868,0.885,District,district,SAC
1 - load_factor,0.979,0.839,0.857,District,district,SAC
1 - used_pv_of_total_share,0.79,0.116,0.144,District,district,SAC
average_daily_peak,0.907,9.784,10.782,District,district,SAC
carbon_emissions,0.949,3245.219,3412.055,District,district,SAC
cost,0.946,3478.936,3670.012,District,district,SAC
electricity_consumption,0.949,6357.502,6683.189,District,district,SAC
fossil_energy_consumption,0.945,35416.713,37460.062,District,district,SAC
ramping,0.955,20620.289,21583.846,District,district,SAC
electricity_consumption,0.944,4273.217,4528.42,Building_3,building,SAC
carbon_emissions,0.944,2201.564,2332.712,Building_3,building,SAC
cost,0.942,2433.69,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.842,0.146,0.173,Building_3,building,SAC
electricity_consumption,0.959,5421.648,5652.286,Building_5,building,SAC
carbon_emissions,0.959,2762.43,2881.739,Building_5,building,SAC
cost,0.954,2929.493,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.781,0.095,0.122,Building_5,building,SAC
electricity_consumption,0.954,5286.969,5540.207,Building_7,building,SAC
carbon_emissions,0.953,2678.232,2810.394,Building_7,building,SAC
cost,0.946,2781.445,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.855,0.185,0.216,Building_7,building,SAC
electricity_consumption,0.928,5567.924,5997.7,Building_8,building,SAC
carbon_emissions,0.929,2846.556,3064.868,Building_8,building,SAC
cost,0.928,3059.51,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.778,0.117,0.151,Building_8,building,SAC
electricity_consumption,0.942,7194.247,7635.149,Building_11,building,SAC
carbon_emissions,0.943,3678.974,3901.761,Building_11,building,SAC
cost,0.943,3965.351,4206.557,Building_11,building,SAC
1 - used_pv_of_total_share,0.724,0.055,0.076,Building_11,building,SAC
electricity_consumption,0.968,10401.004,10745.375,Building_17,building,SAC
carbon_emissions,0.968,5303.559,5480.857,Building_17,building,SAC
cost,0.963,5704.124,5920.74,Building_17,building,SAC
1 - used_pv_of_total_share,0.758,0.096,0.127,Building_17,building,SAC
