kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.991,0.639,0.645,District,district,SAC
1 - average_daily_renewable_share_grid,0.979,0.867,0.885,District,district,SAC
1 - load_factor,0.98,0.84,0.857,District,district,SAC
1 - used_pv_of_total_share,0.764,0.111,0.144,District,district,SAC
average_daily_peak,0.897,9.672,10.782,District,district,SAC
carbon_emissions,0.944,3231.996,3412.055,District,district,SAC
cost,0.941,3464.437,3670.012,District,district,SAC
electricity_consumption,0.944,6331.115,6683.189,District,district,SAC
fossil_energy_consumption,0.941,35251.317,37460.062,District,district,SAC
ramping,0.955,20621.175,21583.846,District,district,SAC
electricity_consumption,0.925,4189.921,4528.42,Building_3,building,SAC
carbon_emissions,0.925,2158.643,2332.712,Building_3,building,SAC
cost,0.921,2381.228,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.783,0.136,0.173,Building_3,building,SAC
electricity_consumption,0.948,5355.583,5652.286,Building_5,building,SAC
carbon_emissions,0.948,2730.791,2881.739,Building_5,building,SAC
cost,0.947,2907.396,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.79,0.096,0.122,Building_5,building,SAC
electricity_consumption,0.964,5340.48,5540.207,Building_7,building,SAC
carbon_emissions,0.963,2707.797,2810.394,Building_7,building,SAC
cost,0.959,2818.027,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.829,0.179,0.216,Building_7,building,SAC
electricity_consumption,0.923,5537.896,5997.7,Building_8,building,SAC
carbon_emissions,0.923,2829.168,3064.868,Building_8,building,SAC
cost,0.919,3030.743,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.727,0.11,0.151,Building_8,building,SAC
electricity_consumption,0.939,7167.075,7635.149,Building_11,building,SAC
carbon_emissions,0.939,3665.401,3901.761,Building_11,building,SAC
cost,0.94,3952.485,4206.557,Building_11,building,SAC
1 - used_pv_of_total_share,0.735,0.056,0.076,Building_11,building,SAC
electricity_consumption,0.967,10395.735,10745.375,Building_17,building,SAC
carbon_emissions,0.967,5300.178,5480.857,Building_17,building,SAC
cost,0.962,5696.746,5920.74,Building_17,building,SAC
1 - used_pv_of_total_share,0.721,0.091,0.127,Building_17,building,SAC
