kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.018,0.603,0.593,District,district,RBC
1 - average_daily_renewable_share_grid,1.014,0.815,0.804,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.071,37577.714,35085.282,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.982,0.582,0.593,District,district,SAC
1 - average_daily_renewable_share_grid,0.963,0.774,0.804,District,district,SAC
1 - load_factor,0.977,0.837,0.857,District,district,SAC
1 - used_pv_of_total_share,0.77,0.113,0.144,District,district,SAC
average_daily_peak,0.907,9.783,10.782,District,district,SAC
carbon_emissions,0.948,3243.882,3412.055,District,district,SAC
cost,0.945,3473.15,3670.012,District,district,SAC
electricity_consumption,0.949,6356.332,6683.189,District,district,SAC
fossil_energy_consumption,0.939,32946.987,35085.282,District,district,SAC
ramping,0.967,20879.845,21583.846,District,district,SAC
electricity_consumption,0.933,4225.119,4528.42,Building_3,building,SAC
carbon_emissions,0.933,2176.907,2332.712,Building_3,building,SAC
cost,0.931,2405.02,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.785,0.136,0.173,Building_3,building,SAC
electricity_consumption,0.956,5405.266,5652.286,Building_5,building,SAC
carbon_emissions,0.956,2754.64,2881.739,Building_5,building,SAC
cost,0.952,2925.673,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.778,0.095,0.122,Building_5,building,SAC
electricity_consumption,0.956,5295.957,5540.207,Building_7,building,SAC
carbon_emissions,0.955,2685.184,2810.394,Building_7,building,SAC
cost,0.951,2796.577,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.845,0.183,0.216,Building_7,building,SAC
electricity_consumption,0.941,5642.341,5997.7,Building_8,building,SAC
carbon_emissions,0.941,2883.301,3064.868,Building_8,building,SAC
cost,0.938,3092.534,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.795,0.12,0.151,Building_8,building,SAC
electricity_consumption,0.937,7154.4,7635.149,Building_11,building,SAC
carbon_emissions,0.937,3656.149,3901.761,Building_11,building,SAC
cost,0.935,3932.377,4206.557,Building_11,building,SAC
1 - used_pv_of_total_share,0.712,0.054,0.076,Building_11,building,SAC
electricity_consumption,0.969,10414.909,10745.375,Building_17,building,SAC
carbon_emissions,0.968,5307.109,5480.857,Building_17,building,SAC
cost,0.96,5686.72,5920.74,Building_17,building,SAC
1 - used_pv_of_total_share,0.702,0.089,0.127,Building_17,building,SAC
1 - average_daily_renewable_share,0.969,0.574,0.593,District,district,SAC Best
1 - average_daily_renewable_share_grid,0.958,0.77,0.804,District,district,SAC Best
1 - load_factor,0.982,0.841,0.857,District,district,SAC Best
1 - used_pv_of_total_share,0.777,0.113,0.144,District,district,SAC Best
average_daily_peak,0.903,9.732,10.782,District,district,SAC Best
carbon_emissions,0.932,3191.133,3412.055,District,district,SAC Best
cost,0.932,3430.307,3670.012,District,district,SAC Best
electricity_consumption,0.931,6246.929,6683.189,District,district,SAC Best
fossil_energy_consumption,0.923,32390.348,35085.282,District,district,SAC Best
ramping,0.956,20642.301,21583.846,District,district,SAC Best
electricity_consumption,0.907,4108.617,4528.42,Building_3,building,SAC Best
carbon_emissions,0.909,2121.137,2332.712,Building_3,building,SAC Best
cost,0.914,2361.225,2584.57,Building_3,building,SAC Best
1 - used_pv_of_total_share,0.796,0.138,0.173,Building_3,building,SAC Best
electricity_consumption,0.943,5327.952,5652.286,Building_5,building,SAC Best
carbon_emissions,0.943,2718.173,2881.739,Building_5,building,SAC Best
cost,0.943,2897.702,3071.658,Building_5,building,SAC Best
1 - used_pv_of_total_share,0.762,0.093,0.122,Building_5,building,SAC Best
electricity_consumption,0.931,5159.129,5540.207,Building_7,building,SAC Best
carbon_emissions,0.931,2616.141,2810.394,Building_7,building,SAC Best
cost,0.927,2726.618,2939.918,Building_7,building,SAC Best
1 - used_pv_of_total_share,0.814,0.176,0.216,Building_7,building,SAC Best
electricity_consumption,0.918,5508.209,5997.7,Building_8,building,SAC Best
carbon_emissions,0.919,2815.527,3064.868,Building_8,building,SAC Best
cost,0.917,3022.485,3296.626,Building_8,building,SAC Best
1 - used_pv_of_total_share,0.775,0.117,0.151,Building_8,building,SAC Best
electricity_consumption,0.937,7155.026,7635.149,Building_11,building,SAC Best
carbon_emissions,0.938,3659.472,3901.761,Building_11,building,SAC Best
cost,0.938,3946.567,4206.557,Building_11,building,SAC Best
1 - used_pv_of_total_share,0.763,0.058,0.076,Building_11,building,SAC Best
electricity_consumption,0.951,10222.642,10745.375,Building_17,building,SAC Best
carbon_emissions,0.952,5216.345,5480.857,Building_17,building,SAC Best
cost,0.95,5627.246,5920.74,Building_17,building,SAC Best
1 - used_pv_of_total_share,0.752,0.095,0.127,Building_17,building,SAC Best
