kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.019,0.599,0.588,District,district,RBC
1 - average_daily_renewable_share_grid,1.015,0.809,0.797,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.072,37373.874,34878.518,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.98,0.576,0.588,District,district,SAC
1 - average_daily_renewable_share_grid,0.963,0.768,0.797,District,district,SAC
1 - load_factor,0.981,0.84,0.857,District,district,SAC
1 - used_pv_of_total_share,0.767,0.112,0.144,District,district,SAC
average_daily_peak,0.914,9.853,10.782,District,district,SAC
carbon_emissions,0.954,3260.561,3412.055,District,district,SAC
cost,0.95,3492.337,3670.012,District,district,SAC
electricity_consumption,0.954,6387.8,6683.189,District,district,SAC
fossil_energy_consumption,0.944,32925.774,34878.518,District,district,SAC
ramping,0.965,20822.075,21583.846,District,district,SAC
electricity_consumption,0.944,4273.423,4528.42,Building_3,building,SAC
carbon_emissions,0.944,2200.916,2332.712,Building_3,building,SAC
cost,0.938,2425.476,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.774,0.134,0.173,Building_3,building,SAC
electricity_consumption,0.962,5438.779,5652.286,Building_5,building,SAC
carbon_emissions,0.963,2774.828,2881.739,Building_5,building,SAC
cost,0.963,2957.357,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.765,0.093,0.122,Building_5,building,SAC
electricity_consumption,0.96,5318.859,5540.207,Building_7,building,SAC
carbon_emissions,0.96,2697.28,2810.394,Building_7,building,SAC
cost,0.955,2808.155,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.833,0.18,0.216,Building_7,building,SAC
electricity_consumption,0.947,5682.785,5997.7,Building_8,building,SAC
carbon_emissions,0.947,2902.031,3064.868,Building_8,building,SAC
cost,0.942,3103.883,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.807,0.122,0.151,Building_8,building,SAC
electricity_consumption,0.946,7223.953,7635.149,Building_11,building,SAC
carbon_emissions,0.946,3691.552,3901.761,Building_11,building,SAC
cost,0.943,3966.203,4206.557,Building_11,building,SAC
1 - used_pv_of_total_share,0.707,0.054,0.076,Building_11,building,SAC
electricity_consumption,0.967,10389.001,10745.375,Building_17,building,SAC
carbon_emissions,0.966,5296.76,5480.857,Building_17,building,SAC
cost,0.962,5692.947,5920.74,Building_17,building,SAC
1 - used_pv_of_total_share,0.717,0.091,0.127,Building_17,building,SAC
1 - average_daily_renewable_share,0.97,0.57,0.588,District,district,SAC Best
1 - average_daily_renewable_share_grid,0.954,0.76,0.797,District,district,SAC Best
1 - load_factor,0.979,0.839,0.857,District,district,SAC Best
1 - used_pv_of_total_share,0.746,0.108,0.144,District,district,SAC Best
average_daily_peak,0.891,9.605,10.782,District,district,SAC Best
carbon_emissions,0.931,3192.352,3412.055,District,district,SAC Best
cost,0.929,3425.428,3670.012,District,district,SAC Best
electricity_consumption,0.931,6251.412,6683.189,District,district,SAC Best
fossil_energy_consumption,0.922,32151.142,34878.518,District,district,SAC Best
ramping,0.96,20730.864,21583.846,District,district,SAC Best
electricity_consumption,0.9,4077.601,4528.42,Building_3,building,SAC Best
carbon_emissions,0.901,2102.713,2332.712,Building_3,building,SAC Best
cost,0.901,2328.195,2584.57,Building_3,building,SAC Best
1 - used_pv_of_total_share,0.726,0.126,0.173,Building_3,building,SAC Best
electricity_consumption,0.937,5298.084,5652.286,Building_5,building,SAC Best
carbon_emissions,0.938,2702.746,2881.739,Building_5,building,SAC Best
cost,0.937,2877.138,3071.658,Building_5,building,SAC Best
