kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.019,0.599,0.588,District,district,RBC
1 - average_daily_renewable_share_grid,1.015,0.785,0.773,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.981,0.577,0.588,District,district,SAC
1 - average_daily_renewable_share_grid,0.968,0.749,0.773,District,district,SAC
1 - load_factor,0.983,0.842,0.857,District,district,SAC
1 - used_pv_of_total_share,0.788,0.115,0.144,District,district,SAC
average_daily_peak,0.91,9.816,10.782,District,district,SAC
cost,0.947,3482.028,3670.012,District,district,SAC
electricity_consumption,0.95,6364.067,6683.189,District,district,SAC
ramping,0.963,20794.218,21583.846,District,district,SAC
electricity_consumption,0.953,4314.519,4528.42,Building_3,building,SAC
cost,0.949,2452.625,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.827,0.143,0.173,Building_3,building,SAC
electricity_consumption,0.95,5372.356,5652.286,Building_5,building,SAC
cost,0.948,2910.407,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.791,0.096,0.122,Building_5,building,SAC
electricity_consumption,0.955,5292.7,5540.207,Building_7,building,SAC
cost,0.946,2782.599,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.823,0.178,0.216,Building_7,building,SAC
electricity_consumption,0.933,5597.463,5997.7,Building_8,building,SAC
cost,0.931,3070.27,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.788,0.119,0.151,Building_8,building,SAC
electricity_consumption,0.937,7155.353,7635.149,Building_11,building,SAC
cost,0.936,3936.544,4206.557,Building_11,building,SAC
1 - used_pv_of_total_share,0.719,0.055,0.076,Building_11,building,SAC
electricity_consumption,0.973,10452.009,10745.375,Building_17,building,SAC
cost,0.969,5739.725,5920.74,Building_17,building,SAC
1 - used_pv_of_total_share,0.777,0.098,0.127,Building_17,building,SAC
1 - average_daily_renewable_share,0.985,0.579,0.588,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.974,0.753,0.773,District,district,SAC_DB2
1 - load_factor,0.981,0.841,0.857,District,district,SAC_DB2
1 - used_pv_of_total_share,0.764,0.111,0.144,District,district,SAC_DB2
average_daily_peak,0.934,10.073,10.782,District,district,SAC_DB2
cost,0.958,3517.268,3670.012,District,district,SAC_DB2
electricity_consumption,0.963,6441.963,6683.189,District,district,SAC_DB2
ramping,0.979,21121.22,21583.846,District,district,SAC_DB2
electricity_consumption,0.968,4384.07,4528.42,Building_3,building,SAC_DB2
cost,0.965,2494.659,2584.57,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.783,0.136,0.173,Building_3,building,SAC_DB2
electricity_consumption,0.964,5450.868,5652.286,Building_5,building,SAC_DB2
cost,0.96,2949.025,3071.658,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,0.764,0.093,0.122,Building_5,building,SAC_DB2
electricity_consumption,0.969,5369.635,5540.207,Building_7,building,SAC_DB2
cost,0.959,2820.659,2939.918,Building_7,building,SAC_DB2
1 - used_pv_of_total_share,0.827,0.179,0.216,Building_7,building,SAC_DB2
electricity_consumption,0.957,5736.924,5997.7,Building_8,building,SAC_DB2
cost,0.949,3127.844,3296.626,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,0.744,0.112,0.151,Building_8,building,SAC_DB2
electricity_consumption,0.946,7223.891,7635.149,Building_11,building,SAC_DB2
cost,0.943,3964.737,4206.557,Building_11,building,SAC_DB2
1 - used_pv_of_total_share,0.726,0.055,0.076,Building_11,building,SAC_DB2
electricity_consumption,0.976,10486.388,10745.375,Building_17,building,SAC_DB2
cost,0.971,5746.686,5920.74,Building_17,building,SAC_DB2
1 - used_pv_of_total_share,0.739,0.094,0.127,Building_17,building,SAC_DB2
