kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.29,0.715,0.555,District,district,RBC
1 - average_daily_renewable_share_grid,1.016,0.91,0.896,District,district,RBC
1 - load_factor,0.997,0.917,0.92,District,district,RBC
1 - used_pv_of_total_share,1.105,0.246,0.223,District,district,RBC
average_daily_peak,1.019,2.834,2.781,District,district,RBC
carbon_emissions,1.066,3585.941,3363.022,District,district,RBC
cost,1.063,3876.769,3647.656,District,district,RBC
electricity_consumption,1.066,7010.985,6573.883,District,district,RBC
fossil_energy_consumption,1.072,6608.483,6163.052,District,district,RBC
ramping,1.03,5737.084,5570.899,District,district,RBC
electricity_consumption,1.066,7010.985,6573.883,Building_14,building,RBC
carbon_emissions,1.066,3585.941,3363.022,Building_14,building,RBC
cost,1.063,3876.769,3647.656,Building_14,building,RBC
1 - used_pv_of_total_share,1.105,0.246,0.223,Building_14,building,RBC
1 - average_daily_renewable_share,1.074,0.595,0.555,District,district,SAC
1 - average_daily_renewable_share_grid,0.989,0.886,0.896,District,district,SAC
1 - load_factor,0.992,0.912,0.92,District,district,SAC
1 - used_pv_of_total_share,0.715,0.159,0.223,District,district,SAC
average_daily_peak,0.965,2.684,2.781,District,district,SAC
carbon_emissions,0.968,3253.865,3363.022,District,district,SAC
cost,0.96,3500.097,3647.656,District,district,SAC
electricity_consumption,0.968,6366.213,6573.883,District,district,SAC
fossil_energy_consumption,0.967,5958.682,6163.052,District,district,SAC
ramping,1.117,6221.344,5570.899,District,district,SAC
electricity_consumption,0.968,6366.213,6573.883,Building_14,building,SAC
carbon_emissions,0.968,3253.865,3363.022,Building_14,building,SAC
cost,0.96,3500.097,3647.656,Building_14,building,SAC
1 - used_pv_of_total_share,0.715,0.159,0.223,Building_14,building,SAC
1 - average_daily_renewable_share,1.036,0.574,0.555,District,district,SAC Best
1 - average_daily_renewable_share_grid,1.001,0.897,0.896,District,district,SAC Best
1 - load_factor,0.996,0.916,0.92,District,district,SAC Best
1 - used_pv_of_total_share,0.812,0.181,0.223,District,district,SAC Best
average_daily_peak,0.966,2.685,2.781,District,district,SAC Best
carbon_emissions,0.949,3192.611,3363.022,District,district,SAC Best
cost,0.949,3460.64,3647.656,District,district,SAC Best
electricity_consumption,0.949,6238.451,6573.883,District,district,SAC Best
fossil_energy_consumption,0.949,5848.079,6163.052,District,district,SAC Best
ramping,1.061,5909.966,5570.899,District,district,SAC Best
electricity_consumption,0.949,6238.451,6573.883,Building_14,building,SAC Best
carbon_emissions,0.949,3192.611,3363.022,Building_14,building,SAC Best
cost,0.949,3460.64,3647.656,Building_14,building,SAC Best
1 - used_pv_of_total_share,0.812,0.181,0.223,Building_14,building,SAC Best
