kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.019,0.599,0.588,District,district,RBC
1 - average_daily_renewable_share_grid,1.015,0.785,0.773,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.998,0.587,0.588,District,district,SAC
1 - average_daily_renewable_share_grid,0.987,0.763,0.773,District,district,SAC
1 - load_factor,0.986,0.845,0.857,District,district,SAC
1 - used_pv_of_total_share,0.844,0.124,0.144,District,district,SAC
average_daily_peak,0.941,10.146,10.782,District,district,SAC
cost,0.974,3571.547,3670.012,District,district,SAC
electricity_consumption,0.98,6546.152,6683.189,District,district,SAC
ramping,0.988,21330.091,21583.846,District,district,SAC
electricity_consumption,0.974,4411.011,4528.42,Building_3,building,SAC
cost,0.977,2524.025,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.934,0.162,0.173,Building_3,building,SAC
electricity_consumption,0.992,5606.397,5652.286,Building_5,building,SAC
cost,0.986,3027.267,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.934,0.114,0.122,Building_5,building,SAC
electricity_consumption,1.006,5574.32,5540.207,Building_7,building,SAC
cost,0.992,2916.519,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.895,0.194,0.216,Building_7,building,SAC
electricity_consumption,0.962,5767.024,5997.7,Building_8,building,SAC
cost,0.956,3151.593,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.796,0.12,0.151,Building_8,building,SAC
electricity_consumption,0.957,7304.49,7635.149,Building_11,building,SAC
cost,0.953,4010.725,4206.557,Building_11,building,SAC
1 - used_pv_of_total_share,0.754,0.057,0.076,Building_11,building,SAC
electricity_consumption,0.988,10613.669,10745.375,Building_17,building,SAC
cost,0.979,5799.152,5920.74,Building_17,building,SAC
1 - used_pv_of_total_share,0.754,0.095,0.127,Building_17,building,SAC
1 - average_daily_renewable_share,0.995,0.585,0.588,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.983,0.76,0.773,District,district,SAC_DB2
1 - load_factor,0.984,0.843,0.857,District,district,SAC_DB2
1 - used_pv_of_total_share,0.902,0.131,0.144,District,district,SAC_DB2
average_daily_peak,0.955,10.301,10.782,District,district,SAC_DB2
cost,0.979,3595.383,3670.012,District,district,SAC_DB2
electricity_consumption,0.982,6575.875,6683.189,District,district,SAC_DB2
ramping,0.98,21150.179,21583.846,District,district,SAC_DB2
electricity_consumption,0.972,4400.19,4528.42,Building_3,building,SAC_DB2
cost,0.973,2514.262,2584.57,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.92,0.159,0.173,Building_3,building,SAC_DB2
electricity_consumption,0.99,5596.863,5652.286,Building_5,building,SAC_DB2
cost,0.993,3048.889,3071.658,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,0.952,0.116,0.122,Building_5,building,SAC_DB2
electricity_consumption,0.99,5486.504,5540.207,Building_7,building,SAC_DB2
cost,0.99,2910.026,2939.918,Building_7,building,SAC_DB2
1 - used_pv_of_total_share,0.937,0.203,0.216,Building_7,building,SAC_DB2
electricity_consumption,0.972,5830.556,5997.7,Building_8,building,SAC_DB2
cost,0.969,3195.365,3296.626,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,0.884,0.133,0.151,Building_8,building,SAC_DB2
electricity_consumption,0.974,7437.481,7635.149,Building_11,building,SAC_DB2
cost,0.966,4062.245,4206.557,Building_11,building,SAC_DB2
1 - used_pv_of_total_share,0.88,0.067,0.076,Building_11,building,SAC_DB2
electricity_consumption,0.996,10703.655,10745.375,Building_17,building,SAC_DB2
cost,0.987,5841.51,5920.74,Building_17,building,SAC_DB2
1 - used_pv_of_total_share,0.839,0.106,0.127,Building_17,building,SAC_DB2
