kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.019,0.599,0.588,District,district,RBC
1 - average_daily_renewable_share_grid,1.015,0.809,0.797,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.072,37373.874,34878.518,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.984,0.578,0.588,District,district,SAC
1 - average_daily_renewable_share_grid,0.966,0.77,0.797,District,district,SAC
1 - load_factor,0.979,0.839,0.857,District,district,SAC
1 - used_pv_of_total_share,0.775,0.113,0.144,District,district,SAC
average_daily_peak,0.913,9.847,10.782,District,district,SAC
carbon_emissions,0.951,3254.198,3412.055,District,district,SAC
cost,0.947,3485.186,3670.012,District,district,SAC
electricity_consumption,0.951,6375.938,6683.189,District,district,SAC
fossil_energy_consumption,0.942,32870.941,34878.518,District,district,SAC
ramping,0.975,21042.431,21583.846,District,district,SAC
electricity_consumption,0.948,4291.939,4528.42,Building_3,building,SAC
carbon_emissions,0.948,2210.561,2332.712,Building_3,building,SAC
cost,0.944,2439.816,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.817,0.141,0.173,Building_3,building,SAC
electricity_consumption,0.956,5402.158,5652.286,Building_5,building,SAC
carbon_emissions,0.956,2754.091,2881.739,Building_5,building,SAC
cost,0.953,2928.048,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.766,0.093,0.122,Building_5,building,SAC
electricity_consumption,0.951,5269.077,5540.207,Building_7,building,SAC
carbon_emissions,0.949,2668.304,2810.394,Building_7,building,SAC
cost,0.941,2766.014,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.834,0.18,0.216,Building_7,building,SAC
electricity_consumption,0.934,5600.212,5997.7,Building_8,building,SAC
carbon_emissions,0.934,2863.396,3064.868,Building_8,building,SAC
cost,0.933,3076.753,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.792,0.119,0.151,Building_8,building,SAC
electricity_consumption,0.944,7205.385,7635.149,Building_11,building,SAC
carbon_emissions,0.944,3682.63,3901.761,Building_11,building,SAC
cost,0.942,3962.397,4206.557,Building_11,building,SAC
1 - used_pv_of_total_share,0.739,0.056,0.076,Building_11,building,SAC
electricity_consumption,0.976,10486.855,10745.375,Building_17,building,SAC
carbon_emissions,0.975,5346.204,5480.857,Building_17,building,SAC
cost,0.969,5738.086,5920.74,Building_17,building,SAC
1 - used_pv_of_total_share,0.702,0.089,0.127,Building_17,building,SAC
1 - average_daily_renewable_share,0.971,0.571,0.588,District,district,SAC Best
1 - average_daily_renewable_share_grid,0.958,0.764,0.797,District,district,SAC Best
1 - load_factor,0.98,0.839,0.857,District,district,SAC Best
1 - used_pv_of_total_share,0.753,0.109,0.144,District,district,SAC Best
average_daily_peak,0.902,9.73,10.782,District,district,SAC Best
carbon_emissions,0.936,3201.515,3412.055,District,district,SAC Best
cost,0.934,3438.083,3670.012,District,district,SAC Best
electricity_consumption,0.935,6268.765,6683.189,District,district,SAC Best
fossil_energy_consumption,0.926,32290.365,34878.518,District,district,SAC Best
ramping,0.967,20870.577,21583.846,District,district,SAC Best
electricity_consumption,0.908,4111.713,4528.42,Building_3,building,SAC Best
carbon_emissions,0.909,2120.983,2332.712,Building_3,building,SAC Best
cost,0.911,2355.294,2584.57,Building_3,building,SAC Best
1 - used_pv_of_total_share,0.786,0.136,0.173,Building_3,building,SAC Best
electricity_consumption,0.941,5317.218,5652.286,Building_5,building,SAC Best
carbon_emissions,0.941,2712.341,2881.739,Building_5,building,SAC Best
cost,0.941,2889.865,3071.658,Building_5,building,SAC Best
