kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.021,0.575,0.563,District,district,RBC
1 - average_daily_renewable_share_grid,1.015,0.744,0.732,District,district,RBC
1 - load_factor,0.991,0.853,0.861,District,district,RBC
average_daily_peak,1.005,12.946,12.886,District,district,RBC
cost,1.071,4036.305,3800.622,District,district,RBC
electricity_consumption,1.076,7250.908,6800.73,District,district,RBC
ramping,1.062,23434.554,22069.976,District,district,RBC
electricity_consumption,1.107,4988.937,4506.632,Building_3,building,RBC
cost,1.098,2829.041,2577.541,Building_3,building,RBC
electricity_consumption,1.099,5446.748,4957.951,Building_5,building,RBC
cost,1.091,3057.285,2802.562,Building_5,building,RBC
electricity_consumption,1.11,4882.561,4398.032,Building_7,building,RBC
cost,1.107,2685.002,2425.044,Building_7,building,RBC
electricity_consumption,1.081,6202.145,5739.114,Building_8,building,RBC
cost,1.075,3458.576,3217.242,Building_8,building,RBC
electricity_consumption,1.045,10225.323,9785.675,Building_10,building,RBC
cost,1.043,5625.746,5395.103,Building_10,building,RBC
electricity_consumption,1.057,7417.12,7015.827,Building_11,building,RBC
cost,1.053,4116.929,3908.629,Building_11,building,RBC
electricity_consumption,1.035,11593.523,11201.882,Building_17,building,RBC
cost,1.032,6481.559,6278.236,Building_17,building,RBC
1 - average_daily_renewable_share,1.0,0.563,0.563,District,district,SAC
1 - average_daily_renewable_share_grid,1.0,0.732,0.732,District,district,SAC
1 - load_factor,0.979,0.843,0.861,District,district,SAC
average_daily_peak,0.907,11.694,12.886,District,district,SAC
cost,0.968,3678.146,3800.622,District,district,SAC
electricity_consumption,0.977,6638.425,6800.73,District,district,SAC
ramping,0.978,21582.094,22069.976,District,district,SAC
electricity_consumption,0.961,4329.23,4506.632,Building_3,building,SAC
cost,0.961,2477.309,2577.541,Building_3,building,SAC
electricity_consumption,1.024,5078.602,4957.951,Building_5,building,SAC
cost,1.002,2809.052,2802.562,Building_5,building,SAC
electricity_consumption,0.99,4354.155,4398.032,Building_7,building,SAC
cost,0.982,2382.113,2425.044,Building_7,building,SAC
electricity_consumption,0.931,5344.348,5739.114,Building_8,building,SAC
cost,0.92,2958.563,3217.242,Building_8,building,SAC
electricity_consumption,0.972,9513.258,9785.675,Building_10,building,SAC
cost,0.963,5196.349,5395.103,Building_10,building,SAC
electricity_consumption,0.982,6888.98,7015.827,Building_11,building,SAC
cost,0.98,3830.0,3908.629,Building_11,building,SAC
electricity_consumption,0.978,10960.402,11201.882,Building_17,building,SAC
cost,0.971,6093.636,6278.236,Building_17,building,SAC
1 - average_daily_renewable_share,1.002,0.565,0.563,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.996,0.73,0.732,District,district,SAC_DB2
1 - load_factor,0.988,0.851,0.861,District,district,SAC_DB2
average_daily_peak,0.925,11.915,12.886,District,district,SAC_DB2
cost,0.976,3699.346,3800.622,District,district,SAC_DB2
electricity_consumption,0.982,6671.258,6800.73,District,district,SAC_DB2
ramping,0.977,21565.268,22069.976,District,district,SAC_DB2
electricity_consumption,0.976,4400.391,4506.632,Building_3,building,SAC_DB2
cost,0.977,2518.268,2577.541,Building_3,building,SAC_DB2
electricity_consumption,0.995,4931.729,4957.951,Building_5,building,SAC_DB2
cost,0.985,2759.209,2802.562,Building_5,building,SAC_DB2
electricity_consumption,1.003,4412.59,4398.032,Building_7,building,SAC_DB2
cost,1.0,2425.619,2425.044,Building_7,building,SAC_DB2
electricity_consumption,0.963,5526.048,5739.114,Building_8,building,SAC_DB2
cost,0.954,3069.352,3217.242,Building_8,building,SAC_DB2
electricity_consumption,0.987,9663.087,9785.675,Building_10,building,SAC_DB2
cost,0.978,5275.616,5395.103,Building_10,building,SAC_DB2
electricity_consumption,0.977,6854.129,7015.827,Building_11,building,SAC_DB2
cost,0.972,3801.053,3908.629,Building_11,building,SAC_DB2
electricity_consumption,0.974,10910.834,11201.882,Building_17,building,SAC_DB2
cost,0.963,6046.301,6278.236,Building_17,building,SAC_DB2
