kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.022,0.567,0.555,District,district,RBC
1 - average_daily_renewable_share_grid,1.016,0.742,0.73,District,district,RBC
1 - load_factor,0.991,0.864,0.872,District,district,RBC
1 - used_pv_of_total_share,1.133,0.178,0.158,District,district,RBC
average_daily_peak,0.999,10.696,10.708,District,district,RBC
cost,1.076,3771.399,3534.876,District,district,RBC
electricity_consumption,1.081,6755.172,6303.24,District,district,RBC
ramping,1.071,19878.024,18553.126,District,district,RBC
electricity_consumption,1.107,4988.937,4506.632,Building_3,building,RBC
cost,1.098,2829.041,2577.541,Building_3,building,RBC
1 - used_pv_of_total_share,1.161,0.221,0.191,Building_3,building,RBC
electricity_consumption,1.099,5446.748,4957.951,Building_5,building,RBC
cost,1.091,3057.285,2802.562,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.156,0.132,Building_5,building,RBC
electricity_consumption,1.11,4882.561,4398.032,Building_7,building,RBC
cost,1.107,2685.002,2425.044,Building_7,building,RBC
1 - used_pv_of_total_share,1.077,0.216,0.2,Building_7,building,RBC
electricity_consumption,1.081,6202.145,5739.114,Building_8,building,RBC
cost,1.075,3458.576,3217.242,Building_8,building,RBC
1 - used_pv_of_total_share,1.111,0.21,0.189,Building_8,building,RBC
electricity_consumption,1.057,7417.12,7015.827,Building_11,building,RBC
cost,1.053,4116.929,3908.629,Building_11,building,RBC
1 - used_pv_of_total_share,1.162,0.1,0.086,Building_11,building,RBC
electricity_consumption,1.035,11593.523,11201.882,Building_17,building,RBC
cost,1.032,6481.559,6278.236,Building_17,building,RBC
1 - used_pv_of_total_share,1.109,0.166,0.15,Building_17,building,RBC
1 - average_daily_renewable_share,1.0,0.555,0.555,District,district,SAC
1 - average_daily_renewable_share_grid,0.995,0.727,0.73,District,district,SAC
1 - load_factor,0.982,0.856,0.872,District,district,SAC
1 - used_pv_of_total_share,0.838,0.134,0.158,District,district,SAC
average_daily_peak,0.879,9.413,10.708,District,district,SAC
cost,0.965,3408.808,3534.876,District,district,SAC
electricity_consumption,0.972,6125.257,6303.24,District,district,SAC
ramping,0.969,17970.939,18553.126,District,district,SAC
electricity_consumption,0.978,4408.702,4506.632,Building_3,building,SAC
cost,0.979,2522.836,2577.541,Building_3,building,SAC
1 - used_pv_of_total_share,0.929,0.177,0.191,Building_3,building,SAC
electricity_consumption,0.989,4905.389,4957.951,Building_5,building,SAC
cost,0.978,2742.194,2802.562,Building_5,building,SAC
1 - used_pv_of_total_share,0.88,0.116,0.132,Building_5,building,SAC
electricity_consumption,0.982,4319.535,4398.032,Building_7,building,SAC
cost,0.975,2363.575,2425.044,Building_7,building,SAC
1 - used_pv_of_total_share,0.919,0.184,0.2,Building_7,building,SAC
electricity_consumption,0.942,5405.165,5739.114,Building_8,building,SAC
cost,0.931,2996.617,3217.242,Building_8,building,SAC
1 - used_pv_of_total_share,0.759,0.143,0.189,Building_8,building,SAC
electricity_consumption,0.968,6792.892,7015.827,Building_11,building,SAC
cost,0.961,3754.398,3908.629,Building_11,building,SAC
1 - used_pv_of_total_share,0.762,0.065,0.086,Building_11,building,SAC
electricity_consumption,0.975,10919.858,11201.882,Building_17,building,SAC
cost,0.967,6073.231,6278.236,Building_17,building,SAC
1 - used_pv_of_total_share,0.783,0.117,0.15,Building_17,building,SAC
1 - average_daily_renewable_share,0.999,0.555,0.555,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.997,0.728,0.73,District,district,SAC_DB2
1 - load_factor,0.983,0.857,0.872,District,district,SAC_DB2
1 - used_pv_of_total_share,0.876,0.138,0.158,District,district,SAC_DB2
average_daily_peak,0.919,9.841,10.708,District,district,SAC_DB2
cost,0.974,3447.123,3534.876,District,district,SAC_DB2
electricity_consumption,0.981,6190.037,6303.24,District,district,SAC_DB2
ramping,0.985,18267.166,18553.126,District,district,SAC_DB2
electricity_consumption,0.963,4339.81,4506.632,Building_3,building,SAC_DB2
cost,0.96,2474.746,2577.541,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.809,0.154,0.191,Building_3,building,SAC_DB2
electricity_consumption,1.005,4983.912,4957.951,Building_5,building,SAC_DB2
cost,0.989,2770.338,2802.562,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,0.877,0.116,0.132,Building_5,building,SAC_DB2
electricity_consumption,0.982,4320.872,4398.032,Building_7,building,SAC_DB2
cost,0.981,2379.16,2425.044,Building_7,building,SAC_DB2
1 - used_pv_of_total_share,0.936,0.187,0.2,Building_7,building,SAC_DB2
electricity_consumption,0.961,5512.895,5739.114,Building_8,building,SAC_DB2
cost,0.954,3069.877,3217.242,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,0.884,0.167,0.189,Building_8,building,SAC_DB2
electricity_consumption,0.987,6922.343,7015.827,Building_11,building,SAC_DB2
cost,0.983,3841.393,3908.629,Building_11,building,SAC_DB2
1 - used_pv_of_total_share,0.905,0.078,0.086,Building_11,building,SAC_DB2
electricity_consumption,0.987,11060.392,11201.882,Building_17,building,SAC_DB2
cost,0.979,6147.221,6278.236,Building_17,building,SAC_DB2
1 - used_pv_of_total_share,0.842,0.126,0.15,Building_17,building,SAC_DB2
