kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.019,0.599,0.588,District,district,RBC
1 - average_daily_renewable_share_grid,1.015,0.809,0.797,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.072,37373.874,34878.518,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.981,0.577,0.588,District,district,SAC
1 - average_daily_renewable_share_grid,0.963,0.768,0.797,District,district,SAC
1 - load_factor,0.977,0.837,0.857,District,district,SAC
1 - used_pv_of_total_share,0.758,0.111,0.144,District,district,SAC
average_daily_peak,0.908,9.788,10.782,District,district,SAC
carbon_emissions,0.949,3247.642,3412.055,District,district,SAC
cost,0.945,3478.234,3670.012,District,district,SAC
electricity_consumption,0.949,6362.688,6683.189,District,district,SAC
fossil_energy_consumption,0.94,32778.497,34878.518,District,district,SAC
ramping,0.971,20950.661,21583.846,District,district,SAC
electricity_consumption,0.934,4228.313,4528.42,Building_3,building,SAC
carbon_emissions,0.934,2178.622,2332.712,Building_3,building,SAC
cost,0.932,2407.532,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.767,0.133,0.173,Building_3,building,SAC
electricity_consumption,0.954,5393.311,5652.286,Building_5,building,SAC
carbon_emissions,0.954,2748.407,2881.739,Building_5,building,SAC
cost,0.949,2916.376,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.729,0.089,0.122,Building_5,building,SAC
electricity_consumption,0.954,5284.854,5540.207,Building_7,building,SAC
carbon_emissions,0.954,2679.787,2810.394,Building_7,building,SAC
cost,0.949,2789.346,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.829,0.179,0.216,Building_7,building,SAC
electricity_consumption,0.94,5634.872,5997.7,Building_8,building,SAC
carbon_emissions,0.94,2879.499,3064.868,Building_8,building,SAC
cost,0.936,3086.686,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.794,0.12,0.151,Building_8,building,SAC
electricity_consumption,0.94,7179.409,7635.149,Building_11,building,SAC
carbon_emissions,0.941,3670.524,3901.761,Building_11,building,SAC
cost,0.94,3954.263,4206.557,Building_11,building,SAC
1 - used_pv_of_total_share,0.71,0.054,0.076,Building_11,building,SAC
electricity_consumption,0.973,10455.368,10745.375,Building_17,building,SAC
carbon_emissions,0.972,5329.012,5480.857,Building_17,building,SAC
cost,0.965,5715.199,5920.74,Building_17,building,SAC
1 - used_pv_of_total_share,0.719,0.091,0.127,Building_17,building,SAC
1 - average_daily_renewable_share,0.972,0.572,0.588,District,district,SAC Best
1 - average_daily_renewable_share_grid,0.956,0.762,0.797,District,district,SAC Best
1 - load_factor,0.979,0.839,0.857,District,district,SAC Best
1 - used_pv_of_total_share,0.76,0.11,0.144,District,district,SAC Best
average_daily_peak,0.893,9.624,10.782,District,district,SAC Best
carbon_emissions,0.934,3198.197,3412.055,District,district,SAC Best
cost,0.932,3431.561,3670.012,District,district,SAC Best
electricity_consumption,0.934,6263.021,6683.189,District,district,SAC Best
fossil_energy_consumption,0.924,32236.553,34878.518,District,district,SAC Best
ramping,0.964,20816.577,21583.846,District,district,SAC Best
electricity_consumption,0.911,4126.427,4528.42,Building_3,building,SAC Best
carbon_emissions,0.912,2127.774,2332.712,Building_3,building,SAC Best
cost,0.912,2357.071,2584.57,Building_3,building,SAC Best
1 - used_pv_of_total_share,0.783,0.136,0.173,Building_3,building,SAC Best
electricity_consumption,0.946,5348.582,5652.286,Building_5,building,SAC Best
carbon_emissions,0.946,2726.773,2881.739,Building_5,building,SAC Best
cost,0.943,2897.06,3071.658,Building_5,building,SAC Best
