kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.995,0.641,0.645,District,district,SAC
1 - average_daily_renewable_share_grid,0.979,0.867,0.885,District,district,SAC
1 - load_factor,0.979,0.839,0.857,District,district,SAC
1 - used_pv_of_total_share,0.767,0.112,0.144,District,district,SAC
average_daily_peak,0.909,9.806,10.782,District,district,SAC
carbon_emissions,0.957,3268.298,3412.055,District,district,SAC
cost,0.954,3502.525,3670.012,District,district,SAC
electricity_consumption,0.957,6402.55,6683.189,District,district,SAC
fossil_energy_consumption,0.952,35679.613,37460.062,District,district,SAC
ramping,0.977,21098.099,21583.846,District,district,SAC
electricity_consumption,0.945,4280.911,4528.42,Building_3,building,SAC
carbon_emissions,0.945,2205.125,2332.712,Building_3,building,SAC
cost,0.941,2432.216,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.8,0.139,0.173,Building_3,building,SAC
electricity_consumption,0.965,5452.732,5652.286,Building_5,building,SAC
carbon_emissions,0.965,2779.783,2881.739,Building_5,building,SAC
cost,0.962,2954.287,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.786,0.096,0.122,Building_5,building,SAC
electricity_consumption,0.968,5361.88,5540.207,Building_7,building,SAC
carbon_emissions,0.968,2721.044,2810.394,Building_7,building,SAC
cost,0.967,2842.519,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.815,0.176,0.216,Building_7,building,SAC
electricity_consumption,0.944,5660.627,5997.7,Building_8,building,SAC
carbon_emissions,0.943,2890.465,3064.868,Building_8,building,SAC
cost,0.938,3091.21,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.759,0.114,0.151,Building_8,building,SAC
electricity_consumption,0.954,7283.297,7635.149,Building_11,building,SAC
carbon_emissions,0.955,3725.227,3901.761,Building_11,building,SAC
cost,0.954,4014.442,4206.557,Building_11,building,SAC
1 - used_pv_of_total_share,0.74,0.056,0.076,Building_11,building,SAC
electricity_consumption,0.966,10375.854,10745.375,Building_17,building,SAC
carbon_emissions,0.965,5288.144,5480.857,Building_17,building,SAC
cost,0.959,5680.479,5920.74,Building_17,building,SAC
1 - used_pv_of_total_share,0.701,0.089,0.127,Building_17,building,SAC
1 - average_daily_renewable_share,0.981,0.632,0.645,District,district,SAC Best
1 - average_daily_renewable_share_grid,0.972,0.861,0.885,District,district,SAC Best
1 - load_factor,0.981,0.84,0.857,District,district,SAC Best
1 - used_pv_of_total_share,0.751,0.109,0.144,District,district,SAC Best
average_daily_peak,0.894,9.639,10.782,District,district,SAC Best
carbon_emissions,0.934,3192.88,3412.055,District,district,SAC Best
cost,0.932,3427.384,3670.012,District,district,SAC Best
electricity_consumption,0.933,6252.233,6683.189,District,district,SAC Best
fossil_energy_consumption,0.929,34808.42,37460.062,District,district,SAC Best
ramping,0.965,20837.971,21583.846,District,district,SAC Best
electricity_consumption,0.921,4172.898,4528.42,Building_3,building,SAC Best
carbon_emissions,0.922,2151.048,2332.712,Building_3,building,SAC Best
cost,0.921,2380.898,2584.57,Building_3,building,SAC Best
1 - used_pv_of_total_share,0.785,0.136,0.173,Building_3,building,SAC Best
electricity_consumption,0.946,5347.218,5652.286,Building_5,building,SAC Best
carbon_emissions,0.946,2726.48,2881.739,Building_5,building,SAC Best
cost,0.944,2898.786,3071.658,Building_5,building,SAC Best
1 - used_pv_of_total_share,0.744,0.091,0.122,Building_5,building,SAC Best
electricity_consumption,0.939,5201.083,5540.207,Building_7,building,SAC Best
carbon_emissions,0.938,2637.545,2810.394,Building_7,building,SAC Best
cost,0.935,2747.624,2939.918,Building_7,building,SAC Best
1 - used_pv_of_total_share,0.793,0.172,0.216,Building_7,building,SAC Best
electricity_consumption,0.915,5486.122,5997.7,Building_8,building,SAC Best
carbon_emissions,0.915,2803.632,3064.868,Building_8,building,SAC Best
cost,0.913,3008.207,3296.626,Building_8,building,SAC Best
1 - used_pv_of_total_share,0.743,0.112,0.151,Building_8,building,SAC Best
electricity_consumption,0.93,7101.778,7635.149,Building_11,building,SAC Best
carbon_emissions,0.931,3631.875,3901.761,Building_11,building,SAC Best
cost,0.93,3913.87,4206.557,Building_11,building,SAC Best
1 - used_pv_of_total_share,0.726,0.055,0.076,Building_11,building,SAC Best
electricity_consumption,0.95,10204.299,10745.375,Building_17,building,SAC Best
carbon_emissions,0.95,5206.702,5480.857,Building_17,building,SAC Best
cost,0.948,5614.921,5920.74,Building_17,building,SAC Best
1 - used_pv_of_total_share,0.716,0.091,0.127,Building_17,building,SAC Best
