kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.006,0.648,0.645,District,district,DDPG
1 - average_daily_renewable_share_grid,0.987,0.873,0.885,District,district,DDPG
1 - load_factor,0.984,0.843,0.857,District,district,DDPG
1 - used_pv_of_total_share,0.852,0.124,0.144,District,district,DDPG
average_daily_peak,0.934,10.075,10.782,District,district,DDPG
carbon_emissions,0.992,3376.391,3412.055,District,district,DDPG
cost,0.988,3617.099,3670.012,District,district,DDPG
electricity_consumption,0.992,6615.276,6683.189,District,district,DDPG
fossil_energy_consumption,0.985,36912.499,37460.062,District,district,DDPG
ramping,1.089,23511.989,21583.846,District,district,DDPG
electricity_consumption,0.995,4506.84,4528.42,Building_3,building,DDPG
carbon_emissions,0.995,2321.956,2332.712,Building_3,building,DDPG
cost,0.992,2565.064,2584.57,Building_3,building,DDPG
1 - used_pv_of_total_share,0.868,0.15,0.173,Building_3,building,DDPG
electricity_consumption,1.011,5715.288,5652.286,Building_5,building,DDPG
carbon_emissions,1.01,2911.71,2881.739,Building_5,building,DDPG
cost,1.005,3088.345,3071.658,Building_5,building,DDPG
1 - used_pv_of_total_share,0.868,0.106,0.122,Building_5,building,DDPG
electricity_consumption,1.0,5540.429,5540.207,Building_7,building,DDPG
carbon_emissions,1.0,2810.992,2810.394,Building_7,building,DDPG
cost,0.998,2933.861,2939.918,Building_7,building,DDPG
1 - used_pv_of_total_share,0.898,0.194,0.216,Building_7,building,DDPG
electricity_consumption,0.989,5932.473,5997.7,Building_8,building,DDPG
carbon_emissions,0.989,3031.553,3064.868,Building_8,building,DDPG
cost,0.986,3251.844,3296.626,Building_8,building,DDPG
1 - used_pv_of_total_share,0.857,0.129,0.151,Building_8,building,DDPG
electricity_consumption,0.971,7413.129,7635.149,Building_11,building,DDPG
carbon_emissions,0.971,3788.785,3901.761,Building_11,building,DDPG
cost,0.969,4077.516,4206.557,Building_11,building,DDPG
1 - used_pv_of_total_share,0.813,0.062,0.076,Building_11,building,DDPG
electricity_consumption,0.985,10583.5,10745.375,Building_17,building,DDPG
carbon_emissions,0.984,5393.351,5480.857,Building_17,building,DDPG
cost,0.977,5785.965,5920.74,Building_17,building,DDPG
1 - used_pv_of_total_share,0.811,0.103,0.127,Building_17,building,DDPG
1 - average_daily_renewable_share,0.993,0.64,0.645,District,district,DDPG Best
1 - average_daily_renewable_share_grid,0.977,0.864,0.885,District,district,DDPG Best
1 - load_factor,0.986,0.845,0.857,District,district,DDPG Best
1 - used_pv_of_total_share,0.827,0.12,0.144,District,district,DDPG Best
average_daily_peak,0.925,9.97,10.782,District,district,DDPG Best
carbon_emissions,0.958,3272.092,3412.055,District,district,DDPG Best
cost,0.957,3515.998,3670.012,District,district,DDPG Best
electricity_consumption,0.958,6407.138,6683.189,District,district,DDPG Best
fossil_energy_consumption,0.954,35720.799,37460.062,District,district,DDPG Best
ramping,1.048,22626.145,21583.846,District,district,DDPG Best
electricity_consumption,0.949,4299.52,4528.42,Building_3,building,DDPG Best
carbon_emissions,0.95,2215.236,2332.712,Building_3,building,DDPG Best
cost,0.948,2450.095,2584.57,Building_3,building,DDPG Best
1 - used_pv_of_total_share,0.826,0.143,0.173,Building_3,building,DDPG Best
electricity_consumption,0.963,5441.87,5652.286,Building_5,building,DDPG Best
carbon_emissions,0.963,2776.073,2881.739,Building_5,building,DDPG Best
cost,0.964,2961.806,3071.658,Building_5,building,DDPG Best
1 - used_pv_of_total_share,0.82,0.1,0.122,Building_5,building,DDPG Best
electricity_consumption,0.96,5319.359,5540.207,Building_7,building,DDPG Best
carbon_emissions,0.959,2695.317,2810.394,Building_7,building,DDPG Best
cost,0.953,2801.005,2939.918,Building_7,building,DDPG Best
1 - used_pv_of_total_share,0.845,0.183,0.216,Building_7,building,DDPG Best
electricity_consumption,0.959,5754.767,5997.7,Building_8,building,DDPG Best
carbon_emissions,0.96,2942.827,3064.868,Building_8,building,DDPG Best
cost,0.961,3167.047,3296.626,Building_8,building,DDPG Best
1 - used_pv_of_total_share,0.864,0.13,0.151,Building_8,building,DDPG Best
electricity_consumption,0.952,7271.162,7635.149,Building_11,building,DDPG Best
carbon_emissions,0.953,3718.832,3901.761,Building_11,building,DDPG Best
cost,0.954,4011.379,4206.557,Building_11,building,DDPG Best
1 - used_pv_of_total_share,0.793,0.06,0.076,Building_11,building,DDPG Best
electricity_consumption,0.964,10356.152,10745.375,Building_17,building,DDPG Best
carbon_emissions,0.964,5284.269,5480.857,Building_17,building,DDPG Best
cost,0.964,5704.657,5920.74,Building_17,building,DDPG Best
1 - used_pv_of_total_share,0.814,0.103,0.127,Building_17,building,DDPG Best
