kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.02,0.879,0.862,District,district,RBC
1 - load_factor,0.994,0.851,0.856,District,district,RBC
average_daily_peak,0.998,13.404,13.43,District,district,RBC
carbon_emissions,1.04,1305.694,1258.935,District,district,RBC
cost,1.051,10315.101,9849.522,District,district,RBC
electricity_consumption,1.059,8380.217,7940.496,District,district,RBC
ramping,1.052,23513.338,22349.381,District,district,RBC
electricity_consumption,1.066,7492.861,7026.809,Building_1,building,RBC
carbon_emissions,1.046,1169.225,1117.621,Building_1,building,RBC
cost,1.056,9320.021,8827.834,Building_1,building,RBC
electricity_consumption,1.066,6628.184,6216.785,Building_4,building,RBC
carbon_emissions,1.043,1009.429,967.993,Building_4,building,RBC
cost,1.06,7852.36,7405.317,Building_4,building,RBC
electricity_consumption,1.081,6202.145,5739.114,Building_8,building,RBC
carbon_emissions,1.056,951.153,900.577,Building_8,building,RBC
cost,1.069,7608.198,7115.35,Building_8,building,RBC
electricity_consumption,1.045,10225.323,9785.675,Building_10,building,RBC
carbon_emissions,1.031,1574.848,1527.858,Building_10,building,RBC
cost,1.038,12650.066,12188.658,Building_10,building,RBC
electricity_consumption,1.061,8139.268,7672.711,Building_16,building,RBC
carbon_emissions,1.043,1252.467,1200.903,Building_16,building,RBC
cost,1.051,10125.291,9630.204,Building_16,building,RBC
electricity_consumption,1.035,11593.523,11201.882,Building_17,building,RBC
carbon_emissions,1.021,1877.042,1838.66,Building_17,building,RBC
cost,1.029,14334.672,13929.768,Building_17,building,RBC
1 - average_daily_renewable_share,0.958,0.826,0.862,District,district,SAC
1 - load_factor,0.979,0.838,0.856,District,district,SAC
average_daily_peak,0.9,12.085,13.43,District,district,SAC
carbon_emissions,0.957,1207.146,1258.935,District,district,SAC
cost,0.948,9346.535,9849.522,District,district,SAC
electricity_consumption,0.956,7598.985,7940.496,District,district,SAC
ramping,0.973,21749.298,22349.381,District,district,SAC
electricity_consumption,0.921,6470.419,7026.809,Building_1,building,SAC
carbon_emissions,0.916,1023.677,1117.621,Building_1,building,SAC
cost,0.912,8048.362,8827.834,Building_1,building,SAC
electricity_consumption,1.017,6320.283,6216.785,Building_4,building,SAC
carbon_emissions,1.022,989.641,967.993,Building_4,building,SAC
cost,1.011,7483.336,7405.317,Building_4,building,SAC
electricity_consumption,0.94,5396.146,5739.114,Building_8,building,SAC
carbon_emissions,0.945,850.705,900.577,Building_8,building,SAC
cost,0.93,6619.424,7115.35,Building_8,building,SAC
electricity_consumption,0.953,9321.052,9785.675,Building_10,building,SAC
carbon_emissions,0.953,1456.639,1527.858,Building_10,building,SAC
cost,0.947,11538.465,12188.658,Building_10,building,SAC
electricity_consumption,0.915,7022.961,7672.711,Building_16,building,SAC
carbon_emissions,0.917,1101.467,1200.903,Building_16,building,SAC
cost,0.906,8722.689,9630.204,Building_16,building,SAC
electricity_consumption,0.988,11063.047,11201.882,Building_17,building,SAC
carbon_emissions,0.99,1820.744,1838.66,Building_17,building,SAC
cost,0.981,13666.936,13929.768,Building_17,building,SAC
1 - average_daily_renewable_share,0.945,0.814,0.862,District,district,SAC_DB2
1 - load_factor,0.978,0.837,0.856,District,district,SAC_DB2
average_daily_peak,0.902,12.113,13.43,District,district,SAC_DB2
carbon_emissions,0.957,1208.436,1258.935,District,district,SAC_DB2
cost,0.949,9378.749,9849.522,District,district,SAC_DB2
electricity_consumption,0.957,7622.921,7940.496,District,district,SAC_DB2
ramping,1.008,22535.343,22349.381,District,district,SAC_DB2
electricity_consumption,0.952,6688.065,7026.809,Building_1,building,SAC_DB2
carbon_emissions,0.95,1061.729,1117.621,Building_1,building,SAC_DB2
cost,0.938,8276.633,8827.834,Building_1,building,SAC_DB2
electricity_consumption,1.012,6288.865,6216.785,Building_4,building,SAC_DB2
carbon_emissions,1.021,988.239,967.993,Building_4,building,SAC_DB2
cost,1.008,7462.132,7405.317,Building_4,building,SAC_DB2
electricity_consumption,0.942,5404.115,5739.114,Building_8,building,SAC_DB2
carbon_emissions,0.94,846.357,900.577,Building_8,building,SAC_DB2
cost,0.929,6611.606,7115.35,Building_8,building,SAC_DB2
electricity_consumption,0.95,9292.971,9785.675,Building_10,building,SAC_DB2
carbon_emissions,0.954,1458.27,1527.858,Building_10,building,SAC_DB2
cost,0.948,11549.016,12188.658,Building_10,building,SAC_DB2
electricity_consumption,0.881,6760.256,7672.711,Building_16,building,SAC_DB2
carbon_emissions,0.874,1049.633,1200.903,Building_16,building,SAC_DB2
cost,0.871,8384.583,9630.204,Building_16,building,SAC_DB2
electricity_consumption,1.009,11303.254,11201.882,Building_17,building,SAC_DB2
carbon_emissions,1.004,1846.389,1838.66,Building_17,building,SAC_DB2
cost,1.004,13988.522,13929.768,Building_17,building,SAC_DB2
