kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.01,0.655,0.649,District,district,RBC
1 - average_daily_renewable_share_grid,1.008,0.801,0.795,District,district,RBC
1 - load_factor,0.994,0.755,0.759,District,district,RBC
average_daily_peak,0.989,10.163,10.274,District,district,RBC
carbon_emissions,1.03,1157.161,1124.845,District,district,RBC
cost,1.05,4057.958,3871.47,District,district,RBC
electricity_consumption,1.051,7423.246,7069.932,District,district,RBC
ramping,1.033,18939.483,18335.892,District,district,RBC
electricity_consumption,1.037,8241.444,7948.515,Building_4,building,RBC
carbon_emissions,1.017,1288.048,1266.054,Building_4,building,RBC
cost,1.035,4585.058,4431.924,Building_4,building,RBC
electricity_consumption,1.054,6775.286,6431.077,Building_5,building,RBC
carbon_emissions,1.029,1056.703,1026.54,Building_5,building,RBC
cost,1.051,3709.836,3529.569,Building_5,building,RBC
electricity_consumption,1.075,6478.539,6029.215,Building_7,building,RBC
carbon_emissions,1.051,1018.978,969.728,Building_7,building,RBC
cost,1.076,3457.311,3214.179,Building_7,building,RBC
electricity_consumption,1.053,6957.512,6609.693,Building_8,building,RBC
carbon_emissions,1.03,1076.17,1044.58,Building_8,building,RBC
cost,1.05,3838.521,3654.568,Building_8,building,RBC
electricity_consumption,1.039,8313.734,7998.609,Building_13,building,RBC
carbon_emissions,1.021,1281.955,1255.788,Building_13,building,RBC
cost,1.039,4423.362,4256.914,Building_13,building,RBC
electricity_consumption,1.05,7772.963,7402.481,Building_14,building,RBC
carbon_emissions,1.029,1221.111,1186.379,Building_14,building,RBC
cost,1.046,4333.661,4141.668,Building_14,building,RBC
1 - average_daily_renewable_share,1.009,0.654,0.649,District,district,SAC
1 - average_daily_renewable_share_grid,0.998,0.794,0.795,District,district,SAC
1 - load_factor,1.0,0.759,0.759,District,district,SAC
average_daily_peak,1.003,10.302,10.274,District,district,SAC
carbon_emissions,1.016,1143.038,1124.845,District,district,SAC
cost,1.013,3924.449,3871.47,District,district,SAC
electricity_consumption,1.019,7204.853,7069.932,District,district,SAC
ramping,1.029,18860.488,18335.892,District,district,SAC
electricity_consumption,1.033,8212.693,7948.515,Building_4,building,SAC
carbon_emissions,1.027,1299.752,1266.054,Building_4,building,SAC
cost,1.026,4547.438,4431.924,Building_4,building,SAC
electricity_consumption,1.038,6672.262,6431.077,Building_5,building,SAC
carbon_emissions,1.03,1057.307,1026.54,Building_5,building,SAC
cost,1.03,3634.19,3529.569,Building_5,building,SAC
electricity_consumption,1.008,6076.503,6029.215,Building_7,building,SAC
carbon_emissions,1.002,971.287,969.728,Building_7,building,SAC
cost,1.007,3235.872,3214.179,Building_7,building,SAC
electricity_consumption,1.001,6616.668,6609.693,Building_8,building,SAC
carbon_emissions,1.004,1049.252,1044.58,Building_8,building,SAC
cost,0.997,3643.073,3654.568,Building_8,building,SAC
electricity_consumption,1.017,8133.539,7998.609,Building_13,building,SAC
carbon_emissions,1.015,1275.017,1255.788,Building_13,building,SAC
cost,1.011,4303.081,4256.914,Building_13,building,SAC
electricity_consumption,1.016,7517.454,7402.481,Building_14,building,SAC
carbon_emissions,1.016,1205.611,1186.379,Building_14,building,SAC
cost,1.01,4183.038,4141.668,Building_14,building,SAC
1 - average_daily_renewable_share,1.017,0.66,0.649,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,1.001,0.796,0.795,District,district,SAC_DB2
1 - load_factor,0.992,0.753,0.759,District,district,SAC_DB2
average_daily_peak,0.998,10.258,10.274,District,district,SAC_DB2
carbon_emissions,1.028,1155.826,1124.845,District,district,SAC_DB2
cost,1.023,3959.554,3871.47,District,district,SAC_DB2
electricity_consumption,1.031,7282.253,7069.932,District,district,SAC_DB2
ramping,1.039,19054.265,18335.892,District,district,SAC_DB2
electricity_consumption,1.029,8181.689,7948.515,Building_4,building,SAC_DB2
carbon_emissions,1.025,1297.934,1266.054,Building_4,building,SAC_DB2
cost,1.025,4542.124,4431.924,Building_4,building,SAC_DB2
electricity_consumption,1.029,6620.436,6431.077,Building_5,building,SAC_DB2
carbon_emissions,1.03,1056.841,1026.54,Building_5,building,SAC_DB2
cost,1.023,3612.298,3529.569,Building_5,building,SAC_DB2
electricity_consumption,1.047,6313.029,6029.215,Building_7,building,SAC_DB2
carbon_emissions,1.039,1007.149,969.728,Building_7,building,SAC_DB2
cost,1.046,3361.874,3214.179,Building_7,building,SAC_DB2
electricity_consumption,1.018,6728.196,6609.693,Building_8,building,SAC_DB2
carbon_emissions,1.018,1062.997,1044.58,Building_8,building,SAC_DB2
cost,1.01,3689.917,3654.568,Building_8,building,SAC_DB2
electricity_consumption,1.012,8090.869,7998.609,Building_13,building,SAC_DB2
carbon_emissions,1.01,1268.37,1255.788,Building_13,building,SAC_DB2
cost,0.998,4248.489,4256.914,Building_13,building,SAC_DB2
electricity_consumption,1.048,7759.302,7402.481,Building_14,building,SAC_DB2
carbon_emissions,1.047,1241.663,1186.379,Building_14,building,SAC_DB2
cost,1.039,4302.62,4141.668,Building_14,building,SAC_DB2
