kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.008,0.584,0.579,District,district,RBC
1 - average_daily_renewable_share_grid,1.007,0.761,0.756,District,district,RBC
1 - load_factor,0.992,0.829,0.836,District,district,RBC
average_daily_peak,0.994,11.838,11.914,District,district,RBC
carbon_emissions,1.032,1259.838,1222.719,District,district,RBC
cost,1.05,4419.511,4218.632,District,district,RBC
electricity_consumption,1.051,8146.175,7765.836,District,district,RBC
ramping,1.051,22293.87,21221.214,District,district,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.046,927.027,886.36,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
electricity_consumption,1.054,7724.599,7331.304,Building_6,building,RBC
carbon_emissions,1.034,1179.655,1140.476,Building_6,building,RBC
cost,1.052,4151.092,3945.13,Building_6,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.023,1233.015,1205.603,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
electricity_consumption,1.053,7571.705,7189.804,Building_13,building,RBC
carbon_emissions,1.034,1148.801,1111.024,Building_13,building,RBC
cost,1.054,3994.957,3791.736,Building_13,building,RBC
electricity_consumption,1.05,8445.704,8041.101,Building_16,building,RBC
carbon_emissions,1.033,1296.589,1255.061,Building_16,building,RBC
cost,1.049,4591.322,4375.972,Building_16,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.021,1773.941,1737.79,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - average_daily_renewable_share,1.003,0.581,0.579,District,district,SAC
1 - average_daily_renewable_share_grid,0.987,0.746,0.756,District,district,SAC
1 - load_factor,0.994,0.831,0.836,District,district,SAC
average_daily_peak,0.897,10.684,11.914,District,district,SAC
carbon_emissions,0.984,1203.598,1222.719,District,district,SAC
cost,0.978,4129.712,4218.632,District,district,SAC
electricity_consumption,0.984,7648.859,7765.836,District,district,SAC
ramping,0.999,21202.364,21221.214,District,district,SAC
electricity_consumption,0.99,5596.725,5652.286,Building_5,building,SAC
carbon_emissions,0.988,875.975,886.36,Building_5,building,SAC
cost,0.981,3012.118,3071.658,Building_5,building,SAC
electricity_consumption,1.001,7336.272,7331.304,Building_6,building,SAC
carbon_emissions,0.999,1139.104,1140.476,Building_6,building,SAC
cost,0.998,3936.443,3945.13,Building_6,building,SAC
electricity_consumption,0.982,7497.972,7635.149,Building_11,building,SAC
carbon_emissions,0.985,1187.722,1205.603,Building_11,building,SAC
cost,0.974,4096.498,4206.557,Building_11,building,SAC
electricity_consumption,0.977,7024.975,7189.804,Building_13,building,SAC
carbon_emissions,0.975,1082.909,1111.024,Building_13,building,SAC
cost,0.971,3683.606,3791.736,Building_13,building,SAC
electricity_consumption,0.956,7684.054,8041.101,Building_16,building,SAC
carbon_emissions,0.957,1201.104,1255.061,Building_16,building,SAC
cost,0.949,4154.166,4375.972,Building_16,building,SAC
electricity_consumption,1.001,10753.152,10745.375,Building_17,building,SAC
carbon_emissions,0.998,1734.772,1737.79,Building_17,building,SAC
cost,0.996,5895.438,5920.74,Building_17,building,SAC
1 - average_daily_renewable_share,1.001,0.58,0.579,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.987,0.746,0.756,District,district,SAC_DB2
1 - load_factor,0.988,0.825,0.836,District,district,SAC_DB2
average_daily_peak,0.93,11.078,11.914,District,district,SAC_DB2
carbon_emissions,0.992,1212.42,1222.719,District,district,SAC_DB2
cost,0.988,4160.805,4218.632,District,district,SAC_DB2
electricity_consumption,0.991,7692.538,7765.836,District,district,SAC_DB2
ramping,1.011,21462.318,21221.214,District,district,SAC_DB2
electricity_consumption,1.013,5726.138,5652.286,Building_5,building,SAC_DB2
carbon_emissions,1.015,899.869,886.36,Building_5,building,SAC_DB2
cost,1.011,3104.095,3071.658,Building_5,building,SAC_DB2
electricity_consumption,0.993,7280.218,7331.304,Building_6,building,SAC_DB2
carbon_emissions,1.002,1142.933,1140.476,Building_6,building,SAC_DB2
cost,0.991,3910.893,3945.13,Building_6,building,SAC_DB2
electricity_consumption,0.994,7589.947,7635.149,Building_11,building,SAC_DB2
carbon_emissions,0.993,1197.295,1205.603,Building_11,building,SAC_DB2
cost,0.99,4165.232,4206.557,Building_11,building,SAC_DB2
electricity_consumption,1.01,7260.7,7189.804,Building_13,building,SAC_DB2
carbon_emissions,1.007,1118.328,1111.024,Building_13,building,SAC_DB2
cost,1.008,3822.544,3791.736,Building_13,building,SAC_DB2
electricity_consumption,0.934,7506.54,8041.101,Building_16,building,SAC_DB2
carbon_emissions,0.934,1172.24,1255.061,Building_16,building,SAC_DB2
cost,0.929,4067.363,4375.972,Building_16,building,SAC_DB2
electricity_consumption,1.004,10791.682,10745.375,Building_17,building,SAC_DB2
carbon_emissions,1.003,1743.853,1737.79,Building_17,building,SAC_DB2
cost,0.996,5894.705,5920.74,Building_17,building,SAC_DB2
