kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.011,0.567,0.561,District,district,RBC
1 - average_daily_renewable_share_grid,1.02,0.734,0.719,District,district,RBC
1 - load_factor,0.993,0.823,0.829,District,district,RBC
average_daily_peak,1.008,11.72,11.627,District,district,RBC
cost,1.055,4323.315,4100.56,District,district,RBC
electricity_consumption,1.059,7824.68,7398.082,District,district,RBC
ramping,1.052,20375.002,19361.406,District,district,RBC
used_pv_of_total_share,1.141,0.166,0.147,District,district,RBC
electricity_consumption,1.066,6991.731,6557.636,Building_2,building,RBC
cost,1.063,3836.115,3609.069,Building_2,building,RBC
used_pv_of_total_share,1.154,0.182,0.158,Building_2,building,RBC
electricity_consumption,1.066,6628.185,6216.785,Building_4,building,RBC
cost,1.062,3684.291,3470.592,Building_4,building,RBC
used_pv_of_total_share,1.206,0.098,0.081,Building_4,building,RBC
electricity_consumption,1.045,10225.324,9785.675,Building_10,building,RBC
cost,1.043,5625.746,5395.103,Building_10,building,RBC
used_pv_of_total_share,1.108,0.202,0.182,Building_10,building,RBC
electricity_consumption,1.057,7417.121,7015.827,Building_11,building,RBC
cost,1.053,4116.93,3908.629,Building_11,building,RBC
used_pv_of_total_share,1.162,0.1,0.086,Building_11,building,RBC
electricity_consumption,1.057,7546.449,7139.86,Building_14,building,RBC
cost,1.053,4201.633,3989.938,Building_14,building,RBC
used_pv_of_total_share,1.128,0.217,0.193,Building_14,building,RBC
electricity_consumption,1.061,8139.269,7672.711,Building_16,building,RBC
cost,1.058,4475.174,4230.029,Building_16,building,RBC
used_pv_of_total_share,1.088,0.197,0.181,Building_16,building,RBC
1 - average_daily_renewable_share,1.006,0.564,0.561,District,district,SAC
1 - average_daily_renewable_share_grid,0.988,0.711,0.719,District,district,SAC
1 - load_factor,0.985,0.817,0.829,District,district,SAC
average_daily_peak,0.925,10.753,11.627,District,district,SAC
cost,0.983,4026.205,4100.56,District,district,SAC
electricity_consumption,0.99,7313.102,7398.082,District,district,SAC
ramping,1.004,19442.8,19361.406,District,district,SAC
used_pv_of_total_share,0.825,0.12,0.147,District,district,SAC
electricity_consumption,0.971,6365.682,6557.636,Building_2,building,SAC
cost,0.961,3467.532,3609.069,Building_2,building,SAC
used_pv_of_total_share,0.769,0.121,0.158,Building_2,building,SAC
electricity_consumption,1.034,6427.57,6216.785,Building_4,building,SAC
cost,1.037,3599.177,3470.592,Building_4,building,SAC
used_pv_of_total_share,0.914,0.074,0.081,Building_4,building,SAC
electricity_consumption,0.993,9716.884,9785.675,Building_10,building,SAC
cost,0.99,5339.995,5395.103,Building_10,building,SAC
used_pv_of_total_share,0.914,0.167,0.182,Building_10,building,SAC
electricity_consumption,0.997,6995.811,7015.827,Building_11,building,SAC
cost,0.99,3870.676,3908.629,Building_11,building,SAC
used_pv_of_total_share,0.799,0.069,0.086,Building_11,building,SAC
electricity_consumption,1.038,7408.235,7139.86,Building_14,building,SAC
cost,1.023,4082.224,3989.938,Building_14,building,SAC
used_pv_of_total_share,0.806,0.155,0.193,Building_14,building,SAC
electricity_consumption,0.908,6964.43,7672.711,Building_16,building,SAC
cost,0.898,3797.623,4230.029,Building_16,building,SAC
used_pv_of_total_share,0.746,0.135,0.181,Building_16,building,SAC
1 - average_daily_renewable_share,1.009,0.566,0.561,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.992,0.714,0.719,District,district,SAC_DB2
1 - load_factor,0.994,0.824,0.829,District,district,SAC_DB2
average_daily_peak,0.944,10.973,11.627,District,district,SAC_DB2
cost,0.99,4054.541,4100.56,District,district,SAC_DB2
electricity_consumption,0.996,7362.086,7398.082,District,district,SAC_DB2
ramping,1.025,19853.579,19361.406,District,district,SAC_DB2
used_pv_of_total_share,0.865,0.126,0.147,District,district,SAC_DB2
electricity_consumption,0.994,6515.796,6557.636,Building_2,building,SAC_DB2
cost,0.984,3550.072,3609.069,Building_2,building,SAC_DB2
used_pv_of_total_share,0.827,0.131,0.158,Building_2,building,SAC_DB2
electricity_consumption,1.034,6425.957,6216.785,Building_4,building,SAC_DB2
cost,1.039,3605.541,3470.592,Building_4,building,SAC_DB2
used_pv_of_total_share,0.973,0.079,0.081,Building_4,building,SAC_DB2
electricity_consumption,1.0,9787.949,9785.675,Building_10,building,SAC_DB2
cost,0.995,5365.563,5395.103,Building_10,building,SAC_DB2
used_pv_of_total_share,0.893,0.163,0.182,Building_10,building,SAC_DB2
electricity_consumption,0.996,6991.144,7015.827,Building_11,building,SAC_DB2
cost,0.984,3844.643,3908.629,Building_11,building,SAC_DB2
used_pv_of_total_share,0.806,0.069,0.086,Building_11,building,SAC_DB2
electricity_consumption,1.027,7329.196,7139.86,Building_14,building,SAC_DB2
cost,1.02,4069.59,3989.938,Building_14,building,SAC_DB2
used_pv_of_total_share,0.866,0.167,0.193,Building_14,building,SAC_DB2
electricity_consumption,0.928,7122.473,7672.711,Building_16,building,SAC_DB2
cost,0.92,3891.839,4230.029,Building_16,building,SAC_DB2
used_pv_of_total_share,0.826,0.15,0.181,Building_16,building,SAC_DB2
