kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.012,0.572,0.565,District,district,RBC
1 - average_daily_renewable_share_grid,1.019,0.734,0.72,District,district,RBC
1 - load_factor,0.994,0.844,0.849,District,district,RBC
1 - used_pv_of_total_share,1.13,0.187,0.167,District,district,RBC
average_daily_peak,1.02,11.424,11.197,District,district,RBC
cost,1.062,4119.279,3889.408,District,district,RBC
electricity_consumption,1.067,7420.12,6979.536,District,district,RBC
ramping,1.07,20158.125,18830.88,District,district,RBC
electricity_consumption,1.066,7492.861,7026.809,Building_1,building,RBC
cost,1.062,4178.073,3933.684,Building_1,building,RBC
1 - used_pv_of_total_share,1.118,0.191,0.171,Building_1,building,RBC
electricity_consumption,1.107,4988.937,4506.632,Building_3,building,RBC
cost,1.098,2829.041,2577.541,Building_3,building,RBC
1 - used_pv_of_total_share,1.161,0.221,0.191,Building_3,building,RBC
electricity_consumption,1.066,6628.184,6216.785,Building_4,building,RBC
cost,1.062,3684.29,3470.592,Building_4,building,RBC
1 - used_pv_of_total_share,1.206,0.098,0.081,Building_4,building,RBC
electricity_consumption,1.061,7638.964,7201.455,Building_6,building,RBC
cost,1.057,4196.895,3969.592,Building_6,building,RBC
1 - used_pv_of_total_share,1.059,0.193,0.182,Building_6,building,RBC
electricity_consumption,1.045,10225.323,9785.675,Building_10,building,RBC
cost,1.043,5625.746,5395.103,Building_10,building,RBC
1 - used_pv_of_total_share,1.108,0.202,0.182,Building_10,building,RBC
electricity_consumption,1.057,7546.448,7139.86,Building_14,building,RBC
cost,1.053,4201.632,3989.938,Building_14,building,RBC
1 - used_pv_of_total_share,1.128,0.217,0.193,Building_14,building,RBC
1 - average_daily_renewable_share,1.017,0.574,0.565,District,district,SAC
1 - average_daily_renewable_share_grid,1.009,0.727,0.72,District,district,SAC
1 - load_factor,0.987,0.838,0.849,District,district,SAC
1 - used_pv_of_total_share,0.887,0.145,0.167,District,district,SAC
average_daily_peak,0.935,10.473,11.197,District,district,SAC
cost,1.002,3884.593,3889.408,District,district,SAC
electricity_consumption,1.013,7050.04,6979.536,District,district,SAC
ramping,1.032,19438.798,18830.88,District,district,SAC
electricity_consumption,0.966,6787.02,7026.809,Building_1,building,SAC
cost,0.96,3775.468,3933.684,Building_1,building,SAC
1 - used_pv_of_total_share,0.861,0.147,0.171,Building_1,building,SAC
electricity_consumption,1.02,4597.724,4506.632,Building_3,building,SAC
cost,1.006,2593.718,2577.541,Building_3,building,SAC
1 - used_pv_of_total_share,0.823,0.157,0.191,Building_3,building,SAC
electricity_consumption,1.061,6597.266,6216.785,Building_4,building,SAC
cost,1.054,3659.676,3470.592,Building_4,building,SAC
1 - used_pv_of_total_share,1.039,0.084,0.081,Building_4,building,SAC
electricity_consumption,0.982,7074.424,7201.455,Building_6,building,SAC
cost,0.973,3861.781,3969.592,Building_6,building,SAC
1 - used_pv_of_total_share,0.896,0.163,0.182,Building_6,building,SAC
electricity_consumption,0.986,9648.925,9785.675,Building_10,building,SAC
cost,0.971,5238.167,5395.103,Building_10,building,SAC
1 - used_pv_of_total_share,0.813,0.148,0.182,Building_10,building,SAC
electricity_consumption,1.064,7594.885,7139.86,Building_14,building,SAC
cost,1.047,4178.746,3989.938,Building_14,building,SAC
1 - used_pv_of_total_share,0.891,0.172,0.193,Building_14,building,SAC
1 - average_daily_renewable_share,1.012,0.572,0.565,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.998,0.719,0.72,District,district,SAC_DB2
1 - load_factor,0.991,0.841,0.849,District,district,SAC_DB2
1 - used_pv_of_total_share,0.87,0.144,0.167,District,district,SAC_DB2
average_daily_peak,0.963,10.778,11.197,District,district,SAC_DB2
cost,1.006,3907.004,3889.408,District,district,SAC_DB2
electricity_consumption,1.014,7066.733,6979.536,District,district,SAC_DB2
ramping,1.062,19998.806,18830.88,District,district,SAC_DB2
electricity_consumption,0.962,6760.584,7026.809,Building_1,building,SAC_DB2
cost,0.956,3760.711,3933.684,Building_1,building,SAC_DB2
1 - used_pv_of_total_share,0.865,0.148,0.171,Building_1,building,SAC_DB2
electricity_consumption,1.021,4602.994,4506.632,Building_3,building,SAC_DB2
cost,1.01,2603.547,2577.541,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.896,0.171,0.191,Building_3,building,SAC_DB2
electricity_consumption,1.046,6501.973,6216.785,Building_4,building,SAC_DB2
cost,1.039,3606.718,3470.592,Building_4,building,SAC_DB2
1 - used_pv_of_total_share,0.918,0.074,0.081,Building_4,building,SAC_DB2
electricity_consumption,0.993,7153.489,7201.455,Building_6,building,SAC_DB2
cost,0.984,3906.634,3969.592,Building_6,building,SAC_DB2
1 - used_pv_of_total_share,0.839,0.153,0.182,Building_6,building,SAC_DB2
electricity_consumption,1.006,9848.365,9785.675,Building_10,building,SAC_DB2
cost,1.001,5398.949,5395.103,Building_10,building,SAC_DB2
1 - used_pv_of_total_share,0.824,0.15,0.182,Building_10,building,SAC_DB2
electricity_consumption,1.055,7532.99,7139.86,Building_14,building,SAC_DB2
cost,1.044,4165.463,3989.938,Building_14,building,SAC_DB2
1 - used_pv_of_total_share,0.877,0.169,0.193,Building_14,building,SAC_DB2
