kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.005,0.862,0.857,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.862,0.857,District,district,RBC
1 - load_factor,0.991,0.608,0.614,District,district,RBC
average_daily_peak,0.99,12.002,12.12,District,district,RBC
cost,1.017,5784.078,5691.327,District,district,RBC
electricity_consumption,1.018,10453.385,10279.363,District,district,RBC
ramping,1.051,14176.812,13483.395,District,district,RBC
electricity_consumption,1.014,10726.713,10583.337,Building_1,building,RBC
cost,1.013,5942.144,5864.761,Building_1,building,RBC
electricity_consumption,1.017,10972.607,10793.167,Building_4,building,RBC
cost,1.016,6121.06,6024.069,Building_4,building,RBC
electricity_consumption,1.016,8979.841,8836.302,Building_8,building,RBC
cost,1.016,4975.14,4897.629,Building_8,building,RBC
electricity_consumption,1.012,12457.058,12313.98,Building_11,building,RBC
cost,1.011,6931.287,6854.063,Building_11,building,RBC
electricity_consumption,1.013,11075.57,10932.364,Building_13,building,RBC
cost,1.013,5972.58,5895.274,Building_13,building,RBC
electricity_consumption,1.035,8508.52,8217.028,Building_14,building,RBC
cost,1.033,4762.258,4612.163,Building_14,building,RBC
1 - average_daily_renewable_share,1.006,0.862,0.857,District,district,SAC
1 - average_daily_renewable_share_grid,1.006,0.862,0.857,District,district,SAC
1 - load_factor,0.997,0.612,0.614,District,district,SAC
average_daily_peak,1.029,12.472,12.12,District,district,SAC
cost,1.028,5842.17,5691.327,District,district,SAC
electricity_consumption,1.036,10636.148,10279.363,District,district,SAC
ramping,1.151,15518.276,13483.395,District,district,SAC
electricity_consumption,1.037,10975.603,10583.337,Building_1,building,SAC
cost,1.025,6011.166,5864.761,Building_1,building,SAC
electricity_consumption,1.043,11261.719,10793.167,Building_4,building,SAC
cost,1.039,6256.369,6024.069,Building_4,building,SAC
electricity_consumption,1.033,9124.826,8836.302,Building_8,building,SAC
cost,1.027,5031.944,4897.629,Building_8,building,SAC
electricity_consumption,1.014,12484.378,12313.98,Building_11,building,SAC
cost,1.005,6885.468,6854.063,Building_11,building,SAC
electricity_consumption,1.036,11320.755,10932.364,Building_13,building,SAC
cost,1.029,6063.439,5895.274,Building_13,building,SAC
electricity_consumption,1.053,8649.604,8217.028,Building_14,building,SAC
cost,1.042,4804.632,4612.163,Building_14,building,SAC
1 - average_daily_renewable_share,1.005,0.861,0.857,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,1.005,0.861,0.857,District,district,SAC_DB2
1 - load_factor,1.001,0.615,0.614,District,district,SAC_DB2
average_daily_peak,1.044,12.648,12.12,District,district,SAC_DB2
cost,1.031,5862.811,5691.327,District,district,SAC_DB2
electricity_consumption,1.04,10680.847,10279.363,District,district,SAC_DB2
ramping,1.166,15719.628,13483.395,District,district,SAC_DB2
electricity_consumption,1.043,11038.455,10583.337,Building_1,building,SAC_DB2
cost,1.032,6050.185,5864.761,Building_1,building,SAC_DB2
electricity_consumption,1.05,11330.825,10793.167,Building_4,building,SAC_DB2
cost,1.046,6299.098,6024.069,Building_4,building,SAC_DB2
electricity_consumption,1.038,9176.055,8836.302,Building_8,building,SAC_DB2
cost,1.029,5038.671,4897.629,Building_8,building,SAC_DB2
electricity_consumption,1.027,12652.334,12313.98,Building_11,building,SAC_DB2
cost,1.016,6966.953,6854.063,Building_11,building,SAC_DB2
electricity_consumption,1.024,11199.98,10932.364,Building_13,building,SAC_DB2
cost,1.016,5989.179,5895.274,Building_13,building,SAC_DB2
electricity_consumption,1.057,8687.434,8217.028,Building_14,building,SAC_DB2
cost,1.048,4832.782,4612.163,Building_14,building,SAC_DB2
