kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.003,0.87,0.867,District,district,RBC
1 - average_daily_renewable_share_grid,1.003,0.87,0.867,District,district,RBC
1 - load_factor,0.99,0.603,0.609,District,district,RBC
average_daily_peak,0.992,11.491,11.59,District,district,RBC
cost,1.017,5508.536,5420.317,District,district,RBC
electricity_consumption,1.017,9949.49,9783.932,District,district,RBC
ramping,1.053,13334.129,12666.91,District,district,RBC
electricity_consumption,1.014,10726.713,10583.337,Building_1,building,RBC
cost,1.013,5942.144,5864.761,Building_1,building,RBC
electricity_consumption,1.023,7334.176,7170.421,Building_3,building,RBC
cost,1.021,4203.984,4117.277,Building_3,building,RBC
electricity_consumption,1.017,10972.607,10793.167,Building_4,building,RBC
cost,1.016,6121.06,6024.069,Building_4,building,RBC
electricity_consumption,1.021,10608.032,10387.999,Building_6,building,RBC
cost,1.02,5836.305,5722.894,Building_6,building,RBC
electricity_consumption,1.016,8979.841,8836.302,Building_8,building,RBC
cost,1.016,4975.14,4897.629,Building_8,building,RBC
electricity_consumption,1.013,11075.57,10932.364,Building_13,building,RBC
cost,1.013,5972.58,5895.274,Building_13,building,RBC
1 - average_daily_renewable_share,1.005,0.871,0.867,District,district,SAC
1 - average_daily_renewable_share_grid,1.005,0.871,0.867,District,district,SAC
1 - load_factor,1.005,0.613,0.609,District,district,SAC
average_daily_peak,1.018,11.797,11.59,District,district,SAC
cost,1.021,5536.753,5420.317,District,district,SAC
electricity_consumption,1.028,10064.112,9783.932,District,district,SAC
ramping,1.113,14100.006,12666.91,District,district,SAC
electricity_consumption,1.033,10937.476,10583.337,Building_1,building,SAC
cost,1.026,6016.414,5864.761,Building_1,building,SAC
electricity_consumption,1.019,7303.426,7170.421,Building_3,building,SAC
cost,1.013,4171.472,4117.277,Building_3,building,SAC
electricity_consumption,1.03,11120.227,10793.167,Building_4,building,SAC
cost,1.025,6172.78,6024.069,Building_4,building,SAC
electricity_consumption,1.038,10784.875,10387.999,Building_6,building,SAC
cost,1.027,5878.91,5722.894,Building_6,building,SAC
electricity_consumption,1.021,9024.923,8836.302,Building_8,building,SAC
cost,1.015,4973.176,4897.629,Building_8,building,SAC
electricity_consumption,1.026,11213.748,10932.364,Building_13,building,SAC
cost,1.019,6007.767,5895.274,Building_13,building,SAC
1 - average_daily_renewable_share,1.005,0.871,0.867,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,1.005,0.871,0.867,District,district,SAC_DB2
1 - load_factor,1.009,0.615,0.609,District,district,SAC_DB2
average_daily_peak,1.021,11.832,11.59,District,district,SAC_DB2
cost,1.019,5525.057,5420.317,District,district,SAC_DB2
electricity_consumption,1.027,10053.263,9783.932,District,district,SAC_DB2
ramping,1.117,14152.997,12666.91,District,district,SAC_DB2
electricity_consumption,1.035,10957.75,10583.337,Building_1,building,SAC_DB2
cost,1.027,6021.508,5864.761,Building_1,building,SAC_DB2
electricity_consumption,1.009,7237.941,7170.421,Building_3,building,SAC_DB2
cost,1.006,4143.237,4117.277,Building_3,building,SAC_DB2
electricity_consumption,1.027,11084.154,10793.167,Building_4,building,SAC_DB2
cost,1.024,6166.1,6024.069,Building_4,building,SAC_DB2
electricity_consumption,1.039,10788.675,10387.999,Building_6,building,SAC_DB2
cost,1.027,5875.448,5722.894,Building_6,building,SAC_DB2
electricity_consumption,1.028,9087.784,8836.302,Building_8,building,SAC_DB2
cost,1.019,4988.288,4897.629,Building_8,building,SAC_DB2
electricity_consumption,1.021,11163.276,10932.364,Building_13,building,SAC_DB2
cost,1.01,5955.759,5895.274,Building_13,building,SAC_DB2
