kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.0,0.645,0.645,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.982,0.869,0.885,District,district,SAC_DB2
1 - load_factor,0.979,0.839,0.857,District,district,SAC_DB2
1 - used_pv_of_total_share,0.789,0.115,0.144,District,district,SAC_DB2
average_daily_peak,0.917,9.884,10.782,District,district,SAC_DB2
carbon_emissions,0.964,3294.505,3412.055,District,district,SAC_DB2
cost,0.96,3527.14,3670.012,District,district,SAC_DB2
electricity_consumption,0.965,6455.259,6683.189,District,district,SAC_DB2
ramping,0.976,21058.496,21583.846,District,district,SAC_DB2
electricity_consumption,0.959,4343.017,4528.42,Building_3,building,SAC_DB2
carbon_emissions,0.958,2235.794,2332.712,Building_3,building,SAC_DB2
cost,0.952,2460.842,2584.57,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.801,0.139,0.173,Building_3,building,SAC_DB2
electricity_consumption,0.963,5445.839,5652.286,Building_5,building,SAC_DB2
carbon_emissions,0.963,2775.323,2881.739,Building_5,building,SAC_DB2
cost,0.959,2946.224,3071.658,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,0.756,0.092,0.122,Building_5,building,SAC_DB2
electricity_consumption,0.996,5516.241,5540.207,Building_7,building,SAC_DB2
carbon_emissions,0.995,2795.97,2810.394,Building_7,building,SAC_DB2
cost,0.989,2907.041,2939.918,Building_7,building,SAC_DB2
1 - used_pv_of_total_share,0.86,0.186,0.216,Building_7,building,SAC_DB2
electricity_consumption,0.937,5622.553,5997.7,Building_8,building,SAC_DB2
carbon_emissions,0.937,2871.97,3064.868,Building_8,building,SAC_DB2
cost,0.933,3075.043,3296.626,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,0.752,0.113,0.151,Building_8,building,SAC_DB2
electricity_consumption,0.954,7284.801,7635.149,Building_11,building,SAC_DB2
carbon_emissions,0.954,3723.606,3901.761,Building_11,building,SAC_DB2
cost,0.952,4006.449,4206.557,Building_11,building,SAC_DB2
1 - used_pv_of_total_share,0.795,0.06,0.076,Building_11,building,SAC_DB2
electricity_consumption,0.979,10519.103,10745.375,Building_17,building,SAC_DB2
carbon_emissions,0.979,5364.367,5480.857,Building_17,building,SAC_DB2
cost,0.974,5767.237,5920.74,Building_17,building,SAC_DB2
1 - used_pv_of_total_share,0.769,0.097,0.127,Building_17,building,SAC_DB2
