kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.996,0.642,0.645,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.981,0.868,0.885,District,district,SAC_DB2
1 - load_factor,0.982,0.842,0.857,District,district,SAC_DB2
1 - used_pv_of_total_share,0.773,0.113,0.144,District,district,SAC_DB2
average_daily_peak,0.909,9.799,10.782,District,district,SAC_DB2
carbon_emissions,0.952,3258.101,3412.055,District,district,SAC_DB2
cost,0.948,3487.476,3670.012,District,district,SAC_DB2
electricity_consumption,0.952,6384.041,6683.189,District,district,SAC_DB2
fossil_energy_consumption,0.949,35565.116,37460.062,District,district,SAC_DB2
ramping,0.978,21111.167,21583.846,District,district,SAC_DB2
electricity_consumption,0.931,4217.219,4528.42,Building_3,building,SAC_DB2
carbon_emissions,0.932,2175.053,2332.712,Building_3,building,SAC_DB2
cost,0.933,2411.813,2584.57,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.816,0.141,0.173,Building_3,building,SAC_DB2
electricity_consumption,0.965,5456.297,5652.286,Building_5,building,SAC_DB2
carbon_emissions,0.966,2782.407,2881.739,Building_5,building,SAC_DB2
cost,0.964,2960.055,3071.658,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,0.772,0.094,0.122,Building_5,building,SAC_DB2
electricity_consumption,0.958,5309.67,5540.207,Building_7,building,SAC_DB2
carbon_emissions,0.958,2692.386,2810.394,Building_7,building,SAC_DB2
cost,0.953,2802.987,2939.918,Building_7,building,SAC_DB2
1 - used_pv_of_total_share,0.831,0.18,0.216,Building_7,building,SAC_DB2
electricity_consumption,0.935,5607.445,5997.7,Building_8,building,SAC_DB2
carbon_emissions,0.934,2863.306,3064.868,Building_8,building,SAC_DB2
cost,0.929,3062.091,3296.626,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,0.771,0.116,0.151,Building_8,building,SAC_DB2
electricity_consumption,0.95,7254.34,7635.149,Building_11,building,SAC_DB2
carbon_emissions,0.95,3705.91,3901.761,Building_11,building,SAC_DB2
cost,0.945,3976.508,4206.557,Building_11,building,SAC_DB2
1 - used_pv_of_total_share,0.705,0.054,0.076,Building_11,building,SAC_DB2
electricity_consumption,0.973,10459.276,10745.375,Building_17,building,SAC_DB2
carbon_emissions,0.972,5329.544,5480.857,Building_17,building,SAC_DB2
cost,0.965,5711.401,5920.74,Building_17,building,SAC_DB2
1 - used_pv_of_total_share,0.74,0.094,0.127,Building_17,building,SAC_DB2
1 - average_daily_renewable_share,0.98,0.632,0.645,District,district,SAC_DB2 Best
1 - average_daily_renewable_share_grid,0.97,0.858,0.885,District,district,SAC_DB2 Best
1 - load_factor,0.979,0.839,0.857,District,district,SAC_DB2 Best
1 - used_pv_of_total_share,0.757,0.11,0.144,District,district,SAC_DB2 Best
average_daily_peak,0.902,9.723,10.782,District,district,SAC_DB2 Best
carbon_emissions,0.929,3180.01,3412.055,District,district,SAC_DB2 Best
cost,0.928,3416.364,3670.012,District,district,SAC_DB2 Best
electricity_consumption,0.928,6226.307,6683.189,District,district,SAC_DB2 Best
fossil_energy_consumption,0.925,34656.171,37460.062,District,district,SAC_DB2 Best
ramping,0.965,20826.52,21583.846,District,district,SAC_DB2 Best
electricity_consumption,0.899,4071.793,4528.42,Building_3,building,SAC_DB2 Best
carbon_emissions,0.901,2101.384,2332.712,Building_3,building,SAC_DB2 Best
cost,0.904,2337.477,2584.57,Building_3,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.791,0.137,0.173,Building_3,building,SAC_DB2 Best
electricity_consumption,0.936,5292.656,5652.286,Building_5,building,SAC_DB2 Best
carbon_emissions,0.937,2699.806,2881.739,Building_5,building,SAC_DB2 Best
cost,0.937,2878.301,3071.658,Building_5,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.743,0.091,0.122,Building_5,building,SAC_DB2 Best
electricity_consumption,0.932,5162.26,5540.207,Building_7,building,SAC_DB2 Best
carbon_emissions,0.931,2616.979,2810.394,Building_7,building,SAC_DB2 Best
cost,0.926,2723.552,2939.918,Building_7,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.786,0.17,0.216,Building_7,building,SAC_DB2 Best
electricity_consumption,0.925,5550.78,5997.7,Building_8,building,SAC_DB2 Best
carbon_emissions,0.925,2836.403,3064.868,Building_8,building,SAC_DB2 Best
cost,0.922,3039.822,3296.626,Building_8,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.776,0.117,0.151,Building_8,building,SAC_DB2 Best
electricity_consumption,0.927,7077.023,7635.149,Building_11,building,SAC_DB2 Best
carbon_emissions,0.927,3618.829,3901.761,Building_11,building,SAC_DB2 Best
cost,0.927,3898.686,4206.557,Building_11,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.713,0.054,0.076,Building_11,building,SAC_DB2 Best
electricity_consumption,0.95,10203.332,10745.375,Building_17,building,SAC_DB2 Best
carbon_emissions,0.95,5206.66,5480.857,Building_17,building,SAC_DB2 Best
cost,0.949,5620.348,5920.74,Building_17,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.734,0.093,0.127,Building_17,building,SAC_DB2 Best
