kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.014,0.654,0.645,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,1.0,0.885,0.885,District,district,SAC_DB2
1 - load_factor,0.992,0.85,0.857,District,district,SAC_DB2
1 - used_pv_of_total_share,0.971,0.142,0.144,District,district,SAC_DB2
average_daily_peak,1.012,10.911,10.782,District,district,SAC_DB2
carbon_emissions,1.03,3514.904,3412.055,District,district,SAC_DB2
cost,1.028,3778.684,3670.012,District,district,SAC_DB2
electricity_consumption,1.031,6884.707,6683.189,District,district,SAC_DB2
fossil_energy_consumption,1.031,38633.697,37460.062,District,district,SAC_DB2
ramping,1.056,22783.238,21583.846,District,district,SAC_DB2
electricity_consumption,1.14,5162.454,4528.42,Building_3,building,SAC_DB2
carbon_emissions,1.135,2647.883,2332.712,Building_3,building,SAC_DB2
cost,1.12,2893.682,2584.57,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,1.104,0.191,0.173,Building_3,building,SAC_DB2
electricity_consumption,0.979,5533.289,5652.286,Building_5,building,SAC_DB2
carbon_emissions,0.978,2819.046,2881.739,Building_5,building,SAC_DB2
cost,0.975,2994.905,3071.658,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,0.903,0.11,0.122,Building_5,building,SAC_DB2
electricity_consumption,1.013,5611.745,5540.207,Building_7,building,SAC_DB2
carbon_emissions,1.013,2845.997,2810.394,Building_7,building,SAC_DB2
cost,1.012,2973.749,2939.918,Building_7,building,SAC_DB2
1 - used_pv_of_total_share,0.985,0.213,0.216,Building_7,building,SAC_DB2
electricity_consumption,1.005,6027.966,5997.7,Building_8,building,SAC_DB2
carbon_emissions,1.007,3086.874,3064.868,Building_8,building,SAC_DB2
cost,1.014,3343.807,3296.626,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,0.94,0.142,0.151,Building_8,building,SAC_DB2
electricity_consumption,0.972,7420.383,7635.149,Building_11,building,SAC_DB2
carbon_emissions,0.972,3793.453,3901.761,Building_11,building,SAC_DB2
cost,0.973,4094.391,4206.557,Building_11,building,SAC_DB2
1 - used_pv_of_total_share,0.871,0.066,0.076,Building_11,building,SAC_DB2
electricity_consumption,1.075,11552.403,10745.375,Building_17,building,SAC_DB2
carbon_emissions,1.076,5896.17,5480.857,Building_17,building,SAC_DB2
cost,1.076,6371.57,5920.74,Building_17,building,SAC_DB2
1 - used_pv_of_total_share,1.024,0.13,0.127,Building_17,building,SAC_DB2
1 - average_daily_renewable_share,1.01,0.651,0.645,District,district,SAC_DB2 Best
1 - average_daily_renewable_share_grid,1.0,0.885,0.885,District,district,SAC_DB2 Best
1 - load_factor,0.989,0.847,0.857,District,district,SAC_DB2 Best
1 - used_pv_of_total_share,0.933,0.133,0.144,District,district,SAC_DB2 Best
average_daily_peak,0.955,10.3,10.782,District,district,SAC_DB2 Best
carbon_emissions,1.002,3420.475,3412.055,District,district,SAC_DB2 Best
cost,1.002,3677.861,3670.012,District,district,SAC_DB2 Best
electricity_consumption,1.002,6699.138,6683.189,District,district,SAC_DB2 Best
fossil_energy_consumption,1.001,37510.438,37460.062,District,district,SAC_DB2 Best
ramping,0.999,21554.282,21583.846,District,district,SAC_DB2 Best
electricity_consumption,0.971,4396.828,4528.42,Building_3,building,SAC_DB2 Best
carbon_emissions,0.972,2266.291,2332.712,Building_3,building,SAC_DB2 Best
cost,0.969,2504.533,2584.57,Building_3,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.775,0.134,0.173,Building_3,building,SAC_DB2 Best
electricity_consumption,1.0,5652.286,5652.286,Building_5,building,SAC_DB2 Best
carbon_emissions,1.0,2881.739,2881.739,Building_5,building,SAC_DB2 Best
cost,1.0,3071.658,3071.658,Building_5,building,SAC_DB2 Best
1 - used_pv_of_total_share,1.0,0.122,0.122,Building_5,building,SAC_DB2 Best
electricity_consumption,1.027,5688.373,5540.207,Building_7,building,SAC_DB2 Best
carbon_emissions,1.028,2888.384,2810.394,Building_7,building,SAC_DB2 Best
cost,1.03,3026.782,2939.918,Building_7,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.908,0.197,0.216,Building_7,building,SAC_DB2 Best
electricity_consumption,1.014,6079.357,5997.7,Building_8,building,SAC_DB2 Best
carbon_emissions,1.013,3103.62,3064.868,Building_8,building,SAC_DB2 Best
cost,1.009,3325.18,3296.626,Building_8,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.986,0.149,0.151,Building_8,building,SAC_DB2 Best
electricity_consumption,1.0,7632.611,7635.149,Building_11,building,SAC_DB2 Best
carbon_emissions,1.0,3901.962,3901.761,Building_11,building,SAC_DB2 Best
cost,1.003,4218.271,4206.557,Building_11,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.927,0.071,0.076,Building_11,building,SAC_DB2 Best
electricity_consumption,1.0,10745.375,10745.375,Building_17,building,SAC_DB2 Best
carbon_emissions,1.0,5480.857,5480.857,Building_17,building,SAC_DB2 Best
cost,1.0,5920.74,5920.74,Building_17,building,SAC_DB2 Best
1 - used_pv_of_total_share,1.0,0.127,0.127,Building_17,building,SAC_DB2 Best
