kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.995,0.642,0.645,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.979,0.867,0.885,District,district,SAC_DB2
1 - load_factor,0.982,0.841,0.857,District,district,SAC_DB2
1 - used_pv_of_total_share,0.786,0.115,0.144,District,district,SAC_DB2
average_daily_peak,0.914,9.853,10.782,District,district,SAC_DB2
carbon_emissions,0.952,3260.717,3412.055,District,district,SAC_DB2
cost,0.95,3498.195,3670.012,District,district,SAC_DB2
electricity_consumption,0.952,6386.269,6683.189,District,district,SAC_DB2
fossil_energy_consumption,0.95,35584.83,37460.062,District,district,SAC_DB2
ramping,0.966,20860.529,21583.846,District,district,SAC_DB2
electricity_consumption,0.934,4230.974,4528.42,Building_3,building,SAC_DB2
carbon_emissions,0.935,2180.042,2332.712,Building_3,building,SAC_DB2
cost,0.932,2409.359,2584.57,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.822,0.142,0.173,Building_3,building,SAC_DB2
electricity_consumption,0.956,5402.161,5652.286,Building_5,building,SAC_DB2
carbon_emissions,0.956,2756.046,2881.739,Building_5,building,SAC_DB2
cost,0.956,2937.424,3071.658,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,0.765,0.093,0.122,Building_5,building,SAC_DB2
electricity_consumption,0.973,5389.557,5540.207,Building_7,building,SAC_DB2
carbon_emissions,0.972,2732.645,2810.394,Building_7,building,SAC_DB2
cost,0.968,2845.874,2939.918,Building_7,building,SAC_DB2
1 - used_pv_of_total_share,0.841,0.182,0.216,Building_7,building,SAC_DB2
electricity_consumption,0.931,5581.332,5997.7,Building_8,building,SAC_DB2
carbon_emissions,0.93,2851.755,3064.868,Building_8,building,SAC_DB2
cost,0.927,3056.488,3296.626,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,0.799,0.12,0.151,Building_8,building,SAC_DB2
electricity_consumption,0.938,7158.891,7635.149,Building_11,building,SAC_DB2
carbon_emissions,0.938,3658.35,3901.761,Building_11,building,SAC_DB2
cost,0.935,3935.133,4206.557,Building_11,building,SAC_DB2
1 - used_pv_of_total_share,0.696,0.053,0.076,Building_11,building,SAC_DB2
electricity_consumption,0.982,10554.699,10745.375,Building_17,building,SAC_DB2
carbon_emissions,0.983,5385.462,5480.857,Building_17,building,SAC_DB2
cost,0.98,5804.894,5920.74,Building_17,building,SAC_DB2
1 - used_pv_of_total_share,0.79,0.1,0.127,Building_17,building,SAC_DB2
1 - average_daily_renewable_share,0.98,0.631,0.645,District,district,SAC_DB2 Best
1 - average_daily_renewable_share_grid,0.972,0.86,0.885,District,district,SAC_DB2 Best
1 - load_factor,0.979,0.839,0.857,District,district,SAC_DB2 Best
1 - used_pv_of_total_share,0.781,0.113,0.144,District,district,SAC_DB2 Best
average_daily_peak,0.901,9.717,10.782,District,district,SAC_DB2 Best
carbon_emissions,0.932,3193.605,3412.055,District,district,SAC_DB2 Best
cost,0.931,3432.544,3670.012,District,district,SAC_DB2 Best
electricity_consumption,0.932,6252.148,6683.189,District,district,SAC_DB2 Best
fossil_energy_consumption,0.929,34816.316,37460.062,District,district,SAC_DB2 Best
ramping,0.959,20693.363,21583.846,District,district,SAC_DB2 Best
electricity_consumption,0.908,4111.536,4528.42,Building_3,building,SAC_DB2 Best
carbon_emissions,0.909,2120.096,2332.712,Building_3,building,SAC_DB2 Best
cost,0.909,2350.445,2584.57,Building_3,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.759,0.131,0.173,Building_3,building,SAC_DB2 Best
electricity_consumption,0.938,5301.976,5652.286,Building_5,building,SAC_DB2 Best
carbon_emissions,0.939,2705.557,2881.739,Building_5,building,SAC_DB2 Best
cost,0.94,2887.005,3071.658,Building_5,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.772,0.094,0.122,Building_5,building,SAC_DB2 Best
electricity_consumption,0.931,5159.287,5540.207,Building_7,building,SAC_DB2 Best
carbon_emissions,0.931,2616.046,2810.394,Building_7,building,SAC_DB2 Best
cost,0.927,2725.022,2939.918,Building_7,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.811,0.175,0.216,Building_7,building,SAC_DB2 Best
electricity_consumption,0.919,5510.194,5997.7,Building_8,building,SAC_DB2 Best
carbon_emissions,0.919,2816.81,3064.868,Building_8,building,SAC_DB2 Best
cost,0.917,3023.589,3296.626,Building_8,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.79,0.119,0.151,Building_8,building,SAC_DB2 Best
electricity_consumption,0.937,7150.897,7635.149,Building_11,building,SAC_DB2 Best
carbon_emissions,0.938,3657.968,3901.761,Building_11,building,SAC_DB2 Best
cost,0.938,3946.836,4206.557,Building_11,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.753,0.057,0.076,Building_11,building,SAC_DB2 Best
electricity_consumption,0.957,10278.997,10745.375,Building_17,building,SAC_DB2 Best
carbon_emissions,0.957,5245.152,5480.857,Building_17,building,SAC_DB2 Best
cost,0.956,5662.369,5920.74,Building_17,building,SAC_DB2 Best
1 - used_pv_of_total_share,0.799,0.101,0.127,Building_17,building,SAC_DB2 Best
