kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.993,0.64,0.645,District,district,SAC
1 - average_daily_renewable_share_grid,0.981,0.869,0.885,District,district,SAC
1 - load_factor,0.979,0.839,0.857,District,district,SAC
1 - used_pv_of_total_share,0.778,0.114,0.144,District,district,SAC
average_daily_peak,0.905,9.76,10.782,District,district,SAC
carbon_emissions,0.948,3245.183,3412.055,District,district,SAC
cost,0.944,3473.192,3670.012,District,district,SAC
electricity_consumption,0.949,6360.162,6683.189,District,district,SAC
ramping,0.97,20931.853,21583.846,District,district,SAC
electricity_consumption,0.931,4216.193,4528.42,Building_3,building,SAC
carbon_emissions,0.931,2170.979,2332.712,Building_3,building,SAC
cost,0.927,2395.308,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.832,0.144,0.173,Building_3,building,SAC
electricity_consumption,0.956,5405.207,5652.286,Building_5,building,SAC
carbon_emissions,0.956,2754.132,2881.739,Building_5,building,SAC
cost,0.952,2924.769,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.77,0.094,0.122,Building_5,building,SAC
electricity_consumption,0.966,5352.486,5540.207,Building_7,building,SAC
carbon_emissions,0.965,2710.822,2810.394,Building_7,building,SAC
cost,0.956,2811.909,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.85,0.184,0.216,Building_7,building,SAC
electricity_consumption,0.919,5509.025,5997.7,Building_8,building,SAC
carbon_emissions,0.918,2814.513,3064.868,Building_8,building,SAC
cost,0.915,3017.315,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.73,0.11,0.151,Building_8,building,SAC
electricity_consumption,0.949,7242.081,7635.149,Building_11,building,SAC
carbon_emissions,0.949,3700.953,3901.761,Building_11,building,SAC
cost,0.945,3977.139,4206.557,Building_11,building,SAC
1 - used_pv_of_total_share,0.751,0.057,0.076,Building_11,building,SAC
electricity_consumption,0.971,10435.979,10745.375,Building_17,building,SAC
carbon_emissions,0.971,5319.699,5480.857,Building_17,building,SAC
cost,0.965,5712.71,5920.74,Building_17,building,SAC
1 - used_pv_of_total_share,0.736,0.093,0.127,Building_17,building,SAC
1 - average_daily_renewable_share,0.994,0.641,0.645,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.98,0.868,0.885,District,district,SAC_DB2
1 - load_factor,0.983,0.843,0.857,District,district,SAC_DB2
1 - used_pv_of_total_share,0.754,0.11,0.144,District,district,SAC_DB2
average_daily_peak,0.909,9.797,10.782,District,district,SAC_DB2
carbon_emissions,0.951,3250.443,3412.055,District,district,SAC_DB2
cost,0.948,3482.244,3670.012,District,district,SAC_DB2
electricity_consumption,0.951,6368.394,6683.189,District,district,SAC_DB2
ramping,0.968,20898.632,21583.846,District,district,SAC_DB2
electricity_consumption,0.935,4232.677,4528.42,Building_3,building,SAC_DB2
carbon_emissions,0.935,2181.412,2332.712,Building_3,building,SAC_DB2
cost,0.934,2414.132,2584.57,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.787,0.136,0.173,Building_3,building,SAC_DB2
electricity_consumption,0.947,5351.912,5652.286,Building_5,building,SAC_DB2
carbon_emissions,0.947,2728.844,2881.739,Building_5,building,SAC_DB2
cost,0.946,2904.554,3071.658,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,0.73,0.089,0.122,Building_5,building,SAC_DB2
electricity_consumption,0.98,5430.06,5540.207,Building_7,building,SAC_DB2
carbon_emissions,0.979,2752.537,2810.394,Building_7,building,SAC_DB2
cost,0.974,2862.923,2939.918,Building_7,building,SAC_DB2
1 - used_pv_of_total_share,0.825,0.178,0.216,Building_7,building,SAC_DB2
electricity_consumption,0.939,5629.47,5997.7,Building_8,building,SAC_DB2
carbon_emissions,0.938,2874.877,3064.868,Building_8,building,SAC_DB2
cost,0.933,3076.607,3296.626,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,0.768,0.116,0.151,Building_8,building,SAC_DB2
electricity_consumption,0.943,7198.692,7635.149,Building_11,building,SAC_DB2
carbon_emissions,0.943,3679.172,3901.761,Building_11,building,SAC_DB2
cost,0.941,3957.364,4206.557,Building_11,building,SAC_DB2
1 - used_pv_of_total_share,0.732,0.056,0.076,Building_11,building,SAC_DB2
electricity_consumption,0.965,10367.552,10745.375,Building_17,building,SAC_DB2
carbon_emissions,0.964,5285.815,5480.857,Building_17,building,SAC_DB2
cost,0.959,5677.882,5920.74,Building_17,building,SAC_DB2
1 - used_pv_of_total_share,0.682,0.086,0.127,Building_17,building,SAC_DB2
