kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3867.753,3653.428,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39925.815,37461.364,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2807.561,2573.812,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3269.959,3057.456,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3184.759,2926.063,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3497.941,3282.401,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4356.982,4187.857,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6089.315,5892.977,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.0,0.645,0.645,District,district,PRB_SAC
1 - average_daily_renewable_share_grid,0.991,0.877,0.885,District,district,PRB_SAC
1 - load_factor,0.99,0.848,0.857,District,district,PRB_SAC
1 - used_pv_of_total_share,0.895,0.13,0.144,District,district,PRB_SAC
average_daily_peak,0.991,10.683,10.782,District,district,PRB_SAC
carbon_emissions,0.992,3376.983,3412.055,District,district,PRB_SAC
cost,0.988,3601.138,3653.428,District,district,PRB_SAC
electricity_consumption,0.992,6619.279,6683.189,District,district,PRB_SAC
fossil_energy_consumption,0.989,37039.926,37461.364,District,district,PRB_SAC
ramping,0.997,21512.444,21583.846,District,district,PRB_SAC
electricity_consumption,0.974,4412.079,4528.42,Building_3,building,PRB_SAC
carbon_emissions,0.974,2273.11,2332.712,Building_3,building,PRB_SAC
cost,0.974,2505.8,2573.812,Building_3,building,PRB_SAC
1 - used_pv_of_total_share,0.896,0.155,0.173,Building_3,building,PRB_SAC
electricity_consumption,0.993,5614.726,5652.286,Building_5,building,PRB_SAC
carbon_emissions,0.993,2862.414,2881.739,Building_5,building,PRB_SAC
cost,0.993,3034.808,3057.456,Building_5,building,PRB_SAC
1 - used_pv_of_total_share,0.927,0.113,0.122,Building_5,building,PRB_SAC
electricity_consumption,1.048,5807.165,5540.207,Building_7,building,PRB_SAC
carbon_emissions,1.046,2940.177,2810.394,Building_7,building,PRB_SAC
cost,1.037,3034.972,2926.063,Building_7,building,PRB_SAC
1 - used_pv_of_total_share,0.95,0.206,0.216,Building_7,building,PRB_SAC
electricity_consumption,0.989,5930.21,5997.7,Building_8,building,PRB_SAC
carbon_emissions,0.987,3024.054,3064.868,Building_8,building,PRB_SAC
cost,0.978,3208.877,3282.401,Building_8,building,PRB_SAC
1 - used_pv_of_total_share,0.883,0.133,0.151,Building_8,building,PRB_SAC
electricity_consumption,0.965,7371.082,7635.149,Building_11,building,PRB_SAC
carbon_emissions,0.965,3766.269,3901.761,Building_11,building,PRB_SAC
cost,0.963,4034.363,4187.857,Building_11,building,PRB_SAC
1 - used_pv_of_total_share,0.857,0.065,0.076,Building_11,building,PRB_SAC
electricity_consumption,0.985,10580.415,10745.375,Building_17,building,PRB_SAC
carbon_emissions,0.984,5395.871,5480.857,Building_17,building,PRB_SAC
cost,0.982,5788.009,5892.977,Building_17,building,PRB_SAC
1 - used_pv_of_total_share,0.856,0.108,0.127,Building_17,building,PRB_SAC
