kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.044,1101.699,1060.211,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.068,759.84,711.723,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.046,927.027,886.36,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.062,939.942,885.24,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.045,976.432,934.55,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.023,1233.015,1205.603,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.021,1773.941,1737.79,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.993,0.64,0.645,District,district,SAC
1 - average_daily_renewable_share_grid,0.978,0.865,0.885,District,district,SAC
1 - load_factor,0.979,0.839,0.857,District,district,SAC
1 - used_pv_of_total_share,0.771,0.113,0.144,District,district,SAC
average_daily_peak,0.903,9.738,10.782,District,district,SAC
carbon_emissions,0.946,1004.819,1060.211,District,district,SAC
cost,0.947,3479.165,3670.012,District,district,SAC
electricity_consumption,0.949,6353.192,6683.189,District,district,SAC
ramping,0.967,20864.68,21583.846,District,district,SAC
electricity_consumption,0.936,4237.358,4528.42,Building_3,building,SAC
carbon_emissions,0.934,664.435,711.723,Building_3,building,SAC
cost,0.938,2424.101,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.818,0.142,0.173,Building_3,building,SAC
electricity_consumption,0.955,5398.58,5652.286,Building_5,building,SAC
carbon_emissions,0.955,846.226,886.36,Building_5,building,SAC
cost,0.955,2933.247,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.761,0.093,0.122,Building_5,building,SAC
electricity_consumption,0.97,5371.942,5540.207,Building_7,building,SAC
carbon_emissions,0.965,854.334,885.24,Building_7,building,SAC
cost,0.963,2829.946,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.826,0.179,0.216,Building_7,building,SAC
electricity_consumption,0.931,5581.999,5997.7,Building_8,building,SAC
carbon_emissions,0.928,867.213,934.55,Building_8,building,SAC
cost,0.927,3057.367,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.769,0.116,0.151,Building_8,building,SAC
electricity_consumption,0.936,7143.803,7635.149,Building_11,building,SAC
carbon_emissions,0.931,1122.182,1205.603,Building_11,building,SAC
cost,0.935,3934.888,4206.557,Building_11,building,SAC
1 - used_pv_of_total_share,0.712,0.054,0.076,Building_11,building,SAC
electricity_consumption,0.967,10385.468,10745.375,Building_17,building,SAC
carbon_emissions,0.964,1674.522,1737.79,Building_17,building,SAC
cost,0.962,5695.444,5920.74,Building_17,building,SAC
1 - used_pv_of_total_share,0.74,0.094,0.127,Building_17,building,SAC
1 - average_daily_renewable_share,0.996,0.642,0.645,District,district,PRB_SAC
1 - average_daily_renewable_share_grid,0.987,0.874,0.885,District,district,PRB_SAC
1 - load_factor,0.983,0.842,0.857,District,district,PRB_SAC
1 - used_pv_of_total_share,0.823,0.118,0.144,District,district,PRB_SAC
average_daily_peak,0.938,10.118,10.782,District,district,PRB_SAC
carbon_emissions,0.963,1021.396,1060.211,District,district,PRB_SAC
cost,0.961,3530.661,3670.012,District,district,PRB_SAC
electricity_consumption,0.966,6456.799,6683.189,District,district,PRB_SAC
ramping,0.971,20955.933,21583.846,District,district,PRB_SAC
electricity_consumption,0.957,4332.929,4528.42,Building_3,building,PRB_SAC
carbon_emissions,0.952,677.529,711.723,Building_3,building,PRB_SAC
cost,0.949,2452.203,2584.57,Building_3,building,PRB_SAC
1 - used_pv_of_total_share,0.789,0.137,0.173,Building_3,building,PRB_SAC
electricity_consumption,0.979,5532.64,5652.286,Building_5,building,PRB_SAC
carbon_emissions,0.977,866.203,886.36,Building_5,building,PRB_SAC
cost,0.978,3003.902,3071.658,Building_5,building,PRB_SAC
1 - used_pv_of_total_share,0.863,0.105,0.122,Building_5,building,PRB_SAC
electricity_consumption,0.97,5372.527,5540.207,Building_7,building,PRB_SAC
carbon_emissions,0.964,853.261,885.24,Building_7,building,PRB_SAC
cost,0.959,2820.579,2939.918,Building_7,building,PRB_SAC
1 - used_pv_of_total_share,0.806,0.174,0.216,Building_7,building,PRB_SAC
electricity_consumption,0.954,5723.882,5997.7,Building_8,building,PRB_SAC
carbon_emissions,0.951,889.125,934.55,Building_8,building,PRB_SAC
cost,0.949,3128.031,3296.626,Building_8,building,PRB_SAC
1 - used_pv_of_total_share,0.825,0.124,0.151,Building_8,building,PRB_SAC
electricity_consumption,0.97,7405.536,7635.149,Building_11,building,PRB_SAC
carbon_emissions,0.967,1166.267,1205.603,Building_11,building,PRB_SAC
cost,0.971,4086.607,4206.557,Building_11,building,PRB_SAC
1 - used_pv_of_total_share,0.885,0.067,0.076,Building_11,building,PRB_SAC
electricity_consumption,0.965,10373.276,10745.375,Building_17,building,PRB_SAC
carbon_emissions,0.964,1675.99,1737.79,Building_17,building,PRB_SAC
cost,0.961,5692.644,5920.74,Building_17,building,PRB_SAC
1 - used_pv_of_total_share,0.771,0.098,0.127,Building_17,building,PRB_SAC
