kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.044,1101.699,1060.211,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.068,759.84,711.723,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.046,927.027,886.36,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.062,939.942,885.24,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.045,976.432,934.55,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.023,1233.015,1205.603,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.021,1773.941,1737.79,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,0.992,0.639,0.645,District,district,SAC
1 - average_daily_renewable_share_grid,0.978,0.865,0.885,District,district,SAC
1 - load_factor,0.978,0.838,0.857,District,district,SAC
1 - used_pv_of_total_share,0.764,0.112,0.144,District,district,SAC
average_daily_peak,0.907,9.776,10.782,District,district,SAC
carbon_emissions,0.945,1003.143,1060.211,District,district,SAC
cost,0.945,3469.263,3670.012,District,district,SAC
electricity_consumption,0.948,6343.487,6683.189,District,district,SAC
ramping,0.968,20885.13,21583.846,District,district,SAC
electricity_consumption,0.936,4238.285,4528.42,Building_3,building,SAC
carbon_emissions,0.932,663.171,711.723,Building_3,building,SAC
cost,0.936,2419.996,2584.57,Building_3,building,SAC
1 - used_pv_of_total_share,0.8,0.138,0.173,Building_3,building,SAC
electricity_consumption,0.951,5376.645,5652.286,Building_5,building,SAC
carbon_emissions,0.95,842.34,886.36,Building_5,building,SAC
cost,0.951,2921.588,3071.658,Building_5,building,SAC
1 - used_pv_of_total_share,0.769,0.094,0.122,Building_5,building,SAC
electricity_consumption,0.961,5322.673,5540.207,Building_7,building,SAC
carbon_emissions,0.954,844.493,885.24,Building_7,building,SAC
cost,0.952,2798.92,2939.918,Building_7,building,SAC
1 - used_pv_of_total_share,0.852,0.184,0.216,Building_7,building,SAC
electricity_consumption,0.945,5670.407,5997.7,Building_8,building,SAC
carbon_emissions,0.943,881.171,934.55,Building_8,building,SAC
cost,0.94,3099.38,3296.626,Building_8,building,SAC
1 - used_pv_of_total_share,0.752,0.113,0.151,Building_8,building,SAC
electricity_consumption,0.943,7196.77,7635.149,Building_11,building,SAC
carbon_emissions,0.94,1133.218,1205.603,Building_11,building,SAC
cost,0.941,3959.156,4206.557,Building_11,building,SAC
1 - used_pv_of_total_share,0.73,0.056,0.076,Building_11,building,SAC
electricity_consumption,0.954,10256.139,10745.375,Building_17,building,SAC
carbon_emissions,0.952,1654.466,1737.79,Building_17,building,SAC
cost,0.949,5616.537,5920.74,Building_17,building,SAC
1 - used_pv_of_total_share,0.68,0.086,0.127,Building_17,building,SAC
1 - average_daily_renewable_share,0.998,0.643,0.645,District,district,SAC_DB2
1 - average_daily_renewable_share_grid,0.983,0.87,0.885,District,district,SAC_DB2
1 - load_factor,0.981,0.84,0.857,District,district,SAC_DB2
1 - used_pv_of_total_share,0.777,0.113,0.144,District,district,SAC_DB2
average_daily_peak,0.922,9.944,10.782,District,district,SAC_DB2
carbon_emissions,0.956,1015.921,1060.211,District,district,SAC_DB2
cost,0.954,3508.761,3670.012,District,district,SAC_DB2
electricity_consumption,0.958,6415.08,6683.189,District,district,SAC_DB2
ramping,0.974,21019.868,21583.846,District,district,SAC_DB2
electricity_consumption,0.945,4281.195,4528.42,Building_3,building,SAC_DB2
carbon_emissions,0.943,670.97,711.723,Building_3,building,SAC_DB2
cost,0.942,2434.205,2584.57,Building_3,building,SAC_DB2
1 - used_pv_of_total_share,0.79,0.137,0.173,Building_3,building,SAC_DB2
electricity_consumption,0.961,5434.516,5652.286,Building_5,building,SAC_DB2
carbon_emissions,0.961,851.959,886.36,Building_5,building,SAC_DB2
cost,0.962,2955.233,3071.658,Building_5,building,SAC_DB2
1 - used_pv_of_total_share,0.752,0.092,0.122,Building_5,building,SAC_DB2
electricity_consumption,0.978,5421.055,5540.207,Building_7,building,SAC_DB2
carbon_emissions,0.974,861.967,885.24,Building_7,building,SAC_DB2
cost,0.968,2846.459,2939.918,Building_7,building,SAC_DB2
1 - used_pv_of_total_share,0.836,0.181,0.216,Building_7,building,SAC_DB2
electricity_consumption,0.938,5626.273,5997.7,Building_8,building,SAC_DB2
carbon_emissions,0.936,875.045,934.55,Building_8,building,SAC_DB2
cost,0.934,3080.263,3296.626,Building_8,building,SAC_DB2
1 - used_pv_of_total_share,0.769,0.116,0.151,Building_8,building,SAC_DB2
electricity_consumption,0.954,7285.108,7635.149,Building_11,building,SAC_DB2
carbon_emissions,0.953,1148.577,1205.603,Building_11,building,SAC_DB2
cost,0.951,4000.498,4206.557,Building_11,building,SAC_DB2
1 - used_pv_of_total_share,0.767,0.058,0.076,Building_11,building,SAC_DB2
electricity_consumption,0.972,10442.331,10745.375,Building_17,building,SAC_DB2
carbon_emissions,0.971,1687.007,1737.79,Building_17,building,SAC_DB2
cost,0.969,5735.908,5920.74,Building_17,building,SAC_DB2
1 - used_pv_of_total_share,0.746,0.094,0.127,Building_17,building,SAC_DB2
