kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.011,0.652,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.993,0.879,0.885,District,district,SAC_DB2Value
1 - load_factor,0.981,0.84,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.89,0.129,0.144,District,district,SAC_DB2Value
average_daily_peak,0.948,10.225,10.782,District,district,SAC_DB2Value
carbon_emissions,0.999,3412.551,3412.055,District,district,SAC_DB2Value
cost,0.993,3645.76,3670.012,District,district,SAC_DB2Value
electricity_consumption,1.0,6690.784,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,0.999,37425.329,37460.062,District,district,SAC_DB2Value
ramping,1.012,21845.737,21583.846,District,district,SAC_DB2Value
electricity_consumption,0.991,4486.688,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,0.99,2309.241,2332.712,Building_3,building,SAC_DB2Value
cost,0.984,2543.653,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.881,0.153,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,0.993,5610.094,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,0.991,2854.988,2881.739,Building_5,building,SAC_DB2Value
cost,0.983,3019.748,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.86,0.105,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,0.995,5512.809,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,0.995,2797.269,2810.394,Building_7,building,SAC_DB2Value
cost,0.995,2924.18,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.88,0.19,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,1.03,6180.202,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,1.029,3154.671,3064.868,Building_8,building,SAC_DB2Value
cost,1.021,3364.436,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.971,0.146,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,0.978,7469.128,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,0.977,3811.73,3901.761,Building_11,building,SAC_DB2Value
cost,0.97,4081.54,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.868,0.066,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.013,10885.785,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.012,5547.407,5480.857,Building_17,building,SAC_DB2Value
cost,1.003,5941.005,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.883,0.112,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.986,0.635,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.978,0.866,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.979,0.839,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.788,0.114,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.896,9.665,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.934,3205.741,3412.055,District,district,SAC_DB2Value Best
cost,0.933,3442.895,3670.012,District,district,SAC_DB2Value Best
electricity_consumption,0.934,6277.113,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.933,34965.877,37460.062,District,district,SAC_DB2Value Best
ramping,0.943,20354.541,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.889,4027.478,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.891,2077.791,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.893,2308.132,2584.57,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.728,0.126,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.958,5415.312,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.958,2761.059,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.956,2936.457,3071.658,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.848,0.103,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.93,5153.566,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.93,2613.893,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.926,2723.647,2939.918,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.781,0.169,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.928,5565.056,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.928,2844.704,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.926,3052.581,3296.626,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.813,0.122,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.931,7111.094,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.932,3635.65,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.931,3915.124,4206.557,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.736,0.056,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.967,10390.175,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.967,5301.35,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.966,5721.429,5920.74,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.822,0.104,0.127,Building_17,building,SAC_DB2Value Best
