kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.049,0.676,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,SAC_DB2Value
1 - load_factor,1.004,0.86,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.815,0.118,0.144,District,district,SAC_DB2Value
average_daily_peak,1.154,12.441,10.782,District,district,SAC_DB2Value
carbon_emissions,1.142,3843.536,3412.055,District,district,SAC_DB2Value
cost,1.133,4103.863,3670.012,District,district,SAC_DB2Value
electricity_consumption,1.143,7535.725,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.133,42448.23,37460.062,District,district,SAC_DB2Value
ramping,1.305,28162.627,21583.846,District,district,SAC_DB2Value
electricity_consumption,1.226,5553.296,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.222,2851.236,2332.712,Building_3,building,SAC_DB2Value
cost,1.202,3106.505,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.855,0.148,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.097,6202.65,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.098,3165.439,2881.739,Building_5,building,SAC_DB2Value
cost,1.1,3379.319,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.784,0.096,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.224,6779.865,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.22,3429.688,2810.394,Building_7,building,SAC_DB2Value
cost,1.205,3541.97,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.832,0.18,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,1.204,7219.595,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,1.203,3688.518,3064.868,Building_8,building,SAC_DB2Value
cost,1.199,3953.275,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.797,0.12,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,1.023,7812.968,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,1.021,3985.496,3901.761,Building_11,building,SAC_DB2Value
cost,1.01,4249.462,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.845,0.064,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.084,11645.976,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.084,5940.838,5480.857,Building_17,building,SAC_DB2Value
cost,1.08,6392.647,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,0.775,0.098,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.986,0.636,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.975,0.863,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.977,0.837,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.76,0.109,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.885,9.543,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.934,3203.6,3412.055,District,district,SAC_DB2Value Best
cost,0.932,3434.993,3670.012,District,district,SAC_DB2Value Best
electricity_consumption,0.934,6275.487,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.932,34931.42,37460.062,District,district,SAC_DB2Value Best
ramping,0.943,20354.512,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.893,4046.048,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.894,2085.286,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.892,2305.293,2584.57,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.72,0.125,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.949,5362.72,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.948,2733.114,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.945,2902.898,3071.658,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.726,0.088,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.938,5196.4,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.938,2634.818,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.933,2744.284,2939.918,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.777,0.168,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.919,5512.395,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.919,2815.904,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.915,3017.62,3296.626,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.769,0.116,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.952,7266.209,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.952,3715.007,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.951,4002.091,4206.557,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.839,0.064,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.956,10269.152,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.956,5237.469,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.952,5637.772,5920.74,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.731,0.093,0.127,Building_17,building,SAC_DB2Value Best
