kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.011,0.652,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,1.0,0.885,0.885,District,district,SAC_DB2Value
1 - load_factor,0.981,0.84,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.969,0.139,0.144,District,district,SAC_DB2Value
average_daily_peak,0.975,10.516,10.782,District,district,SAC_DB2Value
carbon_emissions,1.011,3457.023,3412.055,District,district,SAC_DB2Value
cost,1.004,3691.805,3670.012,District,district,SAC_DB2Value
electricity_consumption,1.012,6780.718,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.015,38016.016,37460.062,District,district,SAC_DB2Value
ramping,1.008,21763.856,21583.846,District,district,SAC_DB2Value
electricity_consumption,0.988,4473.27,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,0.986,2300.905,2332.712,Building_3,building,SAC_DB2Value
cost,0.979,2529.792,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.904,0.157,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.023,5779.783,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.022,2945.344,2881.739,Building_5,building,SAC_DB2Value
cost,1.021,3136.653,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,1.046,0.127,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.015,5621.009,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.013,2846.165,2810.394,Building_7,building,SAC_DB2Value
cost,1.006,2958.869,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.919,0.199,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,1.036,6214.118,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,1.033,3166.885,3064.868,Building_8,building,SAC_DB2Value
cost,1.018,3357.175,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,0.977,0.147,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,0.973,7432.7,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,0.973,3797.494,3901.761,Building_11,building,SAC_DB2Value
cost,0.971,4084.826,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.943,0.072,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.039,11163.425,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.037,5685.346,5480.857,Building_17,building,SAC_DB2Value
cost,1.027,6083.514,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,1.024,0.13,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.991,0.639,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.986,0.872,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.981,0.84,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.802,0.114,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.912,9.837,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.946,3246.271,3412.055,District,district,SAC_DB2Value Best
cost,0.945,3486.233,3670.012,District,district,SAC_DB2Value Best
electricity_consumption,0.945,6356.142,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.946,35455.719,37460.062,District,district,SAC_DB2Value Best
ramping,0.946,20424.445,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.915,4142.177,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.916,2136.91,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.917,2371.07,2584.57,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.807,0.14,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.942,5325.638,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.943,2716.702,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.943,2897.153,3071.658,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.837,0.102,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.938,5197.683,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.938,2636.68,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.935,2748.493,2939.918,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.726,0.157,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.94,5640.675,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.941,2884.395,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.94,3099.728,3296.626,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.803,0.121,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.954,7282.39,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.955,3724.912,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.956,4019.947,4206.557,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.863,0.066,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.982,10548.288,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.981,5378.029,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.976,5781.006,5920.74,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.778,0.099,0.127,Building_17,building,SAC_DB2Value Best
