kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,1.006,0.649,0.645,District,district,RBC
1 - average_daily_renewable_share_grid,1.005,0.89,0.885,District,district,RBC
1 - load_factor,0.99,0.849,0.857,District,district,RBC
1 - used_pv_of_total_share,1.154,0.166,0.144,District,district,RBC
average_daily_peak,0.981,10.581,10.782,District,district,RBC
carbon_emissions,1.067,3619.98,3412.055,District,district,RBC
cost,1.065,3885.378,3670.012,District,district,RBC
electricity_consumption,1.067,7090.072,6683.189,District,district,RBC
fossil_energy_consumption,1.066,39924.514,37460.062,District,district,RBC
ramping,1.036,22365.165,21583.846,District,district,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2819.502,2584.57,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.087,6021.631,5540.207,Building_7,building,RBC
carbon_emissions,1.088,3056.977,2810.394,Building_7,building,RBC
cost,1.088,3199.842,2939.918,Building_7,building,RBC
1 - used_pv_of_total_share,1.087,0.235,0.216,Building_7,building,RBC
electricity_consumption,1.068,6405.353,5997.7,Building_8,building,RBC
carbon_emissions,1.068,3273.388,3064.868,Building_8,building,RBC
cost,1.066,3513.228,3296.626,Building_8,building,RBC
1 - used_pv_of_total_share,1.176,0.177,0.151,Building_8,building,RBC
electricity_consumption,1.042,7956.698,7635.149,Building_11,building,RBC
carbon_emissions,1.042,4066.338,3901.761,Building_11,building,RBC
cost,1.04,4376.478,4206.557,Building_11,building,RBC
1 - used_pv_of_total_share,1.117,0.085,0.076,Building_11,building,RBC
electricity_consumption,1.035,11121.564,10745.375,Building_17,building,RBC
carbon_emissions,1.035,5672.976,5480.857,Building_17,building,RBC
cost,1.033,6118.038,5920.74,Building_17,building,RBC
1 - used_pv_of_total_share,1.166,0.148,0.127,Building_17,building,RBC
1 - average_daily_renewable_share,1.012,0.652,0.645,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.999,0.885,0.885,District,district,SAC_DB2Value
1 - load_factor,0.986,0.845,0.857,District,district,SAC_DB2Value
1 - used_pv_of_total_share,0.991,0.141,0.144,District,district,SAC_DB2Value
average_daily_peak,0.978,10.543,10.782,District,district,SAC_DB2Value
carbon_emissions,1.019,3487.305,3412.055,District,district,SAC_DB2Value
cost,1.012,3724.571,3670.012,District,district,SAC_DB2Value
electricity_consumption,1.021,6840.459,6683.189,District,district,SAC_DB2Value
fossil_energy_consumption,1.024,38368.235,37460.062,District,district,SAC_DB2Value
ramping,1.019,21991.848,21583.846,District,district,SAC_DB2Value
electricity_consumption,1.014,4591.047,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.011,2358.831,2332.712,Building_3,building,SAC_DB2Value
cost,1.0,2584.432,2584.57,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.924,0.16,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,1.019,5757.894,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.017,2931.082,2881.739,Building_5,building,SAC_DB2Value
cost,1.011,3106.642,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.972,0.119,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,1.014,5620.262,5540.207,Building_7,building,SAC_DB2Value
carbon_emissions,1.014,2848.437,2810.394,Building_7,building,SAC_DB2Value
cost,1.01,2969.66,2939.918,Building_7,building,SAC_DB2Value
1 - used_pv_of_total_share,0.899,0.195,0.216,Building_7,building,SAC_DB2Value
electricity_consumption,1.032,6187.569,5997.7,Building_8,building,SAC_DB2Value
carbon_emissions,1.03,3156.702,3064.868,Building_8,building,SAC_DB2Value
cost,1.021,3366.504,3296.626,Building_8,building,SAC_DB2Value
1 - used_pv_of_total_share,1.042,0.157,0.151,Building_8,building,SAC_DB2Value
electricity_consumption,0.991,7566.705,7635.149,Building_11,building,SAC_DB2Value
carbon_emissions,0.99,3863.559,3901.761,Building_11,building,SAC_DB2Value
cost,0.986,4148.256,4206.557,Building_11,building,SAC_DB2Value
1 - used_pv_of_total_share,0.999,0.076,0.076,Building_11,building,SAC_DB2Value
electricity_consumption,1.053,11319.278,10745.375,Building_17,building,SAC_DB2Value
carbon_emissions,1.052,5765.217,5480.857,Building_17,building,SAC_DB2Value
cost,1.042,6171.93,5920.74,Building_17,building,SAC_DB2Value
1 - used_pv_of_total_share,1.111,0.141,0.127,Building_17,building,SAC_DB2Value
1 - average_daily_renewable_share,0.99,0.638,0.645,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.986,0.873,0.885,District,district,SAC_DB2Value Best
1 - load_factor,0.983,0.842,0.857,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,0.822,0.118,0.144,District,district,SAC_DB2Value Best
average_daily_peak,0.919,9.909,10.782,District,district,SAC_DB2Value Best
carbon_emissions,0.946,3246.576,3412.055,District,district,SAC_DB2Value Best
cost,0.945,3486.882,3670.012,District,district,SAC_DB2Value Best
electricity_consumption,0.946,6357.414,6683.189,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.947,35471.535,37460.062,District,district,SAC_DB2Value Best
ramping,0.945,20389.941,21583.846,District,district,SAC_DB2Value Best
electricity_consumption,0.92,4164.614,4528.42,Building_3,building,SAC_DB2Value Best
carbon_emissions,0.92,2147.021,2332.712,Building_3,building,SAC_DB2Value Best
cost,0.92,2376.983,2584.57,Building_3,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.801,0.139,0.173,Building_3,building,SAC_DB2Value Best
electricity_consumption,0.949,5364.572,5652.286,Building_5,building,SAC_DB2Value Best
carbon_emissions,0.95,2737.269,2881.739,Building_5,building,SAC_DB2Value Best
cost,0.951,2922.45,3071.658,Building_5,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.838,0.102,0.122,Building_5,building,SAC_DB2Value Best
electricity_consumption,0.928,5143.602,5540.207,Building_7,building,SAC_DB2Value Best
carbon_emissions,0.928,2607.386,2810.394,Building_7,building,SAC_DB2Value Best
cost,0.924,2715.086,2939.918,Building_7,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.774,0.168,0.216,Building_7,building,SAC_DB2Value Best
electricity_consumption,0.947,5682.126,5997.7,Building_8,building,SAC_DB2Value Best
carbon_emissions,0.948,2906.145,3064.868,Building_8,building,SAC_DB2Value Best
cost,0.949,3127.287,3296.626,Building_8,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.881,0.133,0.151,Building_8,building,SAC_DB2Value Best
electricity_consumption,0.947,7228.883,7635.149,Building_11,building,SAC_DB2Value Best
carbon_emissions,0.948,3697.625,3901.761,Building_11,building,SAC_DB2Value Best
cost,0.949,3990.272,4206.557,Building_11,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.815,0.062,0.076,Building_11,building,SAC_DB2Value Best
electricity_consumption,0.983,10560.687,10745.375,Building_17,building,SAC_DB2Value Best
carbon_emissions,0.982,5384.008,5480.857,Building_17,building,SAC_DB2Value Best
cost,0.978,5789.212,5920.74,Building_17,building,SAC_DB2Value Best
1 - used_pv_of_total_share,0.824,0.104,0.127,Building_17,building,SAC_DB2Value Best
