kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,0.991,0.604,0.609,District,district,RBC
1 - average_daily_renewable_share_grid,0.997,0.834,0.837,District,district,RBC
1 - load_factor,0.994,0.817,0.822,District,district,RBC
1 - used_pv_of_total_share,1.141,0.102,0.089,District,district,RBC
average_daily_peak,1.027,14.233,13.855,District,district,RBC
carbon_emissions,1.045,4612.668,4441.262,District,district,RBC
cost,1.042,4963.961,4788.36,District,district,RBC
electricity_consumption,1.045,9010.842,8675.588,District,district,RBC
fossil_energy_consumption,1.045,48909.457,46808.726,District,district,RBC
ramping,1.042,24966.283,23953.231,District,district,RBC
electricity_consumption,1.036,9191.888,8875.826,Building_1,building,RBC
carbon_emissions,1.036,4705.482,4543.748,Building_1,building,RBC
cost,1.034,5064.691,4898.839,Building_1,building,RBC
1 - used_pv_of_total_share,1.138,0.083,0.073,Building_1,building,RBC
electricity_consumption,1.025,11529.144,11251.981,Building_2,building,RBC
carbon_emissions,1.025,5893.983,5752.045,Building_2,building,RBC
cost,1.024,6313.481,6168.277,Building_2,building,RBC
1 - used_pv_of_total_share,1.119,0.059,0.052,Building_2,building,RBC
electricity_consumption,1.099,4978.403,4528.42,Building_3,building,RBC
carbon_emissions,1.098,2561.917,2332.712,Building_3,building,RBC
cost,1.091,2807.561,2573.812,Building_3,building,RBC
1 - used_pv_of_total_share,1.201,0.208,0.173,Building_3,building,RBC
electricity_consumption,1.038,9353.793,9011.076,Building_4,building,RBC
carbon_emissions,1.038,4784.334,4608.855,Building_4,building,RBC
cost,1.037,5133.4,4952.507,Building_4,building,RBC
1 - used_pv_of_total_share,1.113,0.099,0.089,Building_4,building,RBC
electricity_consumption,1.026,11082.346,10799.294,Building_5,building,RBC
carbon_emissions,1.026,5666.791,5521.843,Building_5,building,RBC
cost,1.025,6074.802,5926.409,Building_5,building,RBC
1 - used_pv_of_total_share,1.122,0.062,0.056,Building_5,building,RBC
electricity_consumption,1.045,7929.478,7586.928,Building_6,building,RBC
carbon_emissions,1.045,4063.501,3888.366,Building_6,building,RBC
cost,1.043,4389.833,4210.316,Building_6,building,RBC
1 - used_pv_of_total_share,1.152,0.103,0.089,Building_6,building,RBC
1 - average_daily_renewable_share,0.994,0.606,0.609,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.963,0.806,0.837,District,district,SAC_DB2Value
1 - load_factor,0.999,0.821,0.822,District,district,SAC_DB2Value
1 - used_pv_of_total_share,1.217,0.102,0.089,District,district,SAC_DB2Value
average_daily_peak,1.045,14.471,13.855,District,district,SAC_DB2Value
carbon_emissions,1.003,4430.29,4441.262,District,district,SAC_DB2Value
cost,1.004,4786.408,4788.36,District,district,SAC_DB2Value
electricity_consumption,1.003,8647.1,8675.588,District,district,SAC_DB2Value
fossil_energy_consumption,0.989,46276.03,46808.726,District,district,SAC_DB2Value
ramping,1.075,25739.736,23953.231,District,district,SAC_DB2Value
electricity_consumption,0.996,8836.46,8875.826,Building_1,building,SAC_DB2Value
carbon_emissions,0.997,4529.225,4543.748,Building_1,building,SAC_DB2Value
cost,1.0,4896.878,4898.839,Building_1,building,SAC_DB2Value
1 - used_pv_of_total_share,1.367,0.1,0.073,Building_1,building,SAC_DB2Value
electricity_consumption,0.986,11090.335,11251.981,Building_2,building,SAC_DB2Value
carbon_emissions,0.987,5677.991,5752.045,Building_2,building,SAC_DB2Value
cost,0.991,6115.481,6168.277,Building_2,building,SAC_DB2Value
1 - used_pv_of_total_share,1.185,0.062,0.052,Building_2,building,SAC_DB2Value
electricity_consumption,1.061,4805.582,4528.42,Building_3,building,SAC_DB2Value
carbon_emissions,1.059,2469.962,2332.712,Building_3,building,SAC_DB2Value
cost,1.047,2694.297,2573.812,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,0.859,0.149,0.173,Building_3,building,SAC_DB2Value
electricity_consumption,0.992,8941.831,9011.076,Building_4,building,SAC_DB2Value
carbon_emissions,0.993,4577.35,4608.855,Building_4,building,SAC_DB2Value
cost,0.996,4933.786,4952.507,Building_4,building,SAC_DB2Value
1 - used_pv_of_total_share,1.28,0.114,0.089,Building_4,building,SAC_DB2Value
electricity_consumption,0.99,10687.318,10799.294,Building_5,building,SAC_DB2Value
carbon_emissions,0.991,5470.921,5521.843,Building_5,building,SAC_DB2Value
cost,0.995,5897.195,5926.409,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,1.271,0.071,0.056,Building_5,building,SAC_DB2Value
electricity_consumption,0.991,7521.073,7586.928,Building_6,building,SAC_DB2Value
