kpi,value,net_value,net_value_without_storage,name,level,env_id
1 - average_daily_renewable_share,0.996,0.577,0.579,District,district,RBC
1 - average_daily_renewable_share_grid,1.001,0.78,0.779,District,district,RBC
1 - load_factor,0.99,0.763,0.77,District,district,RBC
1 - used_pv_of_total_share,1.125,0.079,0.07,District,district,RBC
average_daily_peak,0.988,15.292,15.478,District,district,RBC
carbon_emissions,1.035,5137.269,4983.026,District,district,RBC
cost,1.034,5444.979,5285.821,District,district,RBC
electricity_consumption,1.035,10087.412,9786.181,District,district,RBC
fossil_energy_consumption,1.039,51099.966,49169.747,District,district,RBC
ramping,1.037,27349.105,26372.613,District,district,RBC
electricity_consumption,1.023,11696.542,11433.035,Building_1,building,RBC
carbon_emissions,1.023,5956.181,5821.147,Building_1,building,RBC
cost,1.022,6311.947,6173.117,Building_1,building,RBC
1 - used_pv_of_total_share,1.111,0.055,0.049,Building_1,building,RBC
electricity_consumption,1.024,11317.812,11050.173,Building_2,building,RBC
carbon_emissions,1.024,5763.571,5626.432,Building_2,building,RBC
cost,1.024,6108.567,5967.511,Building_2,building,RBC
1 - used_pv_of_total_share,1.112,0.058,0.052,Building_2,building,RBC
electricity_consumption,1.043,7867.985,7547.153,Building_3,building,RBC
carbon_emissions,1.043,4009.432,3845.134,Building_3,building,RBC
cost,1.042,4257.57,4087.589,Building_3,building,RBC
1 - used_pv_of_total_share,1.146,0.096,0.084,Building_3,building,RBC
electricity_consumption,1.025,11736.703,11447.808,Building_4,building,RBC
carbon_emissions,1.025,5972.611,5824.439,Building_4,building,RBC
cost,1.025,6312.977,6159.442,Building_4,building,RBC
1 - used_pv_of_total_share,1.092,0.069,0.063,Building_4,building,RBC
electricity_consumption,1.072,6056.782,5652.286,Building_5,building,RBC
carbon_emissions,1.072,3088.284,2881.739,Building_5,building,RBC
cost,1.07,3285.179,3071.658,Building_5,building,RBC
1 - used_pv_of_total_share,1.179,0.144,0.122,Building_5,building,RBC
electricity_consumption,1.023,11848.649,11586.628,Building_6,building,RBC
carbon_emissions,1.023,6033.538,5899.263,Building_6,building,RBC
cost,1.022,6393.636,6255.611,Building_6,building,RBC
1 - used_pv_of_total_share,1.11,0.054,0.049,Building_6,building,RBC
1 - average_daily_renewable_share,0.969,0.561,0.579,District,district,SAC_DB2Value
1 - average_daily_renewable_share_grid,0.933,0.727,0.779,District,district,SAC_DB2Value
1 - load_factor,1.031,0.794,0.77,District,district,SAC_DB2Value
1 - used_pv_of_total_share,1.242,0.082,0.07,District,district,SAC_DB2Value
average_daily_peak,1.08,16.718,15.478,District,district,SAC_DB2Value
carbon_emissions,0.984,4893.373,4983.026,District,district,SAC_DB2Value
cost,0.985,5197.143,5285.821,District,district,SAC_DB2Value
electricity_consumption,0.983,9604.094,9786.181,District,district,SAC_DB2Value
fossil_energy_consumption,0.975,47961.571,49169.747,District,district,SAC_DB2Value
ramping,1.07,28228.177,26372.613,District,district,SAC_DB2Value
electricity_consumption,0.987,11289.701,11433.035,Building_1,building,SAC_DB2Value
carbon_emissions,0.988,5752.48,5821.147,Building_1,building,SAC_DB2Value
cost,0.989,6105.994,6173.117,Building_1,building,SAC_DB2Value
1 - used_pv_of_total_share,1.462,0.072,0.049,Building_1,building,SAC_DB2Value
electricity_consumption,0.98,10829.357,11050.173,Building_2,building,SAC_DB2Value
carbon_emissions,0.98,5516.696,5626.432,Building_2,building,SAC_DB2Value
cost,0.983,5863.27,5967.511,Building_2,building,SAC_DB2Value
1 - used_pv_of_total_share,1.328,0.069,0.052,Building_2,building,SAC_DB2Value
electricity_consumption,0.987,7447.909,7547.153,Building_3,building,SAC_DB2Value
carbon_emissions,0.988,3798.824,3845.134,Building_3,building,SAC_DB2Value
cost,0.989,4042.262,4087.589,Building_3,building,SAC_DB2Value
1 - used_pv_of_total_share,1.423,0.12,0.084,Building_3,building,SAC_DB2Value
electricity_consumption,0.966,11056.257,11447.808,Building_4,building,SAC_DB2Value
carbon_emissions,0.966,5626.158,5824.439,Building_4,building,SAC_DB2Value
cost,0.965,5943.079,6159.442,Building_4,building,SAC_DB2Value
1 - used_pv_of_total_share,1.183,0.074,0.063,Building_4,building,SAC_DB2Value
electricity_consumption,0.998,5643.155,5652.286,Building_5,building,SAC_DB2Value
carbon_emissions,1.0,2881.22,2881.739,Building_5,building,SAC_DB2Value
cost,1.006,3090.946,3071.658,Building_5,building,SAC_DB2Value
1 - used_pv_of_total_share,0.782,0.095,0.122,Building_5,building,SAC_DB2Value
electricity_consumption,0.98,11358.185,11586.628,Building_6,building,SAC_DB2Value
carbon_emissions,0.981,5784.859,5899.263,Building_6,building,SAC_DB2Value
cost,0.981,6137.305,6255.611,Building_6,building,SAC_DB2Value
1 - used_pv_of_total_share,1.273,0.062,0.049,Building_6,building,SAC_DB2Value
1 - average_daily_renewable_share,0.966,0.559,0.579,District,district,SAC_DB2Value Best
1 - average_daily_renewable_share_grid,0.934,0.728,0.779,District,district,SAC_DB2Value Best
1 - load_factor,0.99,0.763,0.77,District,district,SAC_DB2Value Best
1 - used_pv_of_total_share,1.128,0.076,0.07,District,district,SAC_DB2Value Best
average_daily_peak,0.976,15.104,15.478,District,district,SAC_DB2Value Best
carbon_emissions,0.957,4784.062,4983.026,District,district,SAC_DB2Value Best
cost,0.956,5068.699,5285.821,District,district,SAC_DB2Value Best
electricity_consumption,0.957,9392.944,9786.181,District,district,SAC_DB2Value Best
fossil_energy_consumption,0.951,46736.777,49169.747,District,district,SAC_DB2Value Best
ramping,0.986,26015.635,26372.613,District,district,SAC_DB2Value Best
electricity_consumption,0.965,11030.068,11433.035,Building_1,building,SAC_DB2Value Best
carbon_emissions,0.965,5617.061,5821.147,Building_1,building,SAC_DB2Value Best
cost,0.963,5946.482,6173.117,Building_1,building,SAC_DB2Value Best
1 - used_pv_of_total_share,1.183,0.059,0.049,Building_1,building,SAC_DB2Value Best
electricity_consumption,0.966,10669.696,11050.173,Building_2,building,SAC_DB2Value Best
carbon_emissions,0.966,5434.622,5626.432,Building_2,building,SAC_DB2Value Best
cost,0.965,5760.835,5967.511,Building_2,building,SAC_DB2Value Best
